球员,球员(中),场均得分,排名,场均助攻,排名,场均篮板,排名,投篮命中率,排名,三分命中率,排名,罚球命中率,排名,场均盖帽,排名,场均抢断,排名,本赛季薪金
robert_woodard,罗伯特 伍达德,0.6,-,0.2,-,0.9,-,12.50%,-,25.00%,-,100%,-,0.08,-,0.08,-,0
joe_wieskamp,乔 威斯坎普,2.1,-,0.3,-,0.5,-,35.70%,-,32.60%,-,53.80%,-,0.1,-,0.14,-,0
d.j._stewart,DJ 斯图尔特,0,-,0,-,0,-,0.00%,-,0.00%,-,0.00%,-,0,-,0,-,0
devontae_cacok,德文泰 卡考克,3.1,-,0.4,-,2.8,-,67.70%,-,0%,-,57.10%,-,0.47,-,0.53,-,0
john_wall,约翰 沃尔,0,-,0,-,0,-,0.00%,-,0.00%,-,0.00%,-,0,-,0,-,4385
eric_gordon,埃里克 戈登,13.4,-,2.7,-,2,-,47.50%,-,41.20%,8,77.80%,-,0.32,-,0.49,-,1686
christian_wood,克里斯蒂安 伍德,17.9,34,2.3,92,10.1,10,50.10%,23,39.00%,32,62.30%,100,1,20,0.8,85,1330
jalen_green,杰伦 格林,17.3,39,2.6,79,3.4,133,42.60%,82,34.30%,102,79.70%,59,0.3,105,0.7,105,899
dennis_schroder,丹尼斯 施罗德,13.5,-,4.6,-,3.3,-,43.20%,-,34.40%,-,85.30%,-,0.11,-,0.86,-,589
david_nwaba,大卫 努瓦巴,5.1,-,0.8,-,3.3,-,48.30%,-,30.60%,-,71.60%,-,0.43,-,0.61,-,465
alperen_sengun,阿尔佩伦 申京,9.6,116,2.6,79,5.5,55,47.40%,-,24.80%,-,71.10%,89,0.9,25,0.8,85,321
usman_garuba,乌斯曼 加鲁巴,2,-,0.7,-,3.5,-,43.20%,-,25.00%,-,71.40%,-,0.46,-,0.42,-,235
josh_christopher,约什 克里斯托弗,7.9,157,2,109,2.5,175,44.80%,-,29.60%,-,73.50%,-,0.2,145,0.9,64,226
kevin_porter,小凯文 波特,15.6,52,6.2,14,4.4,92,41.50%,88,37.50%,59,64.20%,-,0.4,82,1.1,31,203
bruno_fernando,布鲁诺 费尔南多,2.9,-,0.2,-,1.8,-,65.50%,-,50.00%,-,62.50%,-,0.37,-,0.03,-,151
jae'sean_tate,杰肖恩 泰特,11.8,84,2.8,69,5.4,57,49.80%,26,31.20%,-,70.70%,91,0.5,66,0.9,64,145
daishen_nix,戴申 尼克斯,3.2,-,1.7,-,1.4,-,40.30%,-,26.90%,-,53.30%,-,0,-,0.58,-,93
kj_martin,小肯扬 马丁,8.8,135,1.3,147,3.8,119,53.40%,-,35.90%,-,63.40%,-,0.5,66,0.4,182,90
garrison_mathews,加里森 马修斯,10,111,1,177,2.9,158,39.90%,-,36.00%,81,79.40%,61,0.4,82,0.9,64,0
anthony_lamb,安东尼 兰姆,0,-,1,-,0.5,-,0%,-,0%,-,0%,-,0,-,0,-,0
trevelin_queen,特雷夫林 奎因,4.3,-,0.4,-,1.6,-,45.50%,-,37.50%,-,100%,-,0.1,-,0.5,-,0
cj_mccollum,CJ 麦科勒姆,22.2,-,5,-,6.7,-,39.20%,-,33.30%,-,69.20%,-,0.83,-,0.67,-,3086
brandon_ingram,布兰登 英格拉姆,27,-,6,-,6.2,-,47.50%,-,40.70%,-,83.00%,-,0.33,-,0.67,-,2785
jonas_valanciunas,约纳斯 瓦兰丘纳斯,14.5,-,3,-,14.3,-,48.50%,-,16.70%,-,76.90%,-,0.17,-,0.67,-,1500
larry_nance,小拉里 南斯,9.2,-,1.8,-,5.8,-,56.40%,-,22.20%,-,81.80%,-,0.33,-,0.5,-,1170
devonte'_graham,德文特 格雷厄姆,4,-,0.7,-,1.5,-,33.30%,-,35.70%,-,87.50%,-,0.17,-,0.17,-,1100
zion_williamson,蔡恩 威廉森,0,-,0,-,0,-,0.00%,-,0.00%,-,0.00%,-,0,-,0,-,1024
jaxson_hayes,贾克森 海斯,5.8,-,0.2,-,2.5,-,56.00%,-,0%,-,63.60%,-,0.33,-,0,-,510
garrett_temple,加莱特 坦普尔,0,-,0,-,1,-,0%,-,0%,-,0%,-,0,-,0,-,491
kira_lewis,小凯拉 刘易斯,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,364
trey_murphy,特雷 墨菲,5.2,-,0.5,-,2.5,-,40.90%,-,47.40%,-,80.00%,-,0.17,-,0.5,-,305
tony_snell,托尼 斯内尔,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,239
willy_hernangomez,威利 埃尔南戈麦斯,2,-,0,-,2,-,25.00%,-,0%,-,0%,-,0,-,0,-,233
herbert_jones,赫伯特 琼斯,10.7,-,1.8,-,3.3,-,47.70%,-,41.70%,-,77.30%,-,0.83,-,1.83,-,170
