球员,球员(中),场均得分,排名,场均助攻,排名,场均篮板,排名,投篮命中率,排名,三分命中率,排名,罚球命中率,排名,场均盖帽,排名,场均抢断,排名,本赛季薪金
demarcus_cousins,德马库斯 考辛斯,10.6,-,1.2,-,3.4,-,65.50%,-,66.70%,-,73.30%,-,0.2,-,0.6,-,0
karl-anthony_towns,卡尔 安东尼 唐斯,22.6,-,1.8,-,11,-,54.10%,-,52.60%,-,90.20%,-,2.2,-,0.6,-,2947
d'angelo_russell,丹吉洛 拉塞尔,13,-,7.2,-,2.8,-,32.30%,-,39.30%,-,75.00%,-,0,-,1.2,-,2865
patrick_beverley,帕特里克 贝弗利,11.2,-,5.2,-,3,-,43.90%,-,33.30%,-,68.40%,-,1.4,-,1,-,1333
malik_beasley,马利克 比斯利,9.8,-,0.6,-,3.6,-,45.00%,-,36.40%,-,83.30%,-,0.2,-,0.2,-,1332
taurean_prince,托里恩 普林斯,6,-,1.2,-,1.6,-,37.00%,-,28.60%,-,85.70%,-,0.2,-,0.4,-,1225
anthony_edwards,安东尼 爱德华兹,24.2,-,2.6,-,4,-,46.50%,-,40.40%,-,84.60%,-,1,-,1,-,976
jake_layman,杰克 莱曼,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,376
josh_okogie,约什 奥科吉,0,-,0,-,0,-,0%,-,0%,-,0%,-,0,-,0,-,265
jaden_mcdaniels,杰登 麦克丹尼尔斯,6.4,-,0.8,-,2.6,-,40.00%,-,35.70%,-,87.50%,-,2,-,0.4,-,196
naz_reid,纳兹 里德,4.8,-,0,-,2.8,-,41.20%,-,42.90%,-,100%,-,1.2,-,0.2,-,152
jaylen_nowell,杰伦 诺埃尔,6,-,1,-,0,-,30.00%,-,0%,-,0%,-,0,-,1,-,152
mckinley_wright,麦金利 赖特四世,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,46
nathan_knight,纳坦 奈特,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,46
jordan_mclaughlin,乔丹 麦克劳克林,5.5,-,3.2,-,1.8,-,66.70%,-,66.70%,-,100%,-,0,-,1,-,0
jarred_vanderbilt,贾里德 范德比尔特,6.2,-,0.8,-,7.8,-,50.00%,-,0%,-,70.00%,-,0.2,-,1.2,-,0
leandro_bolmaro,莱安德罗 博尔马罗,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
greg_monroe,格雷格 门罗,0,-,0,-,0,-,0%,-,0%,-,0%,-,0,-,0,-,0
damian_lillard,达米安 利拉德,24,-,7.3,-,4.1,-,40.20%,-,32.40%,119,87.80%,11,0.38,-,0.59,-,3934
eric_bledsoe,埃里克 布莱索,10,-,4.2,-,3.4,-,42.10%,-,31.70%,-,75.70%,-,0.36,-,1.3,-,1688
jusuf_nurkic,优素福 努尔基奇,14.7,-,2.8,-,11.2,-,53.50%,11,25.90%,-,69.00%,93,0.6,-,1.13,-,1289
joe_ingles,乔 英格尔斯,7.2,-,3.5,-,2.9,-,40.40%,-,34.70%,-,77.30%,-,0.11,-,0.51,-,1243
josh_hart,约什 哈特,14.9,-,4.1,-,7.2,-,50.40%,-,34.30%,-,75.80%,-,0.24,-,1.13,-,1200
justise_winslow,贾斯蒂斯 温斯洛,5.7,-,1.8,-,4.2,-,42.80%,-,22.70%,-,59.10%,-,0.52,-,0.73,-,390
keon_johnson,基恩 约翰逊,7.2,-,2,-,2.2,-,35.40%,-,34.00%,-,80.40%,-,0.32,-,0.76,-,255
nassir_little,纳西尔 利特尔,9.8,-,1.3,-,5.6,-,46.00%,-,33.10%,-,73.40%,-,0.86,-,0.57,-,231
anfernee_simons,安芬尼 西蒙斯,17.3,-,3.9,-,2.6,-,44.30%,67,40.50%,16,88.80%,-,0.11,-,0.53,-,226
didi_louzada,马科斯 洛扎达 席尔瓦,3.9,-,0.6,-,1.9,-,36.40%,-,39.10%,-,100%,-,0.22,-,0.22,-,179
greg_brown,格雷格 布朗,4.7,-,0.7,-,2.8,-,42.90%,-,31.10%,-,67.70%,-,0.5,-,0.52,-,93
elijah_hughes,伊莱贾 休斯,3.5,-,0.6,-,1.6,-,32.60%,-,26.30%,-,77.80%,-,0.22,-,0.39,-,90
cj_elleby,CJ 艾勒比,5.8,189,1.5,134,3.9,114,39.10%,-,28.80%,-,71.40%,-,0.3,105,0.6,135,90
trendon_watford,特伦登 沃特福特,7.6,-,1.7,-,4.1,-,53.20%,-,23.70%,-,75.50%,-,0.58,-,0.54,-,46
keljin_blevins,凯尔金 布莱文斯,3.1,-,0.6,-,1.5,-,30.60%,-,29.20%,-,54.50%,-,0.03,-,0.42,-,0
brandon_williams,布兰登 威廉姆斯,12.9,-,3.9,-,3.1,-,37.20%,-,29.20%,-,70.10%,-,0.42,-,1,-,0
ben_mclemore,本 麦克勒摩,10.2,108,0.9,187,1.6,202,40.20%,-,36.20%,79,81.80%,-,0.2,145,0.6,135,0
derrick_favors,德里克 费沃斯,5.3,-,0.6,-,4.7,-,51.60%,-,12.50%,-,64.00%,-,0.33,-,0.44,-,926
josh_giddey,约什 吉迪,12.5,-,6.4,-,7.8,-,41.90%,-,26.30%,-,70.90%,-,0.37,-,0.94,-,599
shai_gilgeous-alexander,谢伊 吉尔杰斯 亚历山大,24.5,-,5.9,-,5,-,45.30%,57,30.00%,130,81.00%,56,0.8,-,1.27,-,550
mike_muscala,迈克 穆斯卡拉,8,-,0.5,-,3,-,45.60%,-,42.90%,-,84.20%,-,0.6,-,0.42,-,350
aleksej_pokusevski,阿列克谢 波库舍夫斯基,7.6,161,2.1,100,5.2,67,40.80%,-,28.90%,-,70.00%,-,0.6,49,0.6,135,296
tre_mann,特雷 曼,10.4,103,1.5,134,2.8,162,39.30%,-,36.00%,81,79.30%,-,0.2,145,0.8,85,290
darius_bazley,达里厄斯 贝兹利,10.8,96,1.4,143,6.3,40,42.30%,-,29.70%,-,68.80%,-,1,20,0.8,85,240
ty_jerome,泰 杰罗姆,7,-,2.3,-,1.6,-,37.80%,-,29.00%,-,80.00%,-,0.1,-,0.62,-,230
theo_maledon,泰奥 马勒东,7.1,-,2.2,-,2.6,-,37.50%,-,29.30%,-,79.00%,-,0.22,-,0.61,-,200
jeremiah_robinson-earl,杰里迈亚 罗宾逊 厄尔,7.5,-,1,-,5.6,-,41.40%,-,35.20%,-,74.10%,-,0.31,-,0.57,-,200
kenrich_williams,肯里奇 威廉姆斯,7.4,-,2.2,-,4.5,-,46.10%,-,33.90%,-,54.50%,-,0.2,-,0.9,-,200
luguentz_dort,吕冈茨 多尔特,17.2,-,1.7,-,4.2,-,40.40%,-,33.20%,113,84.30%,35,0.35,-,0.92,-,152
isaiah_roby,以赛亚 罗比,10.1,-,1.6,-,4.8,-,51.40%,-,44.40%,-,67.20%,-,0.76,-,0.8,-,150
aaron_wiggins,阿龙 威金斯,8.3,-,1.4,-,3.6,-,46.30%,-,30.40%,-,72.90%,-,0.18,-,0.6,-,46
vit_krejci,维特 克雷伊奇,6.2,-,1.9,-,3.4,-,40.70%,-,32.70%,-,86.40%,-,0.27,-,0.63,-,0
lindy_waters_iii,Lindy Waters III,8,-,1,-,2.9,-,40.60%,-,36.30%,-,80.00%,-,0.32,-,0.76,-,0
melvin_frazier,梅尔文 弗雷泽,10.7,-,0.3,-,4.3,-,27.10%,-,4.80%,-,71.40%,-,0,-,0.33,-,0
kevin_durant,凯文 杜兰特,26.2,-,6.2,-,5.8,-,38.60%,-,33.30%,-,89.50%,-,0.25,-,1,-,4092
kyrie_irving,凯里 欧文,21.2,-,5.2,-,5.2,-,44.40%,-,38.10%,-,100%,-,1.25,-,1.75,-,3491
ben_simmons,本 西蒙斯,0,-,0,-,0,-,0.00%,-,0.00%,-,0.00%,-,0,-,0,-,2925
joe_harris,乔 哈里斯,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1607
seth_curry,塞思 库里,14.5,-,3,-,2.5,-,56.40%,-,52.20%,-,66.70%,-,0.75,-,0.25,-,744
patty_mills,帕蒂 米尔斯,6.2,-,0,-,1,-,56.20%,-,53.80%,-,0%,-,0.25,-,0,-,589
blake_griffin,布雷克 格里芬,4,-,2,-,2,-,28.60%,-,40.00%,-,100%,-,0.5,-,0.5,-,264
lamarcus_aldridge,拉马库斯 阿尔德里奇,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,264
andre_drummond,安德烈 德拉蒙德,3.8,-,0.8,-,3,-,54.50%,-,0%,-,60.00%,-,0.75,-,1.25,-,240
cam_thomas,卡梅伦 托马斯,0,-,0,-,0,-,0%,-,0%,-,0%,-,0,-,0,-,204
day'ron_sharpe,戴罗恩 夏普,0,-,0,-,0,-,0%,-,0%,-,0%,-,0,-,0,-,201
nic_claxton,尼古拉斯 克拉克斯顿,10.5,-,1.5,-,6.2,-,79.20%,-,0%,-,18.20%,-,2.25,-,1.25,-,152
kessler_edwards,凯斯勒 爱德华兹,0,-,0.5,-,0,-,0%,-,0%,-,0%,-,0,-,0.5,-,46
goran_dragic,戈兰 德拉季奇,10.5,-,1.5,-,4.5,-,56.20%,-,33.30%,-,100%,-,0,-,0.75,-,0
david_duke,大卫 杜克,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
bruce_brown,布鲁斯 布朗,14,-,2.8,-,4.8,-,56.80%,-,42.90%,-,80.00%,-,0.75,-,1.25,-,0
james_harden,詹姆斯 哈登,19,-,10.2,-,5,-,40.50%,-,38.20%,-,86.00%,-,1.17,-,1,-,4431
tobias_harris,托拜厄斯 哈里斯,17.8,-,2.8,-,9.5,-,51.90%,-,43.30%,-,87.50%,-,1.17,-,0.67,-,3351
joel_embiid,乔尔 恩比德,26.2,-,2.3,-,11.3,-,52.00%,-,19.00%,-,83.10%,-,0.83,-,0.33,-,3131
danny_green,丹尼 格林,9,-,1.2,-,3.8,-,35.80%,-,36.40%,-,0%,-,0.33,-,1,-,1000
furkan_korkmaz,富尔坎 科尔克马兹,0.8,-,0.8,-,0.8,-,100%,-,100%,-,0%,-,0,-,0,-,463
georges_niang,乔治 尼昂,6.7,-,0.7,-,1.3,-,70.00%,-,66.70%,-,0%,-,0,-,0.17,-,330
tyrese_maxey,泰雷斯 马克西,21.3,-,4.8,-,4.7,-,51.10%,-,40.50%,-,95.00%,-,0.17,-,0.67,-,273
matisse_thybulle,马蒂斯 赛布尔,3.3,-,0.3,-,1.3,-,40.00%,-,33.30%,-,0%,-,1,-,0.67,-,271
jaden_springer,贾登 斯普林格,2,-,0.5,-,1,-,66.70%,-,0%,-,0%,-,0,-,0,-,202
shake_milton,谢克 米尔顿,4,-,0.8,-,1.2,-,53.80%,-,50.00%,-,100%,-,0.33,-,0.33,-,170
paul_reed,保罗 里德,4.2,-,0.3,-,3.5,-,55.60%,-,100%,-,60.00%,-,0.33,-,0.67,-,152
isaiah_joe,以赛亚 乔,0.8,-,0,-,0,-,33.30%,-,50.00%,-,0%,-,0,-,0,-,90
charles_bassey,查尔斯 巴锡,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
myles_powell,迈尔斯 鲍威尔,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
charlie_brown,查理 布朗,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
deandre_jordan,德安德烈 乔丹,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
paul_millsap,保罗 米尔萨普,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
jayson_tatum,杰森 塔特姆,29.5,-,7.2,-,4.5,-,45.60%,-,41.90%,-,86.80%,-,0.75,-,1.75,-,2810
al_horford,艾尔 霍福德,13,-,2,-,7.5,-,58.80%,-,60.00%,-,75.00%,-,0.75,-,0.75,-,2783
jaylen_brown,杰伦 布朗,22.5,-,4.2,-,5.2,-,49.30%,-,21.10%,-,77.80%,-,0.5,-,2.5,-,2463
derrick_white,德里克 怀特,5.2,-,2,-,4.5,-,34.80%,-,9.10%,-,80.00%,-,0,-,1,-,1518
marcus_smart,马库斯 斯马特,16.5,-,7,-,4,-,42.10%,-,31.20%,-,80.00%,-,0,-,1.25,-,1384
daniel_theis,丹尼尔 泰斯,8.5,-,1.2,-,6.5,-,56.00%,-,14.30%,-,83.30%,-,0.25,-,0.75,-,828
robert_williams,罗伯特 威廉姆斯,2.5,-,0.5,-,3.5,-,40.00%,-,0%,-,50.00%,-,0.5,-,0.5,-,366
aaron_nesmith,阿龙 内史密斯,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,346
grant_williams,格兰特 威廉姆斯,11.2,-,0.8,-,4,-,57.70%,-,50.00%,-,87.50%,-,1.5,-,0.25,-,249
payton_pritchard,佩顿 普里查德,5.8,-,1,-,1.5,-,66.70%,-,42.90%,-,0%,-,0,-,0.25,-,214
sam_hauser,萨姆 豪瑟,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,46
luke_kornet,卢克 科内特,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
nik_stauskas,尼克 斯陶斯卡斯,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
matt_ryan,马特 莱恩,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
brodric_thomas,布罗德里克 托马斯,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
malik_fitts,马利克 菲茨,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
pascal_siakam,帕斯卡尔 西亚卡姆,22.8,-,5.8,-,7.2,-,47.70%,-,23.50%,-,86.10%,-,1,-,1.17,-,3056
fred_vanvleet,弗雷德 范弗利特,13.8,-,6.2,-,3,-,35.20%,-,33.30%,-,83.30%,-,1,-,1.75,-,2125
og_anunoby,OG 阿奴诺比,17.3,-,2.5,-,4,-,47.60%,-,34.10%,-,75.00%,-,0.17,-,1,-,1607
gary_trent,小加里 特伦特,15.3,-,1.3,-,1.8,-,37.80%,-,33.30%,-,89.50%,-,0.5,-,1,-,1600
thaddeus_young,赛迪斯 杨,3.3,-,1.7,-,3,-,50.00%,-,14.30%,-,25.00%,-,0.17,-,0.83,-,1366
scottie_barnes,斯科蒂 巴恩斯,12.8,-,4.2,-,9,-,42.90%,-,16.70%,-,81.20%,-,0.25,-,1,-,728
chris_boucher,克里斯 布歇,11.2,-,0.2,-,5.8,-,61.90%,-,40.00%,-,90.00%,-,1.17,-,0.17,-,650
khem_birch,肯 伯奇,3,-,0.5,-,1.5,-,50.00%,-,50.00%,-,0%,-,0.17,-,0.17,-,635
precious_achiuwa,普雷舍斯 阿丘瓦,10.2,-,1,-,4.8,-,48.10%,-,31.20%,-,60.00%,-,0.83,-,0.17,-,271
malachi_flynn,马拉奇 弗林,0,-,0.5,-,0.5,-,0%,-,0%,-,0%,-,0,-,0.17,-,195
yuta_watanabe,渡边雄太,1,-,0,-,0,-,33.30%,-,0%,-,0%,-,0,-,0,-,176
svi_mykhailiuk,斯维亚托斯拉夫 米哈伊柳克,0.3,-,0,-,0.3,-,0%,-,0%,-,100%,-,0,-,0,-,173
dalano_banton,达拉诺 班顿,1.8,-,0.2,-,0.5,-,100%,-,0%,-,50.00%,-,0,-,0.25,-,93
justin_champagnie,贾斯汀 尚帕尼,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,46
david_johnson,大卫 约翰逊,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,46
isaac_bonga,伊萨克 邦加,2,-,0,-,1,-,0%,-,0%,-,100%,-,0,-,0,-,0
armoni_brooks,阿尔莫尼 布鲁克斯,0,-,0,-,0.5,-,0%,-,0%,-,0%,-,0,-,0,-,0
julius_randle,朱利叶斯 兰德尔,20.1,22,5.1,24,9.9,12,41.10%,91,30.80%,128,75.60%,75,0.5,66,0.7,105,1980
evan_fournier,埃文 富尼耶,14.1,66,2.1,100,2.6,169,41.70%,86,38.90%,35,70.80%,-,0.3,105,1,49,1714
derrick_rose,德里克 罗斯,12,-,4,-,3,-,44.50%,-,40.20%,-,96.80%,-,0.46,-,0.85,-,1327
alec_burks,亚历克 伯克斯,11.7,85,3,63,4.9,75,39.10%,-,40.40%,17,82.20%,52,0.3,105,1,49,954
nerlens_noel,纳伦斯 诺埃尔,3.4,-,0.9,-,5.6,-,53.30%,-,0%,-,70.00%,-,1.24,-,1.16,-,880
kemba_walker,肯巴 沃克,11.6,-,3.5,-,3,-,40.30%,-,36.70%,-,84.50%,-,0.19,-,0.73,-,873
rj_barrett,RJ 巴雷特,20,25,3,63,5.8,46,40.80%,93,34.20%,104,71.40%,86,0.2,145,0.6,135,823
taj_gibson,泰 吉布森,4.4,-,0.6,-,4.4,-,51.80%,-,39.50%,-,80.80%,-,0.77,-,0.42,-,491
obi_toppin,奥比 托平,9,130,1.1,167,3.7,123,53.10%,-,30.80%,-,75.80%,-,0.5,66,0.3,198,486
cam_reddish,卡姆 雷迪什,10.1,-,1,-,2.1,-,40.40%,-,35.90%,-,90.20%,-,0.29,-,0.98,-,445
quentin_grimes,昆廷 格兰姆斯,6.1,-,1,-,2.1,-,40.40%,-,38.10%,-,68.40%,-,0.24,-,0.67,-,217
immanuel_quickley,伊曼纽尔 奎克利,11.3,89,3.5,48,3.2,143,39.20%,-,34.60%,98,88.10%,10,0.04,201,0.7,105,211
mitchell_robinson,米切尔 罗宾逊,8.5,143,0.5,203,8.6,19,76.10%,-,0%,-,48.60%,-,1.9,4,0.8,85,180
miles_mcbride,迈尔斯 麦克布莱德,2.2,-,1,-,1.1,-,29.60%,-,25.00%,-,66.70%,-,0.03,-,0.35,-,93
jericho_sims,杰里科 西姆斯,2.2,-,0.5,-,4.1,-,72.20%,-,0%,-,41.40%,-,0.54,-,0.27,-,46
feron_hunt,费伦 昆都,0,-,0.5,-,0.5,-,0%,-,0%,-,0%,-,0,-,0.5,-,0
ryan_arcidiacono,瑞安 阿尔奇迪亚科诺,1.6,-,0.4,-,0.8,-,50.00%,-,44.40%,-,0%,-,0,-,0.1,-,0
jimmy_butler,吉米 巴特勒,30.5,-,5.2,-,7.8,-,54.30%,-,43.80%,-,79.40%,-,0.5,-,2.75,-,3601
bam_adebayo,巴姆 阿德巴约,12.4,-,3.6,-,8,-,52.40%,-,0%,-,81.80%,-,0.6,-,1,-,2810
kyle_lowry,凯尔 洛瑞,8.3,-,5.3,-,3.7,-,34.80%,-,31.20%,-,80.00%,-,0.67,-,0.67,-,2698
duncan_robinson,邓肯 罗宾逊,7.2,-,0,-,1.2,-,55.00%,-,52.60%,-,100%,-,0,-,0,-,1556
p.j._tucker,PJ 塔克,9.6,-,2.4,-,6.2,-,60.00%,-,53.30%,-,100%,-,0,-,0.4,-,700
tyler_herro,泰勒 希罗,12.8,-,3.2,-,3.8,-,39.10%,-,17.90%,-,90.00%,-,0.6,-,1,-,364
udonis_haslem,犹多尼斯 哈斯勒姆,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,264
markieff_morris,马基夫 莫里斯,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,264
victor_oladipo,维克托 奥拉迪波,14.5,-,3.5,-,4.5,-,42.30%,-,27.30%,-,100%,-,0,-,1.5,-,239
dewayne_dedmon,德维恩 戴德蒙,4.2,-,0.6,-,3.6,-,56.20%,-,0%,-,75.00%,-,0.2,-,0.2,-,239
gabe_vincent,盖布 文森特,8.4,-,4.2,-,2.4,-,37.80%,-,36.00%,-,83.30%,-,0.2,-,1.2,-,167
max_strus,马克斯 斯特鲁斯,14,-,2.2,-,2.8,-,42.40%,-,35.60%,-,57.10%,-,0.2,-,1.4,-,167
omer_yurtseven,奥默 尤尔特塞文,3.5,-,0.5,-,0.5,-,75.00%,-,0%,-,33.30%,-,0,-,0,-,149
javonte_smart,贾文特 斯马特,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
chris_silva,克里斯 席尔瓦,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
mychal_mulder,迈克尔 穆尔德,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
haywood_highsmith,海伍德 海史密斯,1.5,-,0.5,-,0.5,-,100%,-,100%,-,0%,-,0,-,0,-,0
caleb_martin,凯莱布 马丁,3.6,-,0,-,1.4,-,32.00%,-,16.70%,-,0%,-,0.2,-,1,-,0
bradley_beal,布拉德利 比尔,23.1,-,6.6,-,4.7,-,45.10%,60,30.00%,-,83.30%,43,0.38,-,0.9,-,3450
kristaps_porzingis,克里斯塔普斯 波尔津吉斯,20.2,-,2.3,-,8.1,-,45.90%,-,31.00%,-,86.70%,-,1.65,-,0.73,-,2946
kyle_kuzma,凯尔 库兹马,17.1,43,3.5,48,8.5,20,45.20%,59,34.10%,105,71.20%,88,0.9,25,0.6,135,1300
kentavious_caldwell-pope,肯塔维厄斯 考德威尔 波普,13.2,73,1.9,116,3.4,133,43.50%,75,39.00%,32,89.00%,8,0.3,105,1.1,31,1207
tomas_satoransky,托马什 萨托兰斯基,3.6,-,3.3,-,2.3,-,37.70%,-,20.80%,-,79.60%,-,0.09,-,0.53,-,1000
thomas_bryant,托马斯 布莱恩特,7.4,-,0.9,-,4,-,52.00%,-,28.60%,-,87.50%,-,0.78,-,0.22,-,833
rui_hachimura,八村垒,11.3,-,1.1,-,3.8,-,49.10%,-,44.70%,-,69.70%,-,0.21,-,0.55,-,469
ish_smith,伊斯梅尔 史密斯,6.3,-,3.8,-,2.2,-,43.10%,-,37.30%,-,62.50%,-,0.35,-,0.72,-,450
deni_avdija,德尼 阿夫迪亚,8.4,146,2,109,5.2,67,43.20%,-,31.70%,123,75.70%,-,0.5,66,0.7,105,447
corey_kispert,科里 基斯珀特,8.2,152,1.1,167,2.7,164,45.50%,-,35.00%,95,87.10%,-,0.3,105,0.4,182,338
raul_neto,劳尔 内托,7.5,166,3.1,59,1.9,193,46.30%,-,29.20%,-,76.90%,-,0.04,201,0.8,85,209
daniel_gafford,丹尼尔 加福德,9.4,118,0.9,187,5.7,51,69.50%,-,0%,-,69.90%,-,1.4,10,0.4,182,151
isaiah_todd,以赛亚 托德,1.7,-,0.3,-,1,-,26.90%,-,25.00%,-,33.30%,-,0.17,-,0.33,-,150
vernon_carey,小弗农 凯里,2.9,-,0,-,1.7,-,53.80%,-,0%,-,46.20%,-,0.14,-,0.29,-,135
anthony_gill,安东尼 吉尔,4.1,-,0.6,-,1.9,-,56.90%,-,53.80%,-,80.80%,-,0.25,-,0.11,-,90
cassius_winston,卡修斯 温斯顿,2,-,1,-,0.1,-,36.40%,-,33.30%,-,100%,-,0,-,0,-,46
jordan_schakel,乔丹 舍克尔,1.2,-,0,-,2,-,9.10%,-,16.70%,-,100%,-,0,-,0.25,-,0
gordon_hayward,戈登 海沃德,15.9,-,3.6,-,4.6,-,45.90%,-,39.10%,30,84.60%,33,0.45,-,0.96,-,2850
terry_rozier,特里 罗齐尔,19.3,26,4.5,31,4.3,96,44.40%,65,37.40%,61,85.20%,30,0.3,105,1.3,17,1790
kelly_oubre,凯利 乌布雷,15,57,1.1,167,4,111,44.00%,72,34.50%,100,66.70%,96,0.4,82,1,49,1200
montrezl_harrell,蒙特雷兹 哈勒尔,13.2,-,2,-,6.1,-,64.40%,-,23.50%,-,71.80%,-,0.59,-,0.41,-,925
mason_plumlee,梅森 普拉姆利,6.5,177,3.1,59,7.7,28,64.10%,-,0%,-,39.20%,-,0.7,39,0.8,85,800
lamelo_ball,拉梅洛 鲍尔,20.1,22,7.6,7,6.7,37,42.90%,80,38.90%,35,87.20%,14,0.4,82,1.6,8,784
james_bouknight,詹姆斯 布克奈特,4.6,-,0.8,-,1.7,-,34.80%,-,34.70%,-,87.10%,-,0.03,-,0.23,-,415
p.j._washington,PJ 华盛顿,10.3,105,2.3,92,5.2,67,46.80%,-,36.50%,75,71.60%,-,0.9,25,0.9,64,402
miles_bridges,迈尔斯 布里奇斯,20.2,21,3.8,44,7,35,49.10%,31,33.10%,114,80.20%,58,0.8,32,0.9,64,393
kai_jones,凯 琼斯,1,-,0.2,-,0.6,-,64.30%,-,50.00%,-,37.50%,-,0.1,-,0.05,-,277
jalen_mcdaniels,杰伦 麦克丹尼尔斯,6.2,-,1,-,3.1,-,48.40%,-,38.00%,-,73.60%,-,0.4,-,0.47,-,152
cody_martin,科迪 马丁,7.7,160,2.5,83,4,111,48.20%,-,38.40%,-,70.10%,-,0.4,82,1.2,23,152
jt_thor,JT 索尔,2,-,0.6,-,1.3,-,43.60%,-,25.90%,-,60.00%,-,0.33,-,0.24,-,125
nick_richards,尼克 理查兹,3,-,0.3,-,1.7,-,66.70%,-,0%,-,69.80%,-,0.42,-,0.18,-,100
scottie_lewis,斯科蒂 刘易斯,0.5,-,0.5,-,0,-,0%,-,0%,-,50.00%,-,0,-,0.5,-,46
arnoldas_kulboka,阿诺达斯 库尔博卡,0,-,0,-,0,-,0%,-,0%,-,0%,-,0,-,0,-,46
isaiah_thomas,以赛亚 托马斯,8.4,-,1.5,-,1.3,-,40.10%,-,33.70%,-,84.60%,-,0.23,-,0.32,-,0
john_collins,约翰 科林斯,9.4,-,1.2,-,4.6,-,48.70%,-,36.40%,-,50.00%,-,0.2,-,0.4,-,2300
danilo_gallinari,达尼罗 加里纳利,10.2,-,0.8,-,4.2,-,40.00%,-,26.70%,-,100%,-,0,-,0.2,-,1952
bogdan_bogdanovic,波格丹 波格丹诺维奇,14.2,-,3,-,4.8,-,40.80%,-,34.60%,-,80.00%,-,0.25,-,0.5,-,1800
clint_capela,克林特 卡佩拉,2,-,0,-,7.5,-,33.30%,-,0%,-,0%,-,0.5,-,0.5,-,1600
delon_wright,德朗 赖特,8.2,-,2.8,-,4.8,-,51.70%,-,38.50%,-,66.70%,-,0.2,-,0.8,-,900
trae_young,特雷 杨,15.4,-,6,-,5,-,31.90%,-,18.40%,-,78.80%,-,0,-,0.6,-,833
de'andre_hunter,德安德烈 亨特,21.2,-,0.6,-,3.8,-,55.70%,-,46.20%,-,80.00%,-,0.2,-,0.8,-,742
onyeka_okongwu,奥涅卡 奥孔古,5.2,-,0.4,-,5.4,-,56.20%,-,0%,-,80.00%,-,0.8,-,0.8,-,610
lou_williams,路易斯 威廉姆斯,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,500
kevin_knox,凯文 诺克斯,11,-,0,-,1,-,63.60%,-,60.00%,-,100%,-,0,-,1,-,459
kevin_huerter,凯文 赫尔特,9.2,-,3.8,-,3,-,36.20%,-,29.00%,-,75.00%,-,0.6,-,1,-,276
jalen_johnson,杰伦 约翰逊,0,-,0,-,0,-,0%,-,0%,-,0%,-,0,-,0,-,266
sharife_cooper,谢里夫 库珀,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,46
skylar_mays,斯凯拉 梅斯,1,-,0.5,-,0.5,-,100%,-,0%,-,0%,-,0,-,0.5,-,46
chaundee_brown,昌迪 布朗,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
timothe_luwawu-cabarrot,蒂莫泰 卢瓦乌 卡巴罗,1.2,-,0.5,-,0.8,-,50.00%,-,33.30%,-,0%,-,0,-,0,-,0
gorgui_dieng,戈尔吉 吉昂,1.5,-,0,-,1.5,-,50.00%,-,0%,-,100%,-,0,-,0,-,0
gary_harris,加里 哈里斯,11.1,90,1.8,121,2,191,43.10%,-,38.40%,44,88.00%,-,0.2,145,1,49,1961
jonathan_isaac,乔纳森 艾萨克,0,-,0,-,0,-,0.00%,-,0.00%,-,0.00%,-,0,-,0,-,1740
markelle_fultz,马克尔 富尔茨,10.8,-,5.5,-,2.7,-,47.40%,-,23.50%,-,80.60%,-,0.28,-,1.11,-,1650
terrence_ross,特伦斯 罗斯,10,111,1.8,121,2.6,169,39.60%,-,29.00%,-,86.20%,-,0.2,145,0.4,182,1350
