球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
快船,西部,6,44.7,36.3,81.5,10.0,30.2,114.7,40.2,25.3,15.0,8.0,3.33,25.0,239,535,69,190,141,173,60,181,688,241,152,48,20,90,150
勇士,西部,22,47.7,37.2,81.3,10.1,33.2,114.1,43.3,28.4,14.91,7.41,5.68,23.23,904,1895,268,720,435,535,223,730,2511,953,625,163,125,328,511
雄鹿,东部,15,45.1,33.6,72.9,10.1,41.8,112.8,51.9,25.0,13.0,6.67,6.4,21.8,597,1325,192,571,306,420,152,627,1692,779,375,100,96,195,327
篮网,东部,5,42.0,32.4,80.8,11.2,29.2,111.4,40.4,19.2,14.2,7.6,2.8,22.8,192,457,55,170,118,146,56,146,557,202,96,38,14,71,114
开拓者,西部,16,43.6,36.0,76.6,11.4,33.8,109.7,45.2,19.8,12.88,6.88,5.13,22.75,631,1447,189,525,304,397,183,540,1755,723,316,110,82,206,364
掘金,西部,14,44.3,34.4,78.2,13.1,34.6,109.1,47.7,24.0,9.79,5.71,4.64,21.29,559,1263,134,389,276,353,183,485,1528,668,336,80,65,137,298
76人,东部,12,45.9,33.1,79.0,11.4,37.1,108.7,48.5,24.4,16.5,6.33,5.42,22.42,473,1030,113,341,245,310,137,445,1304,582,293,76,65,198,269
火箭,西部,11,44.4,36.6,76.4,9.6,33.3,108.5,42.9,18.3,15.82,8.55,5.09,21.64,409,922,172,470,204,267,106,366,1194,472,201,94,56,174,238
猛龙,东部,24,44.4,34.6,83.0,8.3,34.0,106.6,42.3,22.5,12.08,8.04,4.58,22.63,904,2034,286,827,464,559,199,817,2558,1016,541,193,110,290,543
雷霆,西部,5,44.0,33.1,75.6,10.2,33.0,105.2,43.2,22.6,15.2,6.6,5.4,24.2,189,430,52,157,96,127,51,165,526,216,113,33,27,76,121
马刺,西部,7,46.3,33.8,77.0,10.7,34.4,103.3,45.1,21.1,8.43,4.57,4.0,19.43,276,596,47,139,124,161,75,241,723,316,148,32,28,59,136
凯尔特人,东部,9,42.4,34.3,80.3,7.4,40.3,102.1,47.8,21.4,14.78,5.89,3.78,20.78,321,757,102,297,175,218,67,363,919,430,193,53,34,133,187
活塞,东部,4,38.8,33.1,72.7,10.8,31.5,98.0,42.3,23.0,10.5,7.25,4.0,24.25,150,387,44,133,48,66,43,126,392,169,92,29,16,42,97
爵士,西部,5,40.0,26.3,75.0,11.8,35.4,97.8,47.2,23.0,15.2,9.2,5.4,21.8,173,432,47,179,96,128,59,177,489,236,115,46,27,76,109
魔术,东部,5,38.8,29.9,77.5,9.6,33.8,92.0,43.4,19.0,15.6,6.6,4.0,18.8,161,415,52,174,86,111,48,169,460,217,95,33,20,78,94
步行者,东部,4,40.1,33.6,72.0,8.0,32.3,91.8,40.3,20.8,12.0,8.25,3.5,20.0,134,334,40,119,59,82,32,129,367,161,83,33,14,48,80
