球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
开拓者,西部,6,47.5,41.3,85.3,9.3,32.3,119.5,41.7,22.8,11.83,5.17,5.5,23.17,252,530,97,235,116,136,56,194,717,250,137,31,33,71,139
爵士,西部,11,47.2,41.3,80.1,9.4,33.0,116.9,42.4,19.6,13.46,5.18,4.09,21.55,437,926,198,480,214,267,103,363,1286,466,216,57,45,148,237
76人,东部,12,49.6,39.3,68.5,9.0,35.7,116.3,44.7,24.9,12.83,8.0,6.17,23.0,510,1029,134,341,241,352,108,428,1395,536,299,96,74,154,276
灰熊,西部,5,46.8,32.9,79.4,11.2,30.0,115.0,41.2,22.0,10.4,8.0,4.0,20.6,221,472,52,158,81,102,56,150,575,206,110,40,20,52,103
掘金,西部,10,45.7,38.2,76.1,11.7,31.9,114.8,43.6,24.9,11.2,6.1,4.3,20.4,421,922,147,385,159,209,117,319,1148,436,249,61,43,112,204
篮网,东部,12,47.2,38.2,86.8,8.3,34.3,112.5,42.6,22.6,11.58,7.08,4.83,21.17,488,1034,163,427,211,243,99,412,1350,511,271,85,58,139,254
凯尔特人,东部,5,43.5,35.0,82.5,12.6,28.8,112.2,41.4,21.0,13.0,6.4,7.0,21.0,192,441,64,183,113,137,63,144,561,207,105,32,35,65,105
快船,西部,19,47.7,38.1,82.3,8.8,32.4,111.6,41.2,20.8,10.68,6.79,4.26,19.47,743,1557,263,691,371,451,167,615,2120,782,395,129,81,203,370
雄鹿,东部,23,46.2,32.1,71.8,12.8,36.1,110.3,49.0,22.8,12.74,7.83,4.22,17.96,968,2095,258,804,343,478,295,831,2537,1126,525,180,97,293,413
奇才,东部,5,45.8,28.9,75.2,10.6,32.8,110.0,43.4,22.4,13.4,4.8,4.8,24.0,203,443,35,121,109,145,53,164,550,217,112,24,24,67,120
太阳,西部,22,48.1,37.6,86.1,8.0,34.7,109.0,42.7,23.2,11.91,6.46,4.18,19.73,900,1871,246,654,352,409,175,764,2398,939,511,142,92,262,434
老鹰,东部,18,44.9,34.3,79.8,9.1,33.3,106.3,42.4,20.2,12.44,6.72,4.39,21.22,701,1562,211,615,300,376,164,599,1913,763,364,121,79,224,382
独行侠,西部,7,45.5,38.8,70.7,10.3,30.3,106.0,40.6,20.7,11.0,5.57,2.14,20.29,274,602,95,245,99,140,72,212,742,284,145,39,15,77,142
热火,东部,4,39.5,33.6,76.5,9.0,33.3,98.0,42.3,21.5,14.0,7.25,3.5,20.5,141,357,48,143,62,81,36,133,392,169,86,29,14,56,82
湖人,西部,6,41.4,29.9,77.6,10.5,32.7,97.5,43.2,19.3,13.83,6.67,4.0,20.5,206,498,59,197,114,147,63,196,585,259,116,40,24,83,123
尼克斯,东部,5,39.8,34.2,81.7,11.8,34.6,97.0,46.4,18.6,12.2,5.8,2.8,19.8,172,432,52,152,89,109,59,173,485,232,93,29,14,61,99
