球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
勇士,西部,17,49.4,38.6,81.5,9.3,36.5,119.3,45.8,28.2,13.65,8.71,6.12,21.76,730,1479,216,559,352,432,158,620,2028,778,480,148,104,232,370
骑士,东部,18,49.3,42.0,76.7,9.2,32.9,116.2,42.2,22.1,13.06,7.39,4.67,18.78,737,1495,256,610,362,472,166,593,2092,759,397,133,84,235,338
步行者,东部,4,46.6,39.1,76.7,11.8,30.3,108.8,42.0,22.5,13.25,8.0,3.75,22.75,162,348,45,115,66,86,47,121,435,168,90,32,15,53,91
奇才,东部,13,45.7,31.7,79.4,11.2,31.8,108.1,43.0,22.8,13.8,7.9,6.6,23.0,521,1139,109,344,254,320,145,414,1405,559,296,103,86,179,299
火箭,西部,11,43.9,33.3,78.9,9.9,33.0,107.7,42.9,19.5,14.0,7.7,4.6,20.9,410,935,141,423,224,284,109,363,1185,472,215,85,51,154,230
马刺,西部,16,46.2,35.0,77.3,12.8,31.7,107.1,44.4,21.3,12.8,7.8,4.7,18.8,640,1385,137,391,296,383,204,507,1713,711,341,124,75,204,300
老鹰,东部,6,44.4,30.5,76.4,11.3,33.0,105.5,44.3,22.3,16.0,6.0,3.33,21.33,225,507,50,164,133,174,68,198,633,266,134,36,20,96,128
凯尔特人,东部,18,45.7,36.9,77.3,9.4,28.5,105.2,37.9,26.9,13.4,7.7,4.1,20.8,691,1513,229,620,283,366,170,513,1894,683,485,139,74,242,374
雷霆,西部,5,44.2,31.1,68.9,12.2,31.4,104.2,43.6,19.8,12.8,8.4,8.0,22.2,193,437,42,135,93,135,61,157,521,218,99,42,40,64,111
开拓者,西部,4,39.7,32.4,80.4,10.0,34.0,101.5,44.0,15.8,15.3,7.3,4.8,21.8,142,358,44,136,78,97,40,136,406,176,63,29,19,61,87
爵士,西部,11,45.5,36.5,73.2,6.7,32.4,97.8,39.1,19.7,12.1,7.4,3.2,21.1,392,862,104,285,188,257,74,356,1076,430,217,81,35,133,232
快船,西部,7,47.3,34.8,69.6,7.7,30.0,97.7,37.7,18.4,12.1,6.3,2.4,20.3,255,539,57,164,117,168,54,210,684,264,129,44,17,85,142
猛龙,东部,10,44.4,33.2,81.3,6.8,32.5,96.7,39.3,19.6,12.9,7.4,4.4,20.9,353,795,78,235,183,225,68,325,967,393,196,74,44,129,209
公牛,东部,6,44.0,29.8,84.9,12.5,34.2,96.5,46.7,20.0,15.33,7.17,5.17,18.33,218,495,42,141,101,119,75,205,579,280,120,43,31,92,110
灰熊,西部,6,44.9,38.6,86.9,7.7,27.8,96.3,35.5,18.8,11.33,5.17,2.5,22.17,208,463,56,145,106,122,46,167,578,213,113,31,15,68,133
雄鹿,东部,6,44.6,41.5,69.6,8.2,29.8,93.2,38.0,21.2,13.3,8.2,5.0,21.3,209,469,54,130,87,125,49,179,559,228,127,49,30,80,128
