球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
火箭,西部,6,44.5,31.8,74.3,16.7,32.5,112.0,49.2,18.3,13.8,6.0,5.0,26.0,245,550,49,154,133,179,100,195,672,295,110,36,30,83,156
快船,西部,13,46.1,35.5,73.0,11.4,28.4,108.8,39.8,23.8,12.6,9.4,4.4,24.3,512,1110,119,335,271,371,148,369,1414,517,310,122,57,164,316
勇士,西部,7,46.0,36.4,72.8,13.1,29.6,106.4,42.7,24.4,17.3,7.0,4.6,25.3,268,582,67,184,142,195,92,207,745,299,171,49,32,121,177
马刺,西部,23,49.1,40.9,76.7,9.4,32.6,106.3,42.0,22.2,12.6,8.1,3.5,19.8,914,1861,203,496,415,541,217,750,2446,967,511,187,80,289,456
开拓者,西部,11,43.7,34.7,79.7,11.7,32.5,104.3,44.2,17.5,13.8,5.9,6.0,22.5,422,965,87,251,216,271,129,357,1147,486,193,65,66,152,248
雷霆,西部,19,45.0,32.3,82.0,11.2,34.1,102.5,45.2,19.3,15.1,6.3,6.2,23.0,695,1546,143,443,414,505,212,647,1947,859,366,120,118,287,437
独行侠,西部,7,45.1,37.6,76.5,11.7,29.0,101.1,40.7,19.1,11.4,6.6,4.1,20.3,274,607,59,157,101,132,82,203,708,285,134,46,29,80,142
热火,东部,20,49.1,39.6,78.0,6.0,28.1,97.3,34.0,18.3,12.2,7.4,3.9,20.7,708,1443,186,470,343,440,119,561,1945,680,365,147,77,243,414
灰熊,西部,7,41.7,29.0,72.9,12.9,29.9,96.7,42.7,21.7,11.1,9.0,2.4,20.9,257,617,31,107,132,181,90,209,677,299,152,63,17,78,146
猛龙,东部,7,44.1,31.3,83.3,10.1,31.6,96.1,41.7,17.7,15.3,5.6,3.0,25.9,229,519,46,147,169,203,71,221,673,292,124,39,21,107,181
篮网,东部,12,46.3,34.2,73.7,10.0,27.8,95.5,37.8,18.3,12.3,6.9,2.8,22.3,417,901,93,272,219,297,120,334,1146,454,220,83,34,147,268
老鹰,东部,7,38.5,34.3,82.8,9.1,30.1,92.4,39.3,16.9,13.6,6.6,4.6,20.9,212,551,79,230,144,174,64,211,647,275,118,46,32,95,146
黄蜂,东部,4,44.9,36.5,71.3,8.3,31.5,92.0,39.8,19.8,15.0,4.3,4.5,20.3,135,301,31,85,67,94,33,126,368,159,79,17,18,60,81
步行者,东部,19,45.1,38.0,72.7,8.2,31.3,91.6,39.5,18.8,13.6,7.1,4.2,20.7,639,1416,139,366,323,444,156,594,1740,750,357,134,80,258,394
奇才,东部,11,43.2,33.5,69.6,11.7,33.2,90.4,44.9,19.5,12.8,7.5,5.6,22.3,379,877,62,185,174,250,129,365,994,494,215,82,62,141,245
公牛,东部,5,42.2,33.3,75.4,12.2,29.6,90.0,41.8,20.2,13.2,5.0,4.4,22.0,166,393,32,96,86,114,61,148,450,209,101,25,22,66,110
