球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
太阳,西部,15,49.3,,76.7,12.1,31.1,112.0,43.1,20.5,12.87,6.07,,,627,1272,,,297,387,181,466,1680,647,307,91,94,193,301
独行侠,西部,13,45.2,,78.6,14.4,29.1,105.2,43.5,17.5,13.15,7.23,,,495,1094,,,291,370,187,378,1367,565,227,94,66,171,295
灰熊,西部,4,47.3,,70.6,11.8,27.8,102.8,39.5,21.0,10.75,5.75,,,166,351,,,48,68,47,111,411,158,84,23,18,43,98
公牛,东部,6,41.9,,72.2,14.2,30.3,102.5,44.5,21.7,15.17,6.33,,,213,508,,,135,187,85,182,615,267,130,38,30,91,175
国王,西部,5,44.5,,79.7,13.0,23.0,102.2,36.0,20.2,11.2,6.2,,,192,431,,,98,123,65,115,511,180,101,31,20,56,129
奇才,东部,10,42.5,,72.8,12.9,29.9,100.4,42.8,17.2,13.7,8.2,,,351,826,,,246,338,129,299,1004,428,172,82,58,137,254
超音速,西部,11,45.8,,79.9,12.6,27.6,98.5,40.3,16.2,13.82,6.55,,,390,852,,,251,314,139,304,1084,443,178,72,50,152,287
热火,东部,15,49.2,,66.8,8.3,33.3,98.0,41.6,18.9,15.33,5.47,,,540,1097,,,300,449,124,500,1470,624,284,82,86,230,368
火箭,西部,7,46.6,,79.0,10.7,27.0,97.6,37.7,18.0,14.29,7.29,,,245,526,,,143,181,75,189,683,264,126,51,41,100,173
马刺,西部,23,45.4,,72.7,12.3,29.7,96.9,42.1,18.4,14.52,5.57,,,798,1759,,,469,645,284,684,2229,968,423,128,133,334,504
NJN,东部,4,39.5,,75.2,13.0,29.8,96.8,42.8,21.3,13.0,7.5,,,134,339,,,94,125,52,119,387,171,85,30,5,52,123
76人,东部,5,43.7,,71.6,9.6,25.2,90.8,34.8,19.8,12.8,8.6,,,174,398,,,73,102,48,126,454,174,99,43,20,64,109
活塞,东部,25,43.7,,74.2,12.4,29.9,90.3,42.3,20.5,12.2,7.32,,,863,1974,,,419,565,309,748,2258,1057,512,183,153,305,526
掘金,西部,5,41.7,,73.7,10.2,29.2,90.2,39.4,16.4,13.0,6.4,,,164,393,,,112,152,51,146,451,197,82,32,29,65,135
凯尔特人,东部,7,44.2,,75.5,10.3,29.1,87.7,39.4,16.6,15.29,8.43,,,230,520,,,120,159,72,204,614,276,116,59,45,107,178
步行者,东部,13,39.5,,78.4,10.9,29.2,84.0,40.1,18.0,15.08,8.08,,,375,949,,,269,343,142,379,1092,521,234,105,77,196,286
