球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
勇士,西部,21,48.0,35.7,82.2,9.1,35.9,110.4,45.0,26.0,12.9,7.9,5.8,19.7,866,1806,235,659,352,428,192,753,2319,945,547,165,122,270,414
鹈鹕,西部,9,47.8,36.6,78.2,7.9,37.7,110.0,45.6,26.9,14.4,8.1,5.0,19.3,386,808,89,243,129,165,71,339,990,410,242,73,45,130,174
76人,东部,10,43.7,33.8,76.0,13.4,36.1,108.8,49.5,25.8,14.6,7.8,4.1,22.8,387,885,99,293,215,283,134,361,1088,495,258,78,41,146,228
猛龙,东部,10,47.3,39.0,79.9,9.4,30.7,107.3,40.1,21.8,14.0,5.7,6.1,22.6,389,823,104,267,191,239,94,307,1073,401,218,57,61,140,226
奇才,东部,6,46.6,36.6,85.0,8.5,31.5,107.2,40.0,23.3,13.5,7.8,5.2,21.0,238,511,48,131,119,140,51,189,643,240,140,47,31,81,126
开拓者,西部,4,45.3,33.3,77.8,11.3,32.3,105.5,43.5,19.0,14.5,8.3,3.8,20.5,165,364,43,129,49,63,45,129,422,174,76,33,15,58,82
火箭,西部,17,43.6,33.7,77.2,8.8,34.2,104.9,43.0,18.8,12.1,8.1,5.5,19.1,632,1450,228,676,292,378,149,582,1784,731,320,138,93,205,325
热火,东部,5,44.2,39.1,67.8,9.6,31.4,103.4,41.0,23.8,16.0,8.8,6.4,29.2,183,414,54,138,97,143,48,157,517,205,119,44,32,80,146
爵士,西部,11,45.5,35.9,68.7,9.4,35.6,102.4,45.0,20.3,15.5,7.5,5.0,20.5,415,912,118,329,178,259,103,392,1126,495,223,83,55,171,226
雄鹿,东部,7,50.0,37.2,70.5,5.6,33.0,101.9,38.6,22.0,13.1,6.6,6.7,22.9,274,548,67,180,98,139,39,231,713,270,154,46,47,92,160
森林狼,西部,5,46.0,41.3,72.8,8.6,36.6,101.6,45.2,22.4,12.6,5.0,3.2,18.2,190,413,45,109,83,114,43,183,508,226,112,25,16,63,91
凯尔特人,东部,19,43.7,34.3,76.7,8.8,32.8,101.4,41.7,21.2,11.6,6.8,4.1,20.4,692,1582,199,581,343,447,168,624,1926,792,403,130,77,221,388
雷霆,西部,6,43.0,36.4,77.2,9.3,34.7,101.2,44.0,16.3,14.0,8.8,4.2,21.7,223,519,63,173,98,127,56,208,607,264,98,53,25,84,130
骑士,东部,22,45.0,33.1,75.2,9.8,31.6,101.1,41.4,19.2,12.7,6.0,4.4,19.5,811,1801,221,667,382,508,215,695,2225,910,423,131,97,279,430
步行者,东部,7,48.1,35.8,71.1,8.1,31.9,100.6,40.0,21.1,13.1,8.1,2.7,21.9,270,561,68,190,96,135,57,223,704,280,148,57,19,92,153
马刺,西部,5,41.3,29.8,83.5,8.4,29.2,96.8,37.6,19.0,11.0,7.6,3.0,20.4,173,419,42,141,96,115,42,146,484,188,95,38,15,55,102
