球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
勇士,西部,5,51.5,42.2,70.1,7.0,28.4,118.0,35.4,28.6,13.0,9.4,6.0,23.2,210,408,76,180,94,134,35,142,590,177,143,47,30,65,116
灰熊,西部,5,45.1,34.2,71.8,11.8,32.8,114.8,44.6,26.2,15.4,8.4,5.8,23.6,199,441,54,158,122,170,59,164,574,223,131,42,29,77,118
凯尔特人,东部,4,49.0,35.5,82.4,11.0,28.5,113.5,39.5,25.8,14.0,8.75,4.0,24.5,165,337,49,138,75,91,44,114,454,158,103,35,16,56,98
76人,东部,6,48.8,40.8,84.9,8.3,33.5,111.5,41.8,24.0,14.5,5.17,4.83,20.33,229,469,82,201,129,152,50,201,669,251,144,31,29,87,122
太阳,西部,6,52.3,31.9,80.7,7.5,28.2,111.3,35.7,26.8,11.0,7.83,4.0,22.67,260,497,52,163,96,119,45,169,668,214,161,47,24,66,136
掘金,西部,5,47.7,35.9,79.4,11.2,30.4,110.0,41.6,25.0,16.4,7.0,3.4,25.0,197,413,56,156,100,126,56,152,550,208,125,35,17,82,125
森林狼,西部,5,44.1,38.8,83.1,7.2,33.4,109.8,40.6,22.8,19.0,7.4,8.4,28.0,180,408,71,183,118,142,36,167,549,203,114,37,42,95,140
雄鹿,东部,5,47.2,38.0,68.9,8.2,43.6,109.8,51.8,23.4,15.4,6.4,4.8,17.8,203,430,70,184,73,106,41,218,549,259,117,32,24,77,89
鹈鹕,西部,6,46.2,35.4,78.0,15.0,30.5,109.8,45.5,21.3,14.5,6.33,3.5,21.0,234,506,56,158,135,173,90,183,659,273,128,38,21,87,126
热火,东部,5,46.5,34.4,78.3,8.2,31.8,109.4,40.0,25.4,13.2,9.4,3.0,23.4,199,428,66,192,83,106,41,159,547,200,127,47,15,66,117
篮网,东部,4,50.3,42.2,73.8,8.5,25.5,109.0,34.0,22.3,15.25,8.0,6.5,24.75,157,312,46,109,76,103,34,102,436,136,89,32,26,61,99
独行侠,西部,6,44.4,37.1,78.9,6.0,31.7,104.7,37.7,19.3,8.67,6.5,2.33,23.17,215,484,93,251,105,133,36,190,628,226,116,39,14,52,139
猛龙,东部,6,44.6,29.9,79.4,10.0,27.7,103.2,37.7,20.7,10.0,6.67,4.83,22.17,230,516,59,197,100,126,60,166,619,226,124,40,29,60,133
爵士,西部,6,44.3,27.4,78.6,9.3,35.5,99.0,44.8,17.2,11.67,4.0,3.67,22.0,210,474,49,179,125,159,56,213,594,269,103,24,22,70,132
老鹰,东部,5,44.0,32.6,78.2,8.6,30.8,97.4,39.4,18.6,16.4,5.8,2.4,21.6,172,391,57,175,86,110,43,154,487,197,93,29,12,82,108
公牛,东部,5,40.4,28.3,83.3,8.2,35.8,95.2,44.0,23.0,13.0,7.8,3.2,18.6,182,451,52,184,60,72,41,179,476,220,115,39,16,65,93
