球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
马刺,西部,14,48.1,41.6,73.1,8.64,32.0,102.0,40.64,22.9,14.29,6.5,4.642,20.357,531,1104,132,317,234,320,121,448,1428,569,320,91,65,200,285
雷霆,西部,20,46.5,35.5,82.0,9.3,30.45,101.3,39.75,18.0,11.55,8.65,6.85,22.4,744,1599,136,383,401,489,186,609,2025,795,360,173,137,231,448
热火,东部,23,46.0,34.7,74.4,10.17,30.26,97.3,40.44,17.5,13.0,7.3,4.956,20.565,804,1749,157,452,474,637,234,696,2239,930,402,168,114,299,473
掘金,西部,7,43.0,27.8,71.8,15.43,32.29,96.7,47.71,20.9,11.14,7.0,6.857,21.0,269,625,37,133,102,142,108,226,677,334,146,49,48,78,147
湖人,西部,12,42.3,30.4,77.8,14.17,30.67,94.0,44.83,18.8,12.5,5.75,7.75,19.666,422,998,63,207,221,284,170,368,1128,538,226,69,93,150,236
独行侠,西部,4,40.4,37.2,83.2,10.5,30.0,93.3,40.5,15.5,14.5,8.0,3.5,20.75,126,312,32,86,89,107,42,120,373,162,62,32,14,58,83
灰熊,西部,7,42.7,28.9,74.4,13.43,29.29,91.4,42.71,16.3,15.43,7.14,4.857,23.285,228,534,24,83,160,215,94,205,640,299,114,50,34,108,163
快船,西部,11,45.8,37.8,66.7,8.73,28.09,90.9,36.82,17.3,14.73,9.46,6.545,24.09,379,828,68,180,174,261,96,309,1000,405,190,104,72,162,265
步行者,东部,11,42.4,32.0,77.1,12.36,31.64,90.9,44.0,16.3,15.09,6.91,5.454,22.0,371,874,63,197,195,253,136,348,1000,484,179,76,60,166,242
凯尔特人,东部,20,43.8,28.5,79.9,7.95,31.9,89.5,39.85,19.8,13.0,8.2,4.9,21.65,676,1543,93,326,345,432,159,638,1790,797,396,164,98,260,433
爵士,西部,4,38.2,20.0,70.5,16.0,32.5,86.3,48.5,16.8,13.5,6.5,6.75,20.25,131,343,9,45,74,105,64,130,345,194,67,26,27,54,81
76人,东部,13,41.1,30.4,71.9,10.77,31.0,85.7,41.77,18.2,11.54,7.62,5.307,18.692,417,1015,52,171,228,317,140,403,1114,543,236,99,69,150,243
公牛,东部,6,42.1,34.2,64.9,11.5,35.33,84.3,46.83,22.5,14.33,5.17,6.666,20.5,204,484,26,76,72,111,69,212,506,281,135,31,40,86,123
魔术,东部,5,39.8,34.1,70.5,9.8,28.6,83.8,38.4,17.2,14.0,6.0,4.4,19.0,155,389,42,123,67,95,49,143,419,192,86,30,22,70,95
尼克斯,东部,5,41.7,27.5,76.1,12.4,28.0,82.8,40.4,12.6,18.4,6.0,2.2,24.2,153,367,25,91,83,109,62,140,414,202,63,30,11,92,121
老鹰,东部,6,40.1,31.0,78.4,10.0,32.5,82.2,42.5,17.5,15.33,5.5,3.333,19.833,191,476,35,113,76,97,60,195,493,255,105,33,20,92,119
