球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
掘金,西部,6,47.6,,76.5,10.33,29.33,109.3,39.67,19.2,13.67,8.17,,,224,471,,,169,221,62,176,656,238,115,49,28,82,185
太阳,西部,16,47.7,,77.3,10.69,29.44,107.1,40.13,20.8,12.56,5.88,,,608,1274,,,348,450,171,471,1714,642,333,94,66,201,358
爵士,西部,10,47.9,,72.8,10.9,28.7,107.1,39.6,23.8,13.2,5.9,,,381,795,,,244,335,109,287,1071,396,238,59,44,132,270
湖人,西部,23,46.0,,75.4,12.78,30.13,101.1,42.91,19.7,12.48,6.7,,,859,1867,,,450,597,294,693,2325,987,452,154,143,287,534
骑士,东部,11,46.9,,74.1,8.64,31.09,100.2,39.73,21.1,14.91,6.09,,,384,819,,,255,344,95,342,1102,437,232,67,73,164,241
公牛,东部,5,43.9,,79.8,10.8,30.2,97.0,41.0,19.0,10.0,5.8,,,189,431,,,91,114,54,151,485,205,95,29,15,50,107
魔术,东部,14,46.3,,70.1,9.29,31.07,96.6,40.36,16.9,13.71,6.43,,,459,991,,,296,422,130,435,1352,565,236,90,77,192,313
马刺,西部,10,46.4,,69.5,10.1,31.0,96.1,41.1,19.2,12.7,6.8,,,364,785,,,185,266,101,310,961,411,192,68,43,127,210
凯尔特人,东部,24,45.3,,75.5,8.83,30.29,93.9,39.13,21.1,13.92,8.0,,,823,1816,,,468,620,212,727,2253,939,507,192,110,334,590
雷霆,西部,6,39.1,,83.5,11.67,31.67,93.8,43.33,16.2,12.5,6.5,,,184,471,,,162,194,70,190,563,260,97,39,37,75,137
开拓者,西部,6,43.0,,73.8,10.83,26.5,93.0,37.33,19.5,11.0,6.0,,,198,461,,,124,168,65,159,558,224,117,36,26,66,139
独行侠,西部,6,42.9,,79.3,12.0,31.83,92.8,43.83,18.5,13.0,7.5,,,204,476,,,111,140,72,191,557,263,111,45,30,78,135
雄鹿,东部,7,42.4,,80.6,11.14,28.0,90.0,39.14,16.3,12.43,6.29,,,236,557,,,112,139,78,196,630,274,114,44,23,87,147
老鹰,东部,11,42.5,,78.5,13.0,26.91,89.5,39.91,16.4,11.73,6.36,,,372,876,,,190,242,143,296,984,439,180,70,56,129,233
热火,东部,5,43.5,,73.1,9.4,28.2,87.6,37.6,17.6,17.8,7.0,,,168,386,,,68,93,47,141,438,188,88,35,25,89,114
黄蜂,东部,4,44.3,,71.6,8.5,28.0,85.5,36.5,20.3,15.5,5.5,,,125,282,,,73,102,34,112,342,146,81,22,18,62,107
