球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
太阳,西部,20,48.2,,83.1,7.65,29.0,107.2,36.65,23.4,11.55,5.65,,,801,1661,,,358,431,153,580,2144,733,468,113,87,231,438
快船,西部,12,49.1,,81.6,11.0,34.58,105.7,45.58,20.8,15.5,5.0,,,476,969,,,262,321,132,415,1268,547,249,60,71,186,287
马刺,西部,13,49.2,,77.7,8.15,29.0,103.1,37.15,17.5,13.31,6.54,,,474,963,,,314,404,106,377,1340,483,227,85,72,173,308
奇才,东部,6,44.9,,74.5,11.5,27.67,101.7,39.17,17.5,12.83,6.83,,,212,472,,,149,200,69,166,610,235,105,41,33,77,136
湖人,西部,7,45.4,,76.4,11.0,31.57,100.6,42.57,17.1,15.0,6.43,,,264,582,,,126,165,77,221,704,298,120,45,22,105,160
独行侠,西部,23,45.1,,80.9,12.17,30.48,99.7,42.65,15.3,12.83,6.61,,,831,1842,,,522,645,280,701,2294,981,351,152,99,295,587
公牛,东部,6,44.5,,74.2,8.83,30.5,98.3,39.33,18.3,15.83,5.67,,,204,458,,,135,182,53,183,590,236,110,34,23,95,155
雄鹿,东部,5,47.1,,78.5,10.6,26.4,97.6,37.0,21.0,13.2,6.0,,,189,401,,,84,107,53,132,488,185,105,30,12,66,134
国王,西部,6,44.3,,79.2,12.33,26.0,97.3,38.33,15.3,13.0,7.5,,,208,469,,,137,173,74,156,584,230,92,45,15,78,156
热火,东部,23,48.1,,65.5,9.52,32.52,96.3,42.04,17.5,15.52,7.0,,,801,1666,,,466,711,219,748,2214,967,402,161,105,357,553
NJN,东部,11,45.2,,76.1,10.0,28.64,94.2,38.64,22.1,12.73,6.91,,,377,834,,,223,293,110,315,1036,425,243,76,28,140,293
活塞,东部,18,43.2,,72.4,11.33,27.44,91.7,38.78,18.7,11.89,6.44,,,578,1338,,,370,511,204,494,1650,698,336,116,74,214,367
骑士,东部,13,43.7,,76.4,12.46,29.77,90.4,42.23,16.2,14.46,6.54,,,437,999,,,246,322,162,387,1175,549,210,85,55,188,320
步行者,东部,6,44.3,,74.8,8.33,29.0,89.3,37.33,17.8,15.83,6.0,,,187,422,,,122,163,50,174,536,224,107,36,27,95,149
掘金,西部,5,38.0,,72.7,14.0,27.8,87.4,41.8,19.8,11.8,6.8,,,163,429,,,96,132,70,139,437,209,99,34,21,59,116
灰熊,西部,4,45.1,,72.6,8.25,26.0,84.3,34.25,14.0,16.0,4.75,,,120,266,,,82,113,33,104,337,137,56,19,15,64,110
