球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
公牛,东部,7,44.1,,80.9,10.43,35.14,108.3,45.57,19.9,16.14,6.71,,,269,610,,,169,209,73,246,758,319,139,47,57,113,172
掘金,西部,16,47.5,,75.9,10.69,29.56,107.9,40.25,22.6,12.13,9.19,,,596,1255,,,406,535,171,473,1727,644,362,147,83,194,413
湖人,西部,23,46.5,,74.7,11.13,30.91,102.4,42.04,19.4,13.04,7.87,,,861,1852,,,473,633,256,711,2355,967,446,181,144,300,540
凯尔特人,东部,14,44.5,,79.1,10.86,32.36,102.1,43.21,22.9,13.64,7.79,,,524,1177,,,288,364,152,453,1430,605,321,109,69,191,340
独行侠,西部,10,47.0,,81.3,9.2,31.5,101.6,40.7,18.1,13.0,6.5,,,356,757,,,231,284,92,315,1016,407,181,65,38,130,228
骑士,东部,14,46.3,,74.2,10.07,30.21,97.6,40.29,19.1,12.36,6.64,,,487,1052,,,299,403,141,423,1366,564,268,93,64,173,288
爵士,西部,5,43.2,,74.2,13.2,29.4,97.4,42.6,25.4,14.6,9.8,,,175,405,,,112,151,66,147,487,213,127,49,17,73,119
魔术,东部,24,45.7,,72.2,8.33,30.04,97.0,38.38,18.9,13.17,6.75,,,828,1810,,,470,651,200,721,2327,921,453,162,116,316,513
火箭,西部,13,44.7,,76.8,9.69,30.85,91.5,40.54,17.0,14.23,6.15,,,442,989,,,219,285,126,401,1189,527,221,80,41,185,261
马刺,西部,5,45.7,,70.9,8.8,28.8,90.4,37.6,16.0,11.0,5.6,,,175,383,,,73,103,44,144,452,188,80,28,15,55,110
76人,东部,6,45.3,,71.0,8.0,28.83,88.5,36.83,17.8,14.67,6.17,,,204,450,,,88,124,48,173,531,221,107,37,18,88,138
热火,东部,7,45.0,,81.6,8.86,29.86,88.1,38.71,15.0,13.43,6.14,,,219,487,,,129,158,62,209,617,271,105,43,40,94,155
开拓者,西部,6,44.7,,76.3,9.83,26.5,87.2,36.33,14.7,11.33,6.0,,,200,447,,,90,118,59,159,523,218,88,36,45,68,130
黄蜂,西部,5,39.6,,80.7,9.2,27.8,84.2,37.0,15.8,18.4,6.6,,,139,351,,,113,140,46,139,421,185,79,33,13,92,124
老鹰,东部,11,40.9,,74.4,10.73,24.18,84.0,34.91,16.9,12.09,6.91,,,331,810,,,195,262,118,266,924,384,186,76,37,133,235
活塞,东部,4,40.9,,82.8,7.5,26.0,78.0,33.5,16.5,11.25,4.25,,,126,308,,,48,58,30,104,312,134,66,17,12,45,95
