球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
勇士,西部,11,45.0,,73.5,11.46,26.82,106.6,38.27,17.2,14.91,10.27,,,402,893,,,247,336,126,295,1173,421,189,113,60,164,293
太阳,西部,11,47.7,,78.0,9.18,31.18,104.1,40.36,23.4,13.82,6.36,,,429,900,,,209,268,101,343,1145,444,257,70,57,152,216
独行侠,西部,6,42.3,,77.2,14.0,30.33,98.5,44.33,17.8,16.33,8.33,,,205,485,,,139,180,84,182,591,266,107,50,30,98,143
湖人,西部,5,44.2,,72.2,14.2,29.2,98.0,43.4,14.4,15.2,5.8,,,190,430,,,78,108,71,146,490,217,72,29,20,76,115
爵士,西部,17,45.9,,74.9,13.0,31.18,97.9,44.18,22.2,16.0,7.35,,,619,1350,,,353,471,221,530,1664,751,377,125,81,272,419
马刺,西部,20,45.9,,72.4,10.5,30.1,95.7,40.6,19.9,13.9,7.1,,,705,1535,,,352,486,210,602,1913,812,397,142,110,278,410
公牛,东部,10,43.0,,72.9,11.6,30.3,92.4,41.9,20.6,15.3,7.0,,,325,756,,,215,295,116,303,924,419,206,70,42,153,221
奇才,东部,4,41.3,,77.0,10.25,26.25,91.5,36.5,18.8,8.75,5.5,,,137,332,,,67,87,41,105,366,146,75,22,12,35,85
活塞,东部,16,43.0,,76.7,11.81,28.75,91.4,40.56,20.1,13.31,7.06,,,523,1216,,,323,421,189,460,1462,649,322,113,75,213,382
猛龙,东部,6,44.2,,80.4,7.33,30.5,90.8,37.83,16.2,14.67,7.67,,,195,441,,,123,153,44,183,545,227,97,46,24,88,128
NJN,东部,12,44.4,,74.3,8.58,31.25,90.2,39.83,23.0,16.08,6.33,,,391,880,,,208,280,103,375,1082,478,276,76,35,193,254
热火,东部,4,44.5,,61.5,8.0,28.25,88.8,36.25,17.8,14.75,6.25,,,133,299,,,67,109,32,113,355,145,71,25,21,59,101
骑士,东部,20,42.1,,73.7,11.9,31.4,88.8,43.3,17.5,13.0,7.2,,,642,1526,,,384,521,238,628,1776,866,350,144,69,260,414
掘金,西部,5,42.3,,78.1,13.0,30.4,88.2,43.4,17.6,15.2,5.6,,,168,397,,,82,105,65,152,441,217,88,28,21,76,90
魔术,东部,4,47.8,,57.9,11.25,29.0,88.0,40.25,18.0,14.75,4.25,,,138,289,,,66,114,45,116,352,161,72,17,14,59,97
火箭,西部,7,41.0,,78.8,9.86,31.71,87.3,41.57,18.1,14.86,7.0,,,208,507,,,145,184,69,222,611,291,127,49,29,104,135
