球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
超音速,西部,12,44.4,,81.6,13.9,28.8,105.1,42.8,23.4,13.58,10.08,,,441,994,,,279,342,167,346,1261,513,281,121,49,163,282
火箭,西部,16,45.8,,76.7,12.3,29.3,101.3,41.5,23.1,15.19,7.69,,,565,1233,,,349,455,196,468,1621,664,370,123,70,243,350
太阳,西部,5,41.6,,76.3,10.0,30.4,100.2,40.4,22.8,16.2,8.2,,,172,413,,,106,139,50,152,501,202,114,41,26,81,110
森林狼,西部,3,45.1,,74.1,14.0,24.7,99.7,38.7,24.0,9.33,7.67,,,120,266,,,40,54,42,74,299,116,72,23,12,28,70
爵士,西部,20,45.2,,78.5,11.4,30.4,96.1,41.8,21.8,13.3,7.35,,,673,1490,,,477,608,228,607,1922,835,435,147,98,266,496
黄蜂,东部,3,45.2,,80.6,12.7,24.3,95.7,37.0,18.3,13.33,6.67,,,109,241,,,50,62,38,73,287,111,55,20,9,40,63
湖人,西部,9,44.7,,74.0,11.2,27.7,95.2,38.9,20.6,13.33,6.78,,,290,649,,,233,315,101,249,857,350,185,61,55,120,241
奇才,东部,3,47.4,,78.2,11.3,24.3,95.0,35.7,17.0,18.67,4.67,,,102,215,,,68,87,34,73,285,107,51,14,19,56,77
公牛,东部,19,43.2,,73.5,14.9,28.6,92.5,43.5,20.7,12.42,8.53,,,659,1524,,,324,441,283,543,1758,826,393,162,92,236,461
快船,西部,3,43.6,,73.3,10.3,23.0,92.3,33.3,16.3,12.0,6.33,,,98,225,,,63,86,31,69,277,100,49,19,13,36,87
尼克斯,东部,10,46.7,,77.0,9.7,29.8,91.2,39.5,21.1,15.7,8.6,,,343,735,,,171,222,97,298,912,395,211,86,35,157,234
开拓者,西部,4,44.9,,72.5,11.8,25.3,89.8,37.0,19.8,15.5,5.5,,,131,292,,,79,109,47,101,359,148,79,22,17,62,115
老鹰,东部,10,43.6,,77.8,11.0,29.0,89.0,40.0,15.4,16.1,4.5,,,309,708,,,203,261,110,290,890,400,154,45,43,161,199
热火,东部,17,40.9,,69.2,11.1,30.2,85.9,41.3,17.2,16.24,6.71,,,502,1226,,,315,455,189,513,1461,702,292,114,87,276,384
活塞,东部,5,43.3,,76.8,8.6,23.2,85.6,31.8,13.6,9.6,7.0,,,162,374,,,76,99,43,116,428,159,68,35,12,48,101
魔术,东部,5,40.8,,74.6,9.6,28.0,84.2,37.6,13.2,12.4,6.4,,,149,365,,,94,126,48,140,421,188,66,32,26,62,95
