球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
湖人,西部,16,46.8,,67.6,14.3,33.9,103.4,48.2,22.8,14.0,9.19,,,612,1309,,,332,491,229,542,1654,771,365,147,92,224,363
魔术,东部,4,43.5,,68.4,13.5,30.3,102.8,43.8,22.0,11.25,8.0,,,156,359,,,67,98,54,121,411,175,88,32,25,45,106
国王,西部,8,40.3,,81.7,15.1,32.5,97.6,47.6,16.8,16.63,8.13,,,277,688,,,187,229,121,260,781,381,134,65,42,133,194
黄蜂,东部,10,43.4,,74.8,13.2,29.9,95.7,43.1,19.7,12.1,8.6,,,339,781,,,235,314,132,299,957,431,197,86,46,121,209
雄鹿,东部,18,43.4,,80.0,12.8,31.9,95.7,44.8,21.9,13.0,5.89,,,630,1450,,,341,426,231,575,1722,806,395,106,123,234,429
76人,东部,23,42.1,,76.1,14.1,29.7,92.3,43.9,20.0,12.39,8.04,,,783,1859,,,470,618,325,684,2124,1009,459,185,113,285,475
独行侠,西部,10,39.9,,84.8,12.2,28.8,92.2,41.0,17.0,11.6,5.9,,,322,808,,,217,256,122,288,922,410,170,59,55,116,234
猛龙,东部,12,44.3,,75.6,11.9,26.8,92.2,38.8,22.4,13.58,7.83,,,423,954,,,189,250,143,322,1106,465,269,94,73,163,257
马刺,西部,13,43.9,,71.6,10.7,32.9,91.5,43.6,19.6,13.92,6.08,,,434,989,,,250,349,139,428,1190,567,255,79,78,181,269
爵士,西部,5,42.4,,77.5,12.6,29.4,89.6,42.0,23.2,12.2,5.2,,,165,389,,,100,129,63,147,448,210,116,26,26,61,134
开拓者,西部,3,41.9,,75.6,9.7,28.0,89.0,37.7,16.3,15.0,6.33,,,96,229,,,59,78,29,84,267,113,49,19,14,45,64
尼克斯,东部,5,46.8,,77.8,7.8,28.6,89.0,36.4,15.6,14.6,6.2,,,167,357,,,91,117,39,143,445,182,78,31,19,73,121
PHO,西部,4,38.0,,71.4,13.5,30.8,88.5,44.3,21.3,13.75,9.75,,,136,358,,,65,91,54,123,354,177,85,39,23,55,94
步行者,东部,4,39.8,,82.7,11.8,28.0,87.3,39.8,20.8,12.5,4.75,,,131,329,,,62,75,47,112,349,159,83,19,18,50,94
森林狼,西部,4,38.7,,81.4,11.0,31.5,82.0,42.5,18.5,12.75,7.5,,,123,318,,,70,86,44,126,328,170,74,30,23,51,97
热火,东部,3,41.0,,70.7,7.3,27.7,78.3,35.0,16.7,18.67,5.0,,,89,217,,,41,58,22,83,235,105,50,15,15,56,76
