球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
独行侠,西部,5,45.2,31.1,76.2,13.6,33.8,110.0,47.4,21.2,14.2,7.0,4.6,27.2,208,460,38,122,96,126,68,169,550,237,106,35,23,71,136
火箭,西部,17,44.8,34.4,65.4,10.9,34.8,108.2,45.7,21.9,15.5,8.4,5.5,23.4,635,1417,161,468,408,624,185,592,1839,777,372,142,93,263,398
快船,西部,14,46.6,32.9,66.7,9.6,35.0,107.8,44.6,22.5,13.1,8.6,5.9,24.8,553,1187,117,356,286,429,135,490,1509,625,315,120,82,184,347
马刺,西部,7,44.9,36.6,68.0,11.7,34.7,103.4,46.4,24.1,12.1,6.1,4.7,24.9,268,597,67,183,121,178,82,243,724,325,169,43,33,85,174
勇士,西部,21,45.3,37.4,69.9,11.6,34.0,103.3,45.6,24.5,14.6,8.0,5.8,22.4,802,1769,240,641,325,465,243,715,2169,958,515,168,121,307,471
奇才,东部,10,44.1,40.3,72.2,11.6,35.6,101.1,47.2,23.1,14.5,7.1,5.3,20.0,373,845,94,233,171,237,116,356,1011,472,231,71,53,145,200
鹈鹕,西部,4,45.1,31.8,80.9,10.8,31.3,100.8,42.0,23.3,13.5,7.5,5.8,23.8,152,337,27,85,72,89,43,125,403,168,93,30,23,54,95
骑士,东部,20,42.0,34.0,73.8,12.3,34.9,99.0,47.1,18.0,12.95,6.3,6.35,20.9,694,1654,195,574,397,538,245,697,1980,942,360,126,127,259,418
老鹰,东部,16,43.1,31.7,78.1,9.8,33.9,98.0,43.7,23.8,12.7,8.5,4.9,19.7,590,1369,145,458,243,311,157,542,1568,699,381,136,79,203,315
篮网,东部,6,43.5,35.4,74.4,9.5,35.0,96.3,44.5,21.7,14.3,7.5,3.3,19.0,217,499,51,144,93,125,57,210,578,267,130,45,20,86,114
猛龙,东部,4,41.6,30.0,71.8,8.8,29.8,96.3,38.5,19.5,12.0,7.5,2.25,25.0,147,353,30,100,61,85,35,119,385,154,78,30,9,48,100
公牛,东部,12,41.9,37.3,77.5,11.7,33.8,96.0,45.4,22.2,14.0,7.2,6.6,18.8,421,1005,110,295,200,258,140,405,1152,545,266,86,79,168,226
凯尔特人,东部,4,42.0,25.6,77.5,10.0,30.8,94.8,40.8,20.0,13.5,5.3,3.8,26.8,139,331,22,86,79,102,40,123,379,163,80,21,15,54,107
灰熊,西部,11,42.5,31.2,83.2,10.5,32.9,94.7,43.5,20.4,11.0,8.6,4.1,19.4,393,925,48,154,208,250,116,362,1042,478,224,95,45,121,213
开拓者,西部,5,40.0,35.1,82.4,10.0,34.2,93.8,44.2,16.6,11.6,3.4,5.2,20.6,167,418,46,131,89,108,50,171,469,221,83,17,26,58,103
雄鹿,东部,6,38.8,30.3,70.4,12.2,31.5,88.5,43.7,20.3,13.2,10.8,6.7,21.2,205,529,33,109,88,125,73,189,531,262,122,65,40,79,127
