球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
独行侠,西部,5,39.6,,77.1,20.4,31.8,99.6,52.2,20.6,13.6,9.2,,,191,482,,,91,118,102,159,498,261,103,46,33,68,108
国王,西部,12,42.5,,75.8,10.9,33.1,95.2,44.0,22.8,14.33,9.42,,,423,995,,,226,298,131,397,1142,528,274,113,44,172,253
森林狼,西部,18,44.1,,78.0,9.7,32.3,91.9,42.0,19.3,15.0,6.61,,,611,1387,,,327,419,174,582,1655,756,347,119,93,270,437
掘金,西部,5,42.7,,70.2,14.4,28.8,90.6,43.2,20.4,14.2,7.8,,,186,436,,,59,84,72,144,453,216,102,39,14,71,121
马刺,西部,10,44.0,,64.4,12.6,29.7,89.3,42.3,19.4,15.5,7.7,,,335,762,,,154,239,126,297,893,423,194,77,42,155,228
NJN,东部,11,42.3,,73.0,10.6,32.1,88.2,42.7,20.5,18.55,8.64,,,339,801,,,243,333,117,353,970,470,225,95,59,204,286
湖人,西部,22,44.4,,61.2,10.2,30.0,88.1,40.2,22.6,12.64,7.32,,,727,1639,,,376,614,224,661,1939,885,498,161,93,278,503
活塞,东部,23,41.2,,73.4,12.9,32.0,87.1,44.8,19.4,14.87,8.0,,,722,1754,,,462,629,296,735,2003,1031,447,184,164,342,518
雄鹿,东部,5,41.6,,74.1,11.2,28.0,85.6,39.2,20.6,16.4,8.2,,,162,389,,,80,108,56,140,428,196,103,41,21,82,112
步行者,东部,16,40.8,,73.3,10.8,31.3,85.5,42.1,17.9,13.56,8.69,,,491,1202,,,291,397,173,501,1368,674,286,139,100,217,376
火箭,西部,5,42.7,,71.9,9.6,34.8,84.6,44.4,17.2,16.8,5.2,,,159,372,,,82,114,48,174,423,222,86,26,18,84,114
凯尔特人,东部,4,40.8,,80.6,9.3,31.8,84.5,41.0,17.5,19.75,6.5,,,115,282,,,87,108,37,127,338,164,70,26,20,79,81
热火,东部,13,40.8,,75.4,11.4,30.5,84.1,41.8,16.3,14.15,7.54,,,397,972,,,251,333,148,396,1093,544,212,98,53,184,317
尼克斯,东部,4,38.4,,72.3,12.3,26.3,84.0,38.5,19.5,16.25,9.25,,,123,320,,,73,101,49,105,336,154,78,37,16,65,112
灰熊,西部,4,42.4,,77.7,9.5,25.0,83.5,34.5,14.5,14.25,9.5,,,123,290,,,73,94,38,100,334,138,58,38,20,57,100
黄蜂,东部,7,38.4,,77.9,12.3,30.0,80.6,42.3,19.3,17.14,6.14,,,205,534,,,113,145,86,210,564,296,135,43,32,120,146
