球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
掘金,西部,6,43.8,31.1,73.0,11.83,26.83,103.0,38.67,21.2,14.5,9.0,2.83,23.17,223,509,42,135,130,178,71,161,618,232,127,54,17,87,139
勇士,西部,12,46.2,38.8,73.6,11.5,34.58,102.7,46.08,21.7,16.5,6.42,4.92,23.75,468,1013,104,268,192,261,138,415,1232,553,260,77,59,198,285
马刺,西部,21,46.3,37.8,76.3,9.71,32.86,100.3,42.57,21.9,12.86,7.86,5.05,19.1,799,1726,165,437,344,451,204,690,2107,894,459,165,106,270,401
火箭,西部,6,42.4,34.7,71.1,10.83,32.67,100.0,43.5,18.0,15.83,5.83,5.5,23.17,206,486,70,202,118,166,65,196,600,261,108,35,33,95,139
篮网,东部,7,44.2,31.6,75.8,11.71,30.43,99.4,42.14,19.9,11.57,6.29,5.57,19.86,259,586,43,136,135,178,82,213,696,295,139,44,39,81,139
雷霆,西部,11,42.7,34.9,83.8,9.82,33.09,98.5,42.91,18.1,13.64,6.0,7.0,24.91,383,898,95,272,222,265,108,364,1083,472,199,66,77,150,274
热火,东部,23,46.8,38.1,76.6,9.7,28.39,97.1,38.09,20.6,13.09,8.3,5.43,22.17,824,1762,177,465,409,534,223,653,2234,876,473,191,125,301,510
灰熊,西部,15,41.8,32.4,74.8,11.73,30.0,94.7,41.73,19.3,10.73,7.27,4.6,22.13,511,1223,72,222,326,436,176,450,1420,626,290,109,69,161,332
快船,西部,6,46.7,30.4,78.2,8.83,28.33,94.7,37.17,18.0,13.33,5.17,5.67,27.83,211,452,35,115,111,142,53,170,568,223,108,31,34,80,167
公牛,东部,12,43.8,31.9,72.0,11.75,29.0,91.9,40.75,19.5,14.25,6.42,4.58,22.42,420,959,65,204,198,275,141,348,1103,489,234,77,55,171,269
步行者,东部,19,43.3,32.7,74.0,12.74,32.9,91.8,45.63,17.5,16.42,5.42,4.47,22.42,612,1413,119,364,401,542,242,625,1744,867,332,103,85,312,426
老鹰,东部,6,42.2,33.0,68.2,8.33,30.0,89.3,38.33,19.2,12.17,7.33,3.83,24.17,196,464,37,112,107,157,50,180,536,230,115,44,23,73,145
尼克斯,东部,12,41.0,34.3,78.2,10.67,28.83,88.6,39.5,15.1,11.58,8.83,4.25,23.75,399,972,96,280,169,216,128,346,1063,474,181,106,51,139,285
湖人,西部,4,44.2,27.0,60.8,8.5,31.5,85.3,40.0,18.5,16.5,5.75,5.25,17.5,138,312,20,74,45,74,34,126,341,160,74,23,21,66,70
雄鹿,东部,4,43.3,26.1,63.0,8.75,26.0,85.3,34.75,19.8,16.25,10.0,2.5,19.75,133,307,24,92,51,81,35,104,341,139,79,40,10,65,79
凯尔特人,东部,6,41.3,33.1,86.0,5.17,33.83,82.3,39.0,16.8,17.33,5.5,3.0,18.83,171,414,41,124,111,129,31,203,494,234,101,33,18,104,113
