球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
勇士,西部,24,45.5,39.3,73.5,10.5,32.7,107.7,43.2,24.3,14.0,8.0,5.5,22.0,934,2055,306,778,411,559,252,785,2585,1037,583,191,131,336,527
雷霆,西部,18,45.2,33.3,78.6,12.5,34.4,106.4,46.9,20.5,13.9,7.7,5.4,20.3,688,1521,149,448,390,496,225,620,1915,845,369,139,97,250,366
开拓者,西部,11,41.6,38.1,74.0,12.9,34.7,105.0,47.6,21.5,13.1,6.2,3.9,23.5,408,980,131,344,208,281,142,382,1155,524,237,68,43,144,258
骑士,东部,21,46.9,40.6,72.5,10.7,32.6,104.8,43.3,21.2,12.5,7.8,4.2,19.6,805,1717,258,635,332,458,225,684,2200,909,446,163,89,262,412
马刺,西部,10,46.9,42.9,80.0,7.9,31.6,102.0,39.5,21.3,11.6,9.1,7.0,18.2,387,825,82,191,164,205,79,316,1020,395,213,91,70,116,182
老鹰,东部,10,43.2,33.3,79.5,8.9,35.4,100.1,44.3,22.6,14.4,7.5,7.6,20.2,366,848,106,318,163,205,89,354,1001,443,226,75,76,144,202
快船,西部,6,43.7,29.1,62.5,11.3,34.8,98.3,46.2,18.2,9.7,8.5,4.7,20.5,223,510,34,117,110,176,68,209,590,277,109,51,28,58,123
热火,东部,14,45.8,35.8,76.5,9.1,35.1,96.9,44.2,16.4,13.1,5.4,5.9,21.2,516,1127,96,268,228,298,127,492,1356,619,229,76,83,184,297
活塞,东部,4,47.8,37.6,64.8,7.0,30.8,95.0,37.8,21.8,10.5,5.3,3.3,19.0,144,301,35,93,57,88,28,123,380,151,87,21,13,42,76
独行侠,西部,5,43.6,29.0,69.4,9.2,25.8,93.8,35.0,20.6,11.8,6.0,2.4,24.0,177,406,31,107,84,121,46,129,469,175,103,30,12,59,120
凯尔特人,东部,6,38.4,27.5,78.6,10.7,35.3,93.8,46.0,21.0,14.7,6.3,6.5,22.0,206,537,52,189,99,126,64,212,563,276,126,38,39,88,132
步行者,东部,7,44.1,38.3,82.0,9.1,30.1,93.7,39.3,18.1,14.4,7.6,5.6,22.3,231,524,57,149,137,167,64,211,656,275,127,53,39,101,156
猛龙,东部,20,42.1,29.8,73.7,10.8,29.6,93.4,40.4,15.7,13.0,7.5,3.7,21.9,685,1628,137,459,361,490,216,591,1868,807,314,150,73,260,437
火箭,西部,5,38.6,26.8,64.2,14.4,33.0,91.2,47.4,18.0,19.0,8.4,4.2,25.6,165,428,38,142,88,137,72,165,456,237,90,42,21,95,128
黄蜂,东部,7,39.6,30.8,83.9,7.1,29.7,90.3,36.9,13.6,9.43,5.71,3.29,17.43,223,563,40,130,146,174,50,208,632,258,95,40,23,66,122
灰熊,西部,4,39.4,29.7,70.0,13.8,27.3,81.0,41.0,16.5,15.5,7.8,4.0,21.5,128,325,19,64,49,70,55,109,324,164,66,31,16,62,86
