球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
湖人,西部,13,47.4,,65.0,13.4,26.7,100.2,40.1,22.7,12.92,7.38,,,463,976,,,299,460,174,347,1303,521,295,96,101,168,320
开拓者,西部,4,45.3,,77.2,14.0,27.8,99.8,41.8,24.0,16.25,7.0,,,144,318,,,88,114,56,111,399,167,96,28,21,65,119
超音速,西部,10,45.5,,75.3,12.7,26.1,95.2,38.8,22.0,12.7,8.7,,,356,783,,,174,231,127,261,952,388,220,87,43,127,235
NJN,东部,3,47.0,,75.7,12.3,27.0,95.0,39.3,16.7,13.33,7.0,,,111,236,,,56,74,37,81,285,118,50,21,10,40,78
公牛,东部,21,44.5,,73.4,14.0,27.0,93.1,41.0,20.5,12.57,8.95,,,717,1611,,,434,591,294,566,1956,860,431,188,95,264,478
太阳,西部,4,43.4,,69.4,12.0,28.5,93.0,40.5,19.8,11.0,8.5,,,148,341,,,59,85,48,114,372,162,79,34,16,44,100
马刺,西部,9,46.2,,69.0,11.0,32.6,91.8,43.6,17.3,14.44,5.67,,,300,649,,,191,277,99,293,826,392,156,51,63,130,199
步行者,东部,16,46.0,,76.0,9.3,26.0,91.8,35.3,19.1,14.63,7.19,,,512,1113,,,357,470,148,416,1468,564,306,115,79,234,397
森林狼,西部,5,41.6,,80.4,13.6,25.8,90.2,39.4,23.2,14.0,7.4,,,166,399,,,82,102,68,129,451,197,116,37,18,70,113
爵士,西部,20,45.5,,74.5,9.7,30.1,89.0,39.8,22.3,14.35,6.5,,,667,1467,,,379,509,194,602,1779,796,446,130,97,287,520
尼克斯,东部,10,43.6,,76.5,10.5,29.2,88.6,39.7,18.8,16.1,8.6,,,322,738,,,189,247,105,292,886,397,188,86,20,161,268
老鹰,东部,4,44.9,,68.5,11.0,29.0,87.5,40.0,17.0,12.75,7.75,,,131,292,,,61,89,44,116,350,160,68,31,19,51,94
热火,东部,5,43.1,,68.2,8.2,28.6,87.4,36.8,16.4,13.6,6.8,,,150,348,,,101,148,41,143,437,184,82,34,19,68,127
火箭,西部,5,38.5,,73.2,11.2,31.2,84.6,42.4,16.2,13.0,7.2,,,145,377,,,109,149,56,156,423,212,81,36,25,65,119
黄蜂,东部,9,45.4,,68.4,9.1,27.0,82.8,36.1,21.2,14.11,6.44,,,298,656,,,117,171,82,243,745,325,191,58,25,127,194
骑士,东部,4,43.5,,72.3,10.0,24.5,80.8,34.5,18.5,18.25,8.5,,,107,246,,,102,141,40,98,323,138,74,34,12,73,95
