球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
独行侠,西部,6,47.3,36.0,72.3,7.7,35.5,117.0,43.2,21.5,12.67,6.5,3.67,22.5,253,535,81,225,115,159,46,213,702,259,129,39,22,76,135
快船,西部,13,47.4,36.8,79.8,9.5,34.5,114.0,44.0,21.2,13.0,7.46,3.69,22.92,532,1123,157,427,261,327,123,449,1482,572,275,97,48,169,298
爵士,西部,7,48.7,42.1,77.3,9.3,31.9,113.4,41.1,21.4,12.0,6.14,3.14,19.0,279,573,110,261,126,163,65,223,794,288,150,43,22,84,133
湖人,西部,21,48.9,35.4,75.8,10.6,33.5,112.8,44.1,25.6,15.38,8.05,5.33,22.67,862,1764,254,718,391,516,222,704,2369,926,538,169,112,323,476
雄鹿,东部,10,46.0,35.8,72.4,9.4,37.3,111.1,46.7,24.3,14.9,7.2,4.2,21.7,401,871,133,371,176,243,94,373,1111,467,243,72,42,149,217
热火,东部,21,46.0,35.9,82.5,7.8,33.6,110.0,41.3,24.9,13.19,6.9,3.86,19.86,792,1723,268,746,458,555,163,705,2310,868,523,145,81,277,417
猛龙,东部,11,44.2,36.3,77.8,8.2,36.5,109.4,44.6,24.8,13.09,7.09,5.45,22.45,430,973,161,443,182,234,90,401,1203,491,273,78,60,144,247
凯尔特人,东部,17,45.4,34.1,81.6,8.8,36.5,109.4,45.2,22.6,13.94,6.71,4.82,22.29,656,1444,211,619,336,412,149,620,1859,769,385,114,82,237,379
火箭,西部,12,43.6,36.2,78.9,6.7,32.2,107.7,38.8,21.3,13.42,9.08,3.5,22.17,449,1029,203,561,191,242,80,386,1292,466,256,109,42,161,266
掘金,西部,19,47.1,37.9,81.6,9.3,31.4,107.4,40.6,22.5,13.95,6.16,4.0,22.42,738,1568,233,615,332,407,176,596,2041,772,428,117,76,265,426
魔术,东部,5,42.0,37.7,83.8,6.6,36.4,107.0,43.0,23.8,14.6,6.8,3.2,21.0,186,443,75,199,88,105,33,182,535,215,119,34,16,73,105
开拓者,西部,5,42.6,37.9,79.2,9.8,33.0,106.6,42.8,17.8,16.0,7.4,3.6,25.0,188,441,58,153,99,125,49,165,533,214,89,37,18,80,125
篮网,东部,4,39.7,33.7,72.4,9.3,35.0,105.8,44.3,25.8,14.5,5.0,4.5,21.25,145,365,62,184,71,98,37,140,423,177,103,20,18,58,85
雷霆,西部,7,43.0,32.8,77.4,9.0,40.9,104.0,49.9,17.9,17.0,5.29,4.0,17.14,257,598,84,256,130,168,63,286,728,349,125,37,28,119,120
步行者,东部,4,45.5,37.5,77.8,5.8,30.8,100.8,36.5,22.5,15.25,9.25,5.5,23.25,146,321,48,128,63,81,23,123,403,146,90,37,22,61,93
76人,东部,4,39.6,26.4,81.3,12.3,33.8,100.5,46.0,17.5,12.0,5.0,4.5,22.25,133,336,32,121,104,128,49,135,402,184,70,20,18,48,89
