球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
勇士,西部,82,48.7,41.6,76.3,10.0,36.2,114.9,46.2,28.9,15.2,8.4,6.1,20.7,3489,7159,1077,2592,1366,1790,816,2972,9421,3788,2373,689,498,1245,1701
雷霆,西部,82,47.6,34.9,78.2,13.1,35.6,110.2,48.6,23.0,15.9,7.4,5.9,20.6,3372,7082,678,1945,1616,2067,1071,2916,9038,3987,1883,603,487,1305,1691
国王,西部,82,46.4,35.9,72.5,10.6,33.7,106.6,44.2,24.5,16.17,8.94,4.49,20.44,3283,7083,660,1839,1514,2089,868,2760,8740,3628,2009,733,368,1326,1676
火箭,西部,82,45.2,34.7,69.4,11.3,31.7,106.5,43.1,22.2,15.9,10.0,5.2,21.8,3094,6847,878,2533,1671,2407,930,2601,8737,3531,1821,821,430,1307,1790
凯尔特人,东部,82,43.9,33.5,78.8,11.6,33.3,105.7,44.9,24.2,13.7,9.2,4.2,21.9,3216,7318,717,2142,1520,1929,950,2733,8669,3683,1981,752,348,1127,1796
开拓者,西部,82,45.0,37.0,75.4,11.6,33.9,105.1,45.5,21.3,14.6,6.9,4.6,21.7,3167,7040,864,2336,1424,1889,948,2782,8622,3730,1748,562,380,1200,1782
快船,西部,82,46.5,36.4,69.2,8.8,33.3,104.5,42.0,22.8,13.0,8.6,5.6,21.3,3141,6759,797,2190,1490,2152,721,2727,8569,3448,1873,709,460,1063,1746
骑士,东部,82,46.0,36.2,74.8,10.6,33.9,104.3,44.5,22.7,13.6,6.7,3.9,20.3,3171,6888,880,2428,1333,1783,873,2777,8555,3650,1861,551,317,1114,1666
奇才,东部,82,46.0,35.8,73.0,9.1,32.8,104.1,41.8,24.5,14.46,8.63,3.94,20.83,3238,7033,709,1983,1349,1849,743,2688,8534,3431,2005,708,323,1186,1708
马刺,西部,82,48.4,37.5,80.3,9.4,34.5,103.5,43.9,24.5,13.1,8.3,5.9,17.5,3289,6797,570,1518,1342,1672,770,2831,8490,3601,2010,677,485,1071,1433
黄蜂,东部,82,43.9,36.2,79.0,9.0,35.0,103.4,43.9,21.7,12.5,7.3,5.3,18.1,3036,6922,873,2410,1534,1941,734,2869,8479,3603,1778,595,438,1029,1487
老鹰,东部,82,45.8,35.0,78.3,8.3,33.8,102.8,42.1,25.6,14.95,9.11,5.93,19.15,3168,6923,815,2326,1282,1638,679,2772,8433,3451,2100,747,486,1226,1570
鹈鹕,西部,82,44.8,36.0,77.6,9.5,33.1,102.7,42.6,22.2,13.4,7.7,4.2,20.9,3153,7040,702,1951,1415,1823,782,2712,8423,3494,1818,633,342,1102,1713
猛龙,东部,82,45.1,37.0,77.7,10.2,33.2,102.7,43.4,18.7,13.1,7.8,5.5,19.6,3006,6669,708,1915,1702,2190,836,2724,8422,3560,1536,636,449,1073,1610
森林狼,西部,82,46.4,33.8,79.2,10.0,31.5,102.4,41.6,23.4,15.01,8.0,4.57,20.68,3095,6668,455,1347,1753,2213,821,2587,8398,3408,1916,656,375,1231,1696
独行侠,西部,82,44.4,34.4,79.4,9.2,33.9,102.3,43.1,22.1,12.8,6.8,3.7,19.5,3064,6900,806,2342,1454,1831,751,2781,8388,3532,1813,560,306,1047,1595
步行者,东部,82,45.0,35.1,76.4,10.3,33.9,102.2,44.2,21.2,14.9,9.0,4.8,20.0,3142,6985,663,1889,1430,1872,847,2779,8377,3626,1741,742,391,1219,1641
魔术,东部,82,45.5,35.0,75.7,10.3,33.0,102.1,43.3,23.6,14.1,8.2,5.1,20.7,3242,7120,636,1818,1249,1649,843,2709,8369,3552,1933,673,417,1155,1701
活塞,东部,82,43.9,34.5,66.8,12.5,33.9,102.0,46.3,19.4,13.5,7.0,3.7,19.0,3111,7087,740,2148,1399,2095,1021,2777,8361,3798,1594,573,304,1110,1557
掘金,西部,82,44.2,33.8,76.6,11.5,33.1,101.9,44.6,22.7,14.7,7.4,4.8,21.0,3093,7003,656,1943,1513,1974,941,2718,8355,3659,1858,609,395,1202,1723
公牛,东部,82,44.1,37.1,78.7,11.1,35.2,101.6,46.3,22.8,13.9,6.0,5.7,18.8,3165,7170,651,1753,1354,1720,907,2889,8335,3796,1870,495,470,1141,1545
太阳,西部,82,43.5,34.8,75.1,11.5,33.3,100.9,44.8,20.7,17.2,7.7,3.8,22.7,3051,7018,738,2118,1431,1905,943,2733,8271,3676,1701,632,313,1410,1858
热火,东部,82,47.0,33.6,74.4,9.8,34.3,100.0,44.1,20.8,14.09,6.74,6.48,18.32,3150,6697,498,1480,1406,1889,807,2811,8204,3618,1709,553,531,1155,1502
灰熊,西部,82,44.0,33.1,78.3,11.2,30.5,99.1,41.6,20.7,13.3,8.8,4.3,21.7,3019,6859,504,1521,1584,2024,916,2497,8126,3413,1697,724,350,1090,1783
雄鹿,东部,82,46.7,34.5,74.8,10.5,31.2,99.0,41.7,23.1,15.2,8.2,5.8,20.7,3145,6740,440,1277,1391,1859,858,2559,8121,3417,1895,672,475,1247,1695
篮网,东部,82,45.3,35.2,75.7,10.5,31.9,98.6,42.4,22.3,14.8,7.6,4.0,18.0,3136,6920,531,1508,1286,1699,863,2614,8089,3477,1829,627,332,1212,1476
尼克斯,东部,82,43.9,34.6,80.5,10.4,34.0,98.4,44.4,20.5,13.4,5.7,5.68,19.71,3022,6886,610,1762,1411,1753,850,2788,8065,3638,1682,467,466,1099,1616
爵士,西部,82,44.9,35.5,74.4,10.7,32.5,97.7,43.2,19.0,14.9,7.7,5.2,20.2,2957,6593,694,1956,1402,1885,880,2665,8010,3545,1554,631,425,1224,1655
76人,东部,82,43.1,33.9,69.4,9.5,31.8,97.4,41.2,21.5,16.4,8.3,6.0,21.7,2970,6887,764,2255,1284,1850,777,2605,7988,3382,1765,680,495,1343,1780
湖人,西部,82,41.4,31.7,78.1,10.7,32.3,97.3,43.0,18.0,13.7,7.2,4.1,20.3,2880,6956,639,2016,1583,2028,878,2645,7982,3523,1478,593,337,1124,1662
