球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
国王,西部,82,45.0,,75.4,12.9,32.1,105.0,45.0,23.8,16.16,9.6,,,3276,7288,,,1521,2016,1056,2635,8607,3691,1953,787,381,1325,1729
活塞,东部,82,45.9,,78.1,11.2,30.0,103.5,41.2,20.8,15.71,8.11,,,3044,6635,,,1956,2506,917,2458,8483,3375,1707,665,273,1288,2011
独行侠,西部,82,45.3,,80.4,11.4,29.8,101.4,41.2,22.1,13.71,7.22,,,3195,7047,,,1407,1751,931,2444,8316,3375,1810,592,416,1124,1770
步行者,东部,82,45.9,,81.1,10.3,31.9,101.3,42.1,22.6,14.13,6.82,,,3047,6640,,,1629,2008,842,2612,8306,3454,1857,559,422,1159,1786
雄鹿,东部,82,46.5,,78.6,12.4,28.9,101.2,41.3,22.6,15.0,8.18,,,3174,6827,,,1558,1982,1016,2373,8300,3389,1852,671,381,1230,2020
湖人,西部,82,45.9,,69.6,13.6,33.4,100.8,47.0,23.4,13.94,7.48,,,3137,6836,,,1649,2368,1117,2738,8267,3855,1921,613,534,1143,1841
魔术,东部,82,45.2,,73.5,14.0,31.0,100.1,44.9,20.8,17.6,9.06,,,3169,7014,,,1574,2142,1145,2540,8206,3685,1709,743,467,1443,1967
火箭,西部,82,45.0,,73.3,12.3,31.5,99.5,43.8,21.6,17.38,7.48,,,3001,6664,,,1573,2145,1008,2586,8156,3594,1774,613,438,1425,1663
凯尔特人,东部,82,44.4,,74.5,13.5,29.5,99.3,43.0,21.2,15.35,9.7,,,3054,6880,,,1621,2175,1108,2420,8146,3528,1741,795,286,1259,2223
超音速,西部,82,44.7,,69.5,12.7,30.3,99.1,43.0,22.9,14.05,8.01,,,3108,6946,,,1363,1960,1042,2483,8125,3525,1878,657,345,1152,1776
掘金,西部,82,44.2,,72.4,13.1,31.6,99.0,44.7,23.3,15.62,6.76,,,3057,6911,,,1531,2116,1073,2590,8115,3663,1911,554,618,1281,1962
PHO,西部,82,45.7,,75.9,12.5,31.2,98.9,43.7,25.6,16.68,9.07,,,3093,6771,,,1467,1934,1022,2558,8111,3580,2098,744,433,1368,1973
森林狼,西部,82,46.7,,78.0,12.4,30.1,98.5,42.5,26.9,13.89,7.59,,,3226,6910,,,1379,1769,1016,2471,8079,3487,2205,622,444,1139,1913
黄蜂,东部,82,44.9,,75.8,10.8,32.1,98.4,42.9,24.7,14.71,8.93,,,2935,6533,,,1863,2458,884,2635,8072,3519,2023,732,480,1206,1670
NJN,东部,82,43.3,,78.4,12.7,28.2,98.0,40.9,20.6,13.65,8.78,,,2979,6881,,,1601,2041,1040,2315,8036,3355,1688,720,393,1119,1913
开拓者,西部,82,47.0,,76.0,11.8,31.2,97.5,43.0,23.5,15.16,7.72,,,3021,6430,,,1542,2029,966,2560,7991,3526,1925,633,396,1243,1865
猛龙,东部,82,43.3,,76.5,13.4,29.9,97.2,43.3,23.7,13.87,8.12,,,2980,6882,,,1583,2068,1098,2449,7968,3547,1947,666,544,1137,1989
骑士,东部,82,44.2,,75.0,12.3,30.5,97.0,42.8,23.7,17.4,8.72,,,2977,6734,,,1653,2205,1010,2499,7950,3509,1941,715,363,1427,2219
奇才,东部,82,45.1,,74.3,13.0,29.7,96.6,42.7,21.6,16.1,7.23,,,3010,6681,,,1566,2107,1064,2438,7921,3502,1771,593,383,1320,2149
爵士,西部,82,46.4,,77.3,11.4,29.6,96.5,41.0,24.9,14.88,7.67,,,2962,6380,,,1661,2150,936,2426,7914,3362,2041,629,446,1220,2013
马刺,西部,82,46.2,,74.6,11.3,32.5,96.2,43.8,22.2,15.04,7.49,,,2952,6393,,,1652,2214,927,2666,7886,3593,1819,614,551,1233,1716
勇士,西部,82,42.0,,69.7,15.9,29.7,95.5,45.6,22.6,15.88,8.91,,,2996,7140,,,1497,2147,1300,2438,7834,3738,1851,731,356,1302,2043
76人,东部,82,44.2,,70.8,14.0,30.1,94.8,44.1,22.2,15.66,9.65,,,2993,6776,,,1577,2226,1147,2468,7771,3615,1817,791,386,1284,1939
热火,东部,82,46.0,,73.6,11.2,31.9,94.4,43.2,23.5,15.01,7.1,,,2974,6462,,,1345,1827,921,2619,7739,3540,1931,582,524,1231,1947
老鹰,东部,82,44.1,,74.3,14.0,31.3,94.3,45.3,18.9,15.44,6.1,,,3000,6807,,,1477,1987,1146,2570,7735,3716,1548,500,461,1266,1718
灰熊,西部,82,44.9,,77.4,12.3,28.3,93.9,40.6,20.7,16.84,7.41,,,2892,6441,,,1594,2060,1005,2324,7702,3329,1700,608,346,1381,1881
尼克斯,东部,82,45.5,,78.1,9.8,30.7,92.1,40.5,19.4,14.65,6.28,,,2897,6374,,,1410,1805,802,2521,7555,3323,1588,515,349,1201,1983
快船,西部,82,42.6,,74.6,11.6,29.0,92.0,40.6,18.0,16.16,7.05,,,2877,6757,,,1363,1826,955,2377,7546,3332,1479,578,494,1325,1821
公牛,东部,82,41.5,,70.9,12.6,28.3,84.8,40.9,20.1,18.99,7.88,,,2565,6180,,,1482,2089,1032,2323,6952,3355,1645,646,383,1557,1908
