球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
独行侠,西部,82,45.9,,79.6,14.32,30.95,105.2,45.3,23.9,11.32,8.0,,,3322,7230,,,1475,1854,1174,2538,8626,3712,1963,656,437,1000,1609
国王,西部,82,46.2,,79.5,10.83,30.39,102.8,41.2,26.2,13.87,8.66,,,3103,6711,,,1626,2044,888,2492,8433,3380,2152,710,325,1137,1586
湖人,西部,82,45.4,,69.3,12.21,30.92,98.2,43.1,23.8,13.8,8.32,,,3028,6676,,,1631,2352,1001,2535,8052,3536,1948,682,379,1132,1732
雄鹿,东部,82,44.7,,77.5,11.71,30.51,98.0,42.2,22.8,13.54,6.76,,,2970,6650,,,1698,2192,960,2502,8039,3462,1872,554,383,1110,1668
掘金,西部,82,44.3,,76.7,13.21,29.11,97.2,42.3,21.9,15.59,9.09,,,2993,6763,,,1655,2159,1083,2387,7972,3470,1794,745,520,1278,1804
超音速,西部,82,44.6,,76.5,11.06,28.27,97.1,39.3,21.7,14.49,8.06,,,2939,6590,,,1363,1782,907,2318,7964,3225,1782,661,387,1188,1784
灰熊,西部,82,44.5,,72.7,12.77,29.04,96.7,41.8,23.4,14.13,9.7,,,2963,6657,,,1557,2143,1047,2381,7930,3428,1915,795,565,1226,1903
凯尔特人,东部,82,44.3,,75.0,10.38,29.76,95.3,40.1,20.5,16.24,9.39,,,2843,6415,,,1572,2095,851,2440,7811,3291,1683,770,331,1332,1837
快船,西部,82,42.8,,78.5,14.01,29.46,94.8,43.5,20.2,16.39,7.24,,,2817,6579,,,1808,2302,1149,2416,7771,3565,1653,594,376,1344,1816
森林狼,西部,82,46.2,,78.1,10.67,32.26,94.5,42.9,23.0,12.72,6.84,,,3033,6571,,,1361,1743,875,2645,7753,3520,1890,561,462,1043,1731
太阳,西部,82,44.3,,74.6,11.27,29.34,94.2,40.6,19.3,15.23,8.95,,,2958,6671,,,1392,1865,924,2406,7723,3330,1586,734,383,1249,1862
魔术,东部,82,42.9,,73.7,12.23,28.66,94.0,40.9,19.3,13.7,6.67,,,2904,6768,,,1474,2000,1003,2350,7711,3353,1584,547,308,1123,1744
勇士,西部,82,44.2,,72.5,12.22,30.89,93.3,43.1,20.5,14.77,7.02,,,2875,6511,,,1470,2028,1002,2533,7649,3535,1681,576,389,1211,1691
骑士,东部,82,43.3,,75.3,13.63,31.94,92.9,45.6,22.0,14.83,7.13,,,2922,6753,,,1528,2030,1118,2619,7619,3737,1808,585,537,1216,1743
老鹰,东部,82,43.3,,77.6,12.15,30.57,92.8,42.7,20.1,16.46,7.65,,,2829,6529,,,1534,1976,996,2507,7611,3503,1648,627,408,1350,1826
尼克斯,东部,82,44.2,,79.3,11.59,31.01,92.0,42.6,20.7,14.81,7.42,,,2881,6513,,,1374,1732,950,2543,7542,3493,1695,608,391,1289,1897
奇才,东部,82,42.1,,71.4,13.6,29.17,91.8,42.8,18.7,17.55,8.94,,,2758,6556,,,1579,2211,1115,2392,7528,3507,1537,733,406,1439,1712
黄蜂,东部,82,42.0,,75.1,13.31,29.49,91.8,42.8,20.9,14.98,8.63,,,2772,6605,,,1454,1937,1091,2418,7529,3509,1716,708,346,1228,1715
马刺,西部,82,44.2,,68.1,12.55,32.55,91.5,45.1,20.4,14.67,8.06,,,2842,6434,,,1409,2069,1029,2669,7501,3698,1676,661,537,1203,1667
步行者,东部,82,43.5,,76.4,11.77,29.9,91.4,41.7,21.6,14.41,8.85,,,2753,6322,,,1538,2014,965,2452,7493,3417,1774,726,411,1182,1709
开拓者,西部,82,44.8,,73.1,12.68,28.93,90.7,41.7,21.6,14.79,7.48,,,2898,6467,,,1263,1728,1040,2376,7440,3416,1768,613,443,1213,1554
NJN,东部,82,44.1,,75.3,10.51,30.16,90.3,40.7,24.5,14.01,8.65,,,2813,6372,,,1398,1856,862,2473,7401,3335,2009,709,322,1209,1722
热火,东部,82,42.5,,76.2,11.46,29.99,90.3,41.5,19.1,13.87,7.2,,,2729,6417,,,1459,1915,940,2459,7402,3399,1565,590,313,1137,1812
活塞,东部,82,43.5,,75.3,12.37,30.39,90.1,42.8,20.8,14.18,8.04,,,2747,6314,,,1561,2074,1014,2492,7388,3506,1702,659,570,1241,1664
火箭,西部,82,44.2,,77.3,10.33,32.28,89.8,42.6,19.3,16.74,6.83,,,2738,6195,,,1371,1774,847,2647,7362,3494,1579,560,443,1373,1762
公牛,东部,82,41.4,,72.5,12.78,30.72,89.7,43.5,21.9,16.11,8.04,,,2798,6753,,,1330,1834,1048,2519,7355,3567,1793,659,396,1321,1911
爵士,西部,82,43.6,,74.6,13.45,27.71,88.7,41.2,20.4,16.65,7.09,,,2690,6172,,,1639,2196,1103,2272,7271,3375,1671,583,494,1365,2096
76人,东部,82,42.8,,75.3,11.48,29.37,88.0,40.8,20.0,15.94,7.98,,,2682,6260,,,1512,2009,941,2408,7215,3349,1640,654,358,1307,1701
猛龙,东部,82,41.8,,75.0,10.12,29.5,85.4,39.6,19.2,14.2,7.37,,,2654,6348,,,1237,1650,830,2419,7006,3249,1574,604,402,1164,1748
