球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
国王,西部,82,44.9,,77.1,12.0,33.0,101.7,45.0,22.6,14.89,9.67,,,3132,6969,,,1600,2075,987,2705,8343,3692,1852,793,432,1221,1596
雄鹿,东部,82,45.8,,78.7,11.9,30.5,100.7,42.4,22.5,13.7,8.2,,,3112,6798,,,1474,1874,975,2500,8260,3475,1844,672,386,1123,1928
湖人,西部,82,46.5,,68.3,13.2,31.5,100.6,44.7,23.0,14.44,6.88,,,3109,6685,,,1594,2333,1085,2583,8251,3668,1888,564,490,1184,1872
独行侠,西部,82,45.9,,79.4,10.1,31.4,100.5,41.5,21.2,13.91,7.54,,,3085,6716,,,1552,1954,831,2571,8239,3402,1740,618,492,1141,1907
猛龙,东部,82,43.7,,74.7,13.6,30.8,97.6,44.5,24.4,13.17,7.3,,,3048,6972,,,1482,1984,1118,2529,8007,3647,2004,599,519,1080,1745
魔术,东部,82,43.8,,71.4,13.0,29.9,97.5,42.9,22.0,15.18,8.22,,,3013,6873,,,1476,2068,1069,2450,7992,3519,1803,674,481,1245,2071
森林狼,西部,82,45.8,,78.5,12.2,30.1,97.3,42.3,25.4,13.85,8.32,,,3148,6871,,,1364,1737,1002,2470,7982,3472,2083,682,456,1136,1900
超音速,西部,82,45.6,,73.2,12.2,29.5,97.3,41.7,21.9,15.27,8.01,,,3029,6649,,,1454,1986,999,2422,7978,3421,1792,657,409,1252,1733
火箭,西部,82,45.3,,75.8,11.2,30.8,97.2,42.0,19.7,14.68,7.16,,,2943,6494,,,1582,2086,919,2524,7972,3443,1613,587,358,1204,1657
爵士,西部,82,47.1,,75.2,11.5,29.1,97.1,40.6,25.7,15.8,8.06,,,2960,6289,,,1714,2280,943,2383,7959,3326,2110,661,463,1296,2107
掘金,西部,82,43.3,,73.7,12.7,31.5,96.6,44.2,24.0,13.85,6.73,,,2979,6877,,,1448,1964,1044,2583,7918,3627,1970,552,538,1136,1820
马刺,西部,82,46.1,,71.5,11.0,33.1,96.2,44.1,21.7,13.96,6.93,,,2884,6262,,,1673,2340,902,2712,7886,3614,1778,568,576,1145,1551
活塞,东部,82,42.4,,72.1,13.5,32.0,95.6,45.5,19.9,15.9,7.48,,,2919,6880,,,1610,2233,1108,2626,7837,3734,1629,613,447,1304,1955
开拓者,西部,82,46.8,,76.2,11.7,30.3,95.4,42.0,23.9,15.33,8.2,,,3004,6417,,,1447,1899,960,2481,7824,3441,1963,672,419,1257,1745
76人,东部,82,44.7,,74.5,13.1,31.7,94.7,44.8,20.6,15.76,8.41,,,2902,6487,,,1697,2277,1075,2600,7763,3675,1692,690,408,1292,1673
凯尔特人,东部,82,42.8,,74.0,10.9,28.9,94.6,39.8,20.8,15.67,9.38,,,2773,6485,,,1621,2190,897,2367,7759,3264,1708,769,336,1285,1952
PHO,西部,82,43.6,,75.5,11.8,30.8,94.0,42.7,23.2,15.24,9.45,,,2944,6757,,,1490,1973,970,2529,7710,3499,1905,775,429,1250,1864
奇才,东部,82,43.9,,75.9,12.4,28.9,93.2,41.3,20.1,16.96,7.68,,,2833,6453,,,1704,2245,1016,2370,7645,3386,1647,630,383,1391,1913
步行者,东部,82,44.0,,76.6,11.2,31.6,92.6,42.9,21.5,15.17,6.87,,,2828,6431,,,1539,2009,921,2595,7591,3516,1763,563,487,1244,1926
快船,西部,82,44.8,,69.3,11.7,31.2,92.5,42.9,19.3,15.77,5.98,,,2896,6467,,,1429,2061,962,2559,7581,3521,1585,490,513,1293,1775
勇士,西部,82,40.9,,70.6,16.4,29.1,92.5,45.5,21.8,15.87,9.05,,,2937,7175,,,1428,2024,1345,2385,7584,3730,1788,742,410,1301,1727
骑士,东部,82,44.2,,76.5,12.4,29.8,92.2,42.1,20.8,16.46,7.83,,,2890,6532,,,1561,2040,1015,2440,7561,3455,1708,642,436,1350,1904
NJN,东部,82,42.5,,75.9,11.1,28.5,92.1,39.6,19.5,14.73,7.91,,,2781,6550,,,1629,2146,909,2337,7552,3246,1603,649,407,1208,1982
黄蜂,东部,82,43.1,,74.5,12.6,31.8,91.9,44.4,23.2,14.43,8.11,,,2800,6501,,,1599,2146,1033,2608,7539,3641,1900,665,455,1183,1753
灰熊,西部,82,43.9,,77.0,10.9,29.6,91.7,40.5,23.2,15.74,7.15,,,2870,6539,,,1457,1892,894,2431,7522,3325,1899,586,359,1291,1733
老鹰,东部,82,43.1,,75.9,12.5,30.4,91.0,42.9,19.0,16.68,7.73,,,2876,6668,,,1374,1811,1028,2490,7459,3518,1559,634,387,1368,1863
热火,东部,82,43.0,,75.9,9.9,29.7,88.9,39.6,19.9,13.68,7.72,,,2694,6258,,,1423,1874,813,2435,7289,3248,1630,633,304,1122,1726
尼克斯,东部,82,44.4,,79.6,9.4,30.8,88.7,40.2,18.5,14.5,6.65,,,2755,6198,,,1374,1727,773,2524,7275,3297,1520,545,346,1189,1863
公牛,东部,82,42.4,,73.9,11.3,27.6,87.6,38.9,22.1,15.76,8.23,,,2721,6411,,,1410,1909,926,2260,7181,3186,1810,675,379,1292,1902
