球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
勇士,西部,82,45.9,,75.2,12.74,30.44,111.0,43.18,22.4,13.2,9.07,,,3403,7406,,,1538,2044,1045,2496,9105,3541,1833,744,377,1082,1875
掘金,西部,82,47.0,,75.1,11.2,32.9,110.7,44.1,24.7,14.67,9.17,,,3307,7038,,,1891,2519,918,2698,9074,3616,2024,752,551,1203,1731
太阳,西部,82,50.0,,78.3,8.78,32.72,110.1,41.5,26.7,14.44,6.49,,,3392,6782,,,1548,1977,720,2683,9026,3403,2188,532,518,1184,1633
湖人,西部,82,47.6,,76.9,10.95,33.2,108.6,44.15,24.4,14.1,7.98,,,3248,6818,,,1746,2270,898,2722,8904,3620,2003,654,438,1156,1691
爵士,西部,82,49.7,,75.9,11.49,29.39,106.2,40.88,26.4,14.63,8.74,,,3279,6592,,,1745,2298,942,2410,8710,3352,2165,717,355,1200,1970
魔术,东部,82,47.4,,72.1,9.37,32.65,104.5,42.01,20.8,14.31,6.34,,,3058,6446,,,1650,2288,768,2677,8567,3445,1706,520,333,1173,1688
步行者,东部,82,44.4,,76.8,11.02,32.11,104.0,43.13,22.7,15.07,7.6,,,3102,6993,,,1568,2042,904,2633,8527,3537,1864,623,412,1236,1921
国王,西部,82,46.4,,79.8,10.11,29.95,102.5,40.06,19.1,16.06,7.94,,,3043,6558,,,1812,2272,829,2456,8408,3285,1567,651,334,1317,1839
黄蜂,西部,82,46.6,,76.9,11.43,30.42,100.9,41.84,21.8,11.88,7.77,,,3164,6796,,,1312,1707,937,2494,8270,3431,1785,637,321,974,1531
灰熊,西部,82,45.4,,72.3,10.34,31.31,100.7,41.65,19.2,15.26,6.13,,,3060,6737,,,1517,2097,848,2567,8257,3415,1574,503,386,1251,1592
凯尔特人,东部,82,47.5,,77.1,10.12,31.89,100.5,42.01,22.4,15.2,8.49,,,2986,6286,,,1677,2176,830,2615,8245,3445,1833,696,379,1246,1864
独行侠,西部,82,46.4,,81.4,10.77,32.23,100.4,43.0,21.0,12.65,5.98,,,3025,6515,,,1690,2075,883,2643,8234,3526,1720,490,402,1037,1786
猛龙,东部,82,46.8,,81.2,9.63,30.44,100.2,40.07,23.8,11.7,6.95,,,3148,6726,,,1347,1658,790,2496,8215,3286,1953,570,336,959,1596
奇才,东部,82,44.6,,78.2,12.28,29.32,98.8,41.6,19.6,13.2,7.71,,,2986,6695,,,1557,1991,1007,2404,8104,3411,1607,632,391,1082,1606
老鹰,东部,82,45.4,,77.2,12.29,29.93,98.2,42.22,22.0,14.92,7.32,,,2975,6552,,,1720,2227,1008,2454,8054,3462,1804,600,448,1223,1673
超音速,西部,82,44.4,,77.0,11.84,32.78,97.5,44.62,21.3,15.98,6.48,,,3125,7032,,,1436,1866,971,2688,7999,3659,1748,531,400,1310,1680
活塞,东部,82,45.8,,76.7,11.88,29.55,97.5,41.43,22.3,11.66,7.11,,,2999,6551,,,1507,1965,974,2423,7992,3397,1831,583,472,956,1688
公牛,东部,82,43.5,,75.6,12.81,30.22,97.3,43.02,22.1,14.6,7.74,,,2987,6861,,,1533,2029,1050,2478,7981,3528,1811,635,429,1197,1784
黄蜂,东部,82,45.2,,71.4,10.88,29.76,97.1,40.63,21.3,14.68,7.49,,,2960,6554,,,1510,2115,892,2440,7959,3332,1748,614,402,1204,1777
雄鹿,东部,82,44.9,,73.3,12.87,28.82,97.0,41.68,21.5,14.76,6.63,,,3026,6745,,,1452,1980,1055,2363,7956,3418,1760,544,361,1210,1748
尼克斯,东部,82,43.9,,72.7,12.55,29.96,96.9,42.51,18.7,14.48,6.35,,,2967,6757,,,1524,2095,1029,2457,7948,3486,1530,521,213,1187,1761
火箭,西部,82,44.8,,72.6,12.22,32.43,96.7,44.65,21.4,13.72,7.29,,,3003,6698,,,1342,1848,1002,2659,7931,3661,1757,598,420,1125,1609
76人,东部,82,46.0,,70.6,13.01,28.9,96.6,41.92,20.4,14.29,8.68,,,3056,6648,,,1509,2137,1067,2370,7923,3437,1673,712,400,1172,1620
骑士,东部,82,43.9,,71.7,13.32,31.26,96.4,44.57,20.0,13.96,7.06,,,2937,6697,,,1477,2061,1092,2563,7903,3655,1640,579,427,1145,1712
NJN,东部,82,44.3,,73.6,11.13,30.73,95.8,41.87,23.5,14.99,6.35,,,2856,6450,,,1647,2237,913,2520,7857,3433,1925,521,390,1229,1855
森林狼,西部,82,45.1,,73.6,11.76,29.61,95.6,41.37,19.9,14.49,7.51,,,3076,6817,,,1246,1693,964,2428,7839,3392,1630,616,306,1188,1885
马刺,西部,82,45.7,,76.1,9.4,31.85,95.4,41.26,21.0,12.62,6.35,,,2938,6424,,,1350,1774,771,2612,7820,3383,1718,521,337,1035,1537
开拓者,西部,82,44.8,,76.7,10.99,29.73,95.4,40.72,21.1,12.88,5.55,,,2935,6546,,,1412,1841,901,2438,7820,3339,1733,455,360,1056,1642
快船,西部,82,43.8,,78.1,9.76,30.38,93.8,40.13,21.1,14.39,6.79,,,2820,6445,,,1702,2178,800,2491,7692,3291,1732,557,398,1180,1745
热火,东部,82,44.3,,72.7,9.06,28.56,91.4,37.62,20.0,14.66,7.18,,,2808,6336,,,1384,1903,743,2342,7491,3085,1644,589,355,1202,1670
