球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
太阳,西部,82,49.2,,77.0,11.1,31.9,110.2,43.0,23.3,14.76,5.84,,,3339,6788,,,1631,2117,910,2616,9039,3526,1912,479,418,1210,1713
勇士,西部,82,46.9,,78.2,9.18,29.23,108.8,38.42,22.4,14.68,9.28,,,3329,7094,,,1631,2085,753,2397,8922,3150,1839,761,340,1204,1886
掘金,西部,82,46.8,,77.2,10.84,30.55,106.5,41.39,21.0,13.85,8.33,,,3124,6678,,,1937,2508,889,2505,8729,3394,1719,683,417,1136,1844
爵士,西部,82,49.1,,74.1,10.63,31.56,104.2,42.2,26.7,15.2,8.23,,,3227,6575,,,1654,2233,872,2588,8547,3460,2187,675,400,1246,1859
猛龙,东部,82,48.2,,76.4,9.83,30.57,104.1,40.4,22.0,13.42,5.72,,,3199,6631,,,1618,2118,806,2507,8534,3313,1804,469,384,1100,1819
魔术,东部,82,47.0,,72.4,9.88,33.37,102.8,43.24,19.7,14.09,6.24,,,3005,6394,,,1575,2176,810,2736,8426,3546,1615,512,456,1155,1629
灰熊,西部,82,46.9,,73.3,13.05,30.44,102.5,43.49,18.8,15.22,7.87,,,3223,6875,,,1614,2202,1070,2496,8404,3566,1543,645,399,1248,1655
火箭,西部,82,44.7,,77.2,11.84,30.13,102.4,41.98,21.8,14.49,7.11,,,3094,6923,,,1561,2022,971,2471,8395,3442,1790,583,318,1188,1712
尼克斯,东部,82,45.5,,78.2,10.2,30.21,102.1,40.4,21.6,14.0,7.15,,,3127,6876,,,1376,1759,836,2477,8373,3313,1772,586,305,1148,1638
骑士,东部,82,48.5,,72.0,9.65,32.83,102.1,42.48,22.4,13.87,6.88,,,3101,6391,,,1569,2180,791,2692,8373,3483,1835,564,425,1137,1591
独行侠,西部,82,46.4,,81.6,10.17,31.54,102.0,41.71,23.4,12.92,7.61,,,3140,6760,,,1526,1870,834,2586,8364,3420,1917,624,449,1059,1563
老鹰,东部,82,46.8,,75.9,11.82,29.89,101.7,41.71,21.8,11.95,7.22,,,3181,6801,,,1452,1914,969,2451,8338,3420,1789,592,413,980,1632
湖人,西部,82,45.7,,76.5,11.87,32.46,101.7,44.33,21.1,13.37,7.46,,,3144,6875,,,1519,1985,973,2662,8339,3635,1730,612,400,1096,1592
雷霆,西部,82,46.2,,80.5,11.71,31.79,101.5,43.5,20.0,14.96,7.98,,,3063,6629,,,1778,2210,960,2607,8322,3567,1639,654,481,1227,1743
马刺,西部,82,47.3,,74.0,10.82,31.96,101.4,42.78,22.3,13.61,6.29,,,3150,6659,,,1458,1969,887,2621,8312,3508,1829,516,381,1116,1669
步行者,东部,82,44.3,,77.5,9.57,31.93,100.8,41.5,21.1,15.02,7.13,,,3020,6823,,,1564,2019,785,2618,8263,3403,1730,585,439,1232,1848
黄蜂,西部,82,46.4,,77.8,10.39,29.88,100.2,40.27,22.3,13.45,7.62,,,3178,6842,,,1293,1661,852,2450,8220,3302,1828,625,300,1103,1606
国王,西部,82,45.6,,72.6,11.92,30.71,100.0,42.62,20.5,14.95,6.88,,,3144,6895,,,1430,1969,977,2518,8200,3495,1679,564,366,1226,1827
凯尔特人,东部,82,48.3,,74.6,8.73,29.87,99.2,38.6,23.5,14.87,8.55,,,3039,6294,,,1559,2090,716,2449,8136,3165,1930,701,402,1219,1816
森林狼,西部,82,44.9,,74.6,11.73,31.17,98.2,42.9,19.8,16.26,7.28,,,3106,6923,,,1436,1926,962,2556,8051,3518,1626,597,306,1333,1699
开拓者,西部,82,46.1,,79.0,11.13,29.06,98.1,40.2,20.4,12.34,6.38,,,2974,6453,,,1606,2033,913,2383,8045,3296,1674,523,350,1012,1715
雄鹿,东部,82,43.6,,75.5,11.77,31.22,97.7,42.99,21.2,13.23,7.07,,,3050,6998,,,1264,1675,965,2560,8009,3525,1740,580,385,1085,1823
76人,东部,82,46.0,,75.6,11.48,29.52,97.7,41.0,21.0,14.54,8.13,,,3087,6706,,,1366,1808,941,2421,8014,3362,1723,667,439,1192,1677
公牛,东部,82,45.1,,75.4,11.43,33.11,97.5,44.54,20.8,14.33,6.48,,,3081,6825,,,1479,1962,937,2715,7993,3652,1704,531,478,1175,1648
热火,东部,82,45.8,,75.2,10.67,31.13,96.5,41.81,18.9,13.16,7.38,,,2984,6518,,,1452,1931,875,2553,7914,3428,1548,605,457,1079,1710
奇才,东部,82,44.9,,76.2,11.78,29.98,96.2,41.76,19.0,14.87,6.01,,,3008,6700,,,1444,1895,966,2458,7892,3424,1557,493,421,1219,1752
快船,西部,82,45.5,,73.0,11.31,30.51,95.7,41.82,22.1,15.67,6.49,,,3002,6601,,,1362,1867,927,2502,7849,3429,1810,532,466,1285,1581
黄蜂,东部,82,45.3,,75.1,10.46,30.37,95.3,40.83,20.2,15.73,7.71,,,2858,6306,,,1637,2180,858,2490,7813,3348,1658,632,446,1290,1597
活塞,东部,82,44.5,,72.8,12.84,27.34,94.0,40.18,19.4,13.42,7.27,,,2940,6602,,,1455,1998,1053,2242,7709,3295,1591,596,313,1100,1822
NJN,东部,82,42.9,,78.0,10.94,28.76,92.4,39.7,18.8,14.42,6.99,,,2813,6554,,,1572,2015,897,2358,7575,3255,1540,573,393,1182,1643
