球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
爵士,西部,82,50.4,,76.9,10.8,29.4,103.1,40.2,26.8,15.35,9.12,,,3131,6217,,,1858,2416,889,2410,8454,3299,2199,748,418,1259,1981
公牛,东部,82,47.3,,74.7,15.1,30.0,103.1,45.1,26.1,13.52,8.73,,,3277,6923,,,1381,1848,1235,2461,8458,3696,2142,716,332,1109,1617
太阳,西部,82,46.9,,76.1,11.2,29.0,102.8,40.1,25.2,14.39,8.1,,,3143,6705,,,1618,2125,916,2376,8431,3292,2067,664,322,1180,1727
超音速,西部,82,46.7,,75.2,12.3,27.7,100.9,40.0,23.5,15.01,11.02,,,2995,6415,,,1725,2295,1010,2271,8274,3281,1931,904,388,1231,1803
凯尔特人,东部,82,44.0,,75.0,13.4,26.7,100.6,40.0,21.9,16.37,9.88,,,3066,6967,,,1649,2199,1095,2188,8248,3283,1792,810,315,1342,1915
火箭,西部,82,46.8,,75.5,11.3,31.3,100.6,42.6,24.5,16.65,8.35,,,3037,6484,,,1503,1992,927,2565,8248,3492,2013,685,347,1365,1610
76人,东部,82,43.8,,72.5,15.5,28.7,100.2,44.2,20.7,17.52,8.33,,,3003,6850,,,1776,2450,1267,2355,8215,3622,1695,683,394,1437,1733
湖人,西部,82,45.4,,69.2,13.3,29.4,100.0,42.8,22.5,14.9,9.02,,,3018,6642,,,1613,2330,1092,2414,8200,3506,1845,740,575,1222,1818
勇士,西部,82,45.6,,77.8,13.2,27.5,99.6,40.8,22.2,17.2,7.45,,,2997,6567,,,1696,2180,1086,2259,8171,3345,1822,611,359,1410,1787
奇才,东部,82,48.0,,70.7,12.3,29.5,99.4,41.8,23.4,15.72,8.68,,,3208,6678,,,1400,1979,1010,2420,8147,3430,1921,712,402,1289,1815
开拓者,西部,82,46.4,,71.3,12.9,30.4,99.0,43.3,20.9,16.55,7.8,,,3000,6465,,,1613,2261,1058,2494,8114,3552,1710,640,435,1357,1928
黄蜂,东部,82,47.1,,77.7,11.1,28.0,98.9,39.1,24.6,14.67,7.28,,,2988,6342,,,1541,1984,910,2298,8108,3208,2021,597,349,1203,1702
掘金,西部,82,43.9,,76.1,12.1,29.9,97.8,42.0,23.0,16.57,6.13,,,2934,6687,,,1516,1992,994,2452,8020,3446,1889,503,487,1359,1784
NJN,东部,82,42.2,,74.0,17.2,29.0,97.2,46.2,21.0,15.73,8.26,,,2994,7091,,,1502,2031,1410,2376,7974,3786,1726,677,481,1290,1865
快船,西部,82,44.6,,73.1,13.3,27.3,97.2,40.7,20.3,15.99,8.94,,,2989,6696,,,1517,2074,1092,2242,7969,3334,1662,733,441,1311,1964
国王,西部,82,45.4,,72.3,13.4,28.1,96.4,41.5,21.9,16.24,7.17,,,3000,6611,,,1494,2067,1100,2307,7908,3407,1799,588,362,1332,1946
森林狼,西部,82,45.6,,75.1,11.7,28.1,96.1,39.7,22.9,15.16,7.54,,,2937,6436,,,1637,2180,957,2302,7882,3259,1874,618,557,1243,1818
猛龙,东部,82,43.7,,72.0,13.8,27.5,95.5,41.3,20.9,16.43,8.8,,,2897,6632,,,1446,2008,1135,2254,7829,3389,1714,722,517,1347,1883
尼克斯,东部,82,46.3,,74.8,11.9,30.7,95.4,42.5,22.1,17.83,7.67,,,2882,6227,,,1585,2119,973,2516,7819,3489,1809,629,378,1462,2033
步行者,东部,82,45.6,,72.2,12.5,29.1,95.4,41.7,21.3,16.32,7.13,,,2851,6254,,,1687,2336,1029,2390,7819,3419,1750,585,394,1338,1977
雄鹿,东部,82,47.1,,74.1,11.6,27.6,95.3,39.2,19.6,15.67,7.71,,,2967,6303,,,1560,2104,955,2263,7818,3218,1610,632,348,1285,1892
老鹰,东部,82,44.6,,76.3,12.5,28.7,94.8,41.1,19.0,14.98,8.55,,,2812,6307,,,1491,1955,1021,2350,7774,3371,1557,701,427,1228,1591
热火,东部,82,45.3,,71.9,11.7,29.3,94.8,41.0,21.2,15.93,7.93,,,2822,6235,,,1454,2022,957,2402,7776,3359,1735,650,439,1306,1919
活塞,东部,82,46.4,,74.5,10.5,28.0,94.2,38.4,19.0,12.7,7.71,,,2827,6095,,,1487,1995,858,2292,7723,3150,1554,632,283,1041,1652
魔术,东部,82,43.7,,74.6,13.1,27.1,94.1,40.1,20.6,15.24,8.46,,,2839,6497,,,1474,1975,1071,2221,7719,3292,1689,694,363,1250,1643
独行侠,西部,82,43.6,,71.7,12.7,27.6,90.6,40.3,20.3,16.15,7.98,,,2813,6452,,,1375,1918,1040,2262,7431,3302,1663,654,351,1324,1798
马刺,西部,82,44.2,,71.9,13.4,26.0,90.5,39.4,20.3,15.16,7.88,,,2827,6391,,,1386,1929,1101,2129,7418,3230,1661,646,431,1243,1764
灰熊,西部,82,43.7,,70.9,12.5,26.3,89.2,38.8,22.7,15.87,8.01,,,2819,6453,,,1230,1734,1023,2155,7313,3178,1862,657,464,1301,1755
骑士,东部,82,45.3,,72.3,11.1,26.3,87.5,37.4,20.9,14.49,7.99,,,2704,5972,,,1282,1773,909,2159,7173,3068,1714,655,315,1188,1882
