球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
独行侠,西部,82,45.3,,82.9,11.1,31.0,103.0,42.1,22.4,11.57,8.11,,,3161,6982,,,1486,1793,912,2544,8444,3456,1837,665,449,949,1730
勇士,西部,82,44.1,,77.8,15.7,31.0,102.4,46.7,20.9,15.79,7.24,,,3061,6941,,,1853,2382,1284,2546,8400,3830,1712,594,506,1295,1786
国王,西部,82,46.4,,74.6,11.0,33.5,101.7,44.5,24.8,14.54,8.98,,,3242,6990,,,1367,1832,900,2751,8342,3651,2034,736,457,1192,1666
湖人,西部,82,45.1,,73.4,13.1,31.1,100.4,44.3,23.3,14.54,7.79,,,3091,6856,,,1562,2129,1078,2554,8230,3632,1909,639,470,1192,1874
雄鹿,东部,82,45.7,,77.6,10.7,28.9,99.5,39.5,22.2,12.73,7.59,,,3045,6670,,,1483,1911,876,2367,8158,3243,1823,622,344,1044,1820
魔术,东部,82,43.6,,77.7,11.7,29.2,98.5,40.9,20.4,14.35,8.49,,,2947,6763,,,1616,2079,958,2392,8078,3350,1676,696,300,1177,1888
森林狼,西部,82,46.6,,77.0,11.7,31.9,98.1,43.6,25.2,13.71,6.74,,,3172,6809,,,1406,1826,959,2614,8046,3573,2070,553,433,1124,1704
灰熊,西部,82,45.2,,73.9,11.5,30.1,97.5,41.6,23.1,15.39,7.94,,,3049,6743,,,1430,1936,943,2466,7995,3409,1892,651,500,1262,1678
步行者,东部,82,44.1,,76.6,12.2,32.0,96.8,44.2,23.3,14.76,8.49,,,2911,6608,,,1739,2271,1004,2622,7940,3626,1910,696,443,1210,1811
76人,东部,82,44.8,,77.5,12.7,29.5,96.8,42.2,21.6,14.78,10.29,,,2975,6640,,,1746,2253,1042,2415,7941,3457,1771,844,284,1212,1804
尼克斯,东部,82,44.1,,81.5,10.3,29.0,95.9,39.2,22.0,14.01,7.06,,,2967,6725,,,1320,1620,842,2376,7860,3218,1800,579,255,1149,1888
马刺,西部,82,46.2,,72.5,11.5,31.2,95.8,42.6,20.0,15.79,7.67,,,2908,6297,,,1591,2194,939,2556,7856,3495,1636,629,529,1295,1672
太阳,西部,82,44.3,,74.2,12.8,29.8,95.5,42.5,21.0,14.73,8.11,,,3005,6776,,,1430,1928,1049,2440,7834,3489,1719,665,404,1208,1801
NJN,东部,82,44.1,,75.7,12.1,30.8,95.4,42.9,23.0,14.78,8.74,,,2906,6585,,,1662,2195,991,2528,7820,3519,1887,717,374,1212,1772
开拓者,西部,82,46.0,,74.5,12.1,29.0,95.2,41.1,22.7,15.22,8.84,,,2987,6491,,,1450,1947,992,2378,7803,3370,1860,725,316,1248,1634
公牛,东部,82,44.5,,72.2,12.0,31.0,95.0,43.0,21.7,16.93,7.38,,,2991,6714,,,1455,2014,985,2541,7786,3526,1782,605,461,1388,2028
爵士,西部,82,46.8,,74.5,12.5,29.0,94.7,41.5,25.6,16.76,8.63,,,2894,6189,,,1750,2349,1021,2381,7762,3402,2103,708,467,1374,1837
老鹰,东部,82,44.4,,79.3,11.4,31.2,94.1,42.6,20.5,16.67,7.45,,,2859,6434,,,1594,2011,937,2558,7714,3495,1679,611,473,1367,1783
黄蜂,东部,82,43.5,,76.8,13.4,30.2,93.9,43.6,22.0,14.78,8.0,,,2914,6695,,,1467,1910,1097,2475,7699,3572,1807,656,394,1212,1769
快船,西部,82,43.7,,75.0,12.3,30.0,93.8,42.3,19.6,15.74,7.0,,,2835,6490,,,1633,2177,1008,2462,7693,3470,1605,574,461,1291,1784
火箭,西部,82,44.0,,76.8,12.5,31.3,93.8,43.8,18.4,15.56,7.24,,,2840,6461,,,1569,2044,1024,2564,7688,3588,1506,594,493,1276,1602
凯尔特人,东部,82,41.5,,74.2,10.4,30.1,92.7,40.5,19.2,13.99,8.78,,,2700,6509,,,1480,1994,849,2471,7599,3320,1575,720,303,1147,1758
超音速,西部,82,43.7,,74.4,11.7,29.1,92.1,40.8,21.6,13.23,8.28,,,2887,6599,,,1325,1780,963,2385,7555,3348,1775,679,295,1085,1712
奇才,东部,82,44.0,,77.9,11.2,29.2,91.5,40.4,19.7,13.35,7.57,,,2816,6394,,,1617,2077,917,2395,7502,3312,1612,621,390,1095,1644
骑士,东部,82,42.2,,74.7,13.6,31.0,91.4,44.6,20.9,18.3,7.76,,,2850,6746,,,1502,2012,1118,2542,7495,3660,1712,636,521,1501,1864
活塞,东部,82,43.0,,77.1,10.8,29.8,91.4,40.6,19.8,13.46,6.78,,,2700,6277,,,1559,2021,883,2445,7492,3328,1620,556,468,1104,1748
猛龙,东部,82,42.7,,71.8,12.5,28.7,90.9,41.2,19.3,14.4,7.43,,,2847,6664,,,1350,1879,1023,2355,7453,3378,1583,609,392,1181,1761
热火,东部,82,41.2,,76.5,11.6,30.0,85.6,41.6,18.3,14.23,7.22,,,2688,6517,,,1292,1689,948,2464,7016,3412,1501,592,324,1167,1856
掘金,西部,82,41.1,,69.9,13.6,28.8,84.2,42.4,21.2,18.46,8.68,,,2689,6544,,,1294,1850,1112,2363,6901,3475,1737,712,422,1514,2056
