球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
太阳,西部,82,50.4,,74.4,10.98,30.73,109.4,41.71,23.2,15.71,7.18,,,3373,6695,,,1675,2251,900,2520,8974,3420,1905,589,420,1288,1691
勇士,西部,82,45.8,,79.1,11.62,30.39,108.6,42.01,20.9,14.65,7.78,,,3231,7055,,,1893,2392,953,2492,8905,3445,1711,638,527,1201,1842
湖人,西部,82,47.4,,77.0,12.38,31.55,106.9,43.93,23.3,13.45,8.76,,,3307,6981,,,1607,2087,1015,2587,8768,3602,1908,718,420,1103,1698
尼克斯,东部,82,44.5,,78.4,11.11,31.04,105.2,42.15,21.2,14.32,7.44,,,3157,7091,,,1490,1900,911,2545,8627,3456,1738,610,204,1174,1672
步行者,东部,82,45.5,,80.7,11.27,32.45,105.1,43.72,21.6,14.5,6.99,,,3220,7080,,,1525,1890,924,2661,8617,3585,1775,573,434,1189,1895
掘金,西部,82,47.0,,76.0,11.04,30.57,104.3,41.61,22.2,15.33,8.66,,,3058,6510,,,1891,2487,905,2507,8555,3412,1820,710,492,1257,1874
爵士,西部,82,47.5,,77.1,11.46,29.55,103.6,41.01,24.7,14.76,8.77,,,3143,6623,,,1814,2352,940,2423,8492,3363,2024,719,374,1210,1830
公牛,东部,82,45.7,,79.6,11.83,30.26,102.2,42.09,21.1,14.54,7.5,,,3126,6846,,,1633,2052,970,2481,8378,3451,1732,615,453,1192,1709
独行侠,西部,82,46.2,,81.9,11.09,31.65,101.7,42.73,21.7,12.72,7.21,,,3128,6770,,,1516,1852,909,2595,8343,3504,1779,591,429,1043,1600
魔术,东部,82,45.7,,71.5,9.99,33.27,101.0,43.26,19.4,13.93,6.95,,,2929,6416,,,1611,2253,819,2728,8286,3547,1593,570,439,1142,1664
凯尔特人,东部,82,48.6,,76.5,10.6,31.54,100.9,42.13,22.7,15.61,7.57,,,3075,6333,,,1587,2075,869,2586,8275,3455,1862,621,387,1280,1897
国王,西部,82,44.7,,79.8,10.24,28.85,100.6,39.1,19.7,15.44,6.94,,,2990,6685,,,1682,2107,840,2366,8248,3206,1619,569,349,1266,1910
骑士,东部,82,46.8,,75.7,10.81,31.39,100.3,42.2,20.3,12.74,7.23,,,3022,6454,,,1523,2012,886,2574,8223,3460,1663,593,435,1045,1663
开拓者,西部,82,46.5,,76.5,12.93,28.78,99.4,41.71,20.3,12.87,6.71,,,3018,6494,,,1521,1988,1060,2360,8153,3420,1667,550,402,1055,1671
雄鹿,东部,82,44.5,,78.0,11.87,28.87,99.3,40.73,22.0,14.07,7.43,,,3009,6755,,,1613,2067,973,2367,8142,3340,1802,609,308,1154,1986
猛龙,东部,82,45.8,,82.4,9.78,30.65,99.0,40.43,22.4,13.39,6.38,,,3054,6673,,,1534,1861,802,2513,8121,3315,1835,523,390,1098,1593
火箭,西部,82,45.3,,80.5,10.51,32.46,98.4,42.98,20.3,14.12,6.68,,,2959,6526,,,1531,1903,862,2662,8070,3524,1662,548,355,1158,1553
热火,东部,82,45.7,,75.4,10.1,29.4,98.3,39.5,20.4,12.51,7.94,,,3034,6646,,,1411,1871,828,2411,8061,3239,1671,651,451,1026,1696
老鹰,东部,82,45.8,,73.7,10.61,29.42,98.1,40.02,20.2,12.78,7.35,,,2956,6451,,,1537,2085,870,2412,8046,3282,1657,603,376,1048,1610
NJN,东部,82,44.8,,77.9,10.37,29.45,98.1,39.82,20.0,13.11,6.82,,,2925,6536,,,1542,1980,850,2415,8044,3265,1636,559,391,1075,1838
森林狼,西部,82,44.1,,76.9,11.89,29.78,97.8,41.67,20.4,14.21,6.24,,,2986,6766,,,1504,1957,975,2442,8019,3417,1674,512,322,1165,1785
76人,东部,82,45.9,,74.5,12.67,28.49,97.4,41.16,20.1,14.11,8.02,,,2997,6532,,,1652,2216,1039,2336,7987,3375,1647,658,415,1157,1650
马刺,西部,82,46.6,,76.1,8.88,32.17,97.0,41.05,21.2,11.74,5.78,,,3042,6534,,,1249,1641,728,2638,7958,3366,1736,474,329,963,1546
雷霆,西部,82,44.7,,78.6,12.18,30.45,97.0,42.63,20.3,16.22,7.42,,,2999,6716,,,1626,2069,999,2497,7952,3496,1663,608,371,1330,1655
奇才,东部,82,45.0,,76.7,11.66,28.42,96.1,40.07,20.0,13.98,7.55,,,2994,6655,,,1494,1948,956,2330,7877,3286,1641,619,365,1146,1679
黄蜂,西部,82,45.7,,80.7,9.78,29.92,95.8,39.7,19.6,12.55,7.23,,,2911,6366,,,1479,1833,802,2453,7857,3255,1609,593,338,1029,1665
快船,西部,82,44.1,,73.6,10.85,28.99,95.1,39.84,21.0,14.89,6.98,,,2955,6696,,,1354,1839,890,2377,7799,3267,1723,572,482,1221,1650
活塞,东部,82,45.4,,75.1,11.57,29.85,94.2,41.43,20.6,11.87,6.01,,,2981,6559,,,1388,1849,949,2448,7727,3397,1689,493,377,973,1712
灰熊,西部,82,45.4,,75.6,10.33,28.5,93.9,38.83,17.4,15.27,7.5,,,2865,6311,,,1570,2077,847,2337,7698,3184,1423,615,385,1252,1777
黄蜂,东部,82,45.5,,74.0,10.81,28.85,93.6,39.66,21.2,15.6,7.07,,,2866,6299,,,1455,1965,886,2366,7677,3252,1741,580,397,1279,1754
