球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
雄鹿,东部,73,47.6,35.5,74.2,9.5,42.2,118.7,51.7,25.9,15.1,7.2,5.9,19.6,3160,6638,1007,2840,1336,1800,691,3083,8663,3774,1889,526,429,1102,1431
火箭,西部,72,45.1,34.5,79.1,9.8,34.5,117.8,44.3,21.6,14.7,8.7,5.2,21.8,2936,6512,1126,3261,1484,1876,704,2484,8482,3188,1557,627,371,1057,1566
独行侠,西部,75,46.1,36.7,77.9,10.5,36.4,117.0,46.9,24.7,12.7,6.1,4.8,19.5,3124,6772,1136,3095,1392,1787,791,2729,8776,3520,1849,460,363,953,1462
快船,西部,72,46.6,37.1,79.1,10.7,37.0,116.3,47.7,23.7,14.6,7.1,4.7,22.1,2992,6425,895,2410,1498,1894,767,2664,8377,3431,1708,511,338,1051,1594
鹈鹕,西部,72,46.5,37.0,72.9,11.1,35.4,115.8,46.5,26.8,16.4,7.5,5.0,21.2,3065,6598,982,2656,1229,1687,797,2551,8341,3348,1932,539,358,1181,1524
开拓者,西部,74,46.3,37.7,80.4,10.2,35.1,115.0,45.3,20.6,12.8,6.3,6.1,21.7,3122,6749,952,2525,1312,1632,754,2599,8508,3353,1525,465,451,946,1606
奇才,东部,72,45.7,36.8,78.8,10.2,31.9,114.4,42.0,25.0,14.2,8.0,4.3,22.7,2990,6544,864,2345,1394,1770,732,2295,8238,3027,1801,574,309,1020,1634
马刺,西部,71,47.2,37.6,81.0,9.0,35.6,114.1,44.6,24.7,12.6,7.3,5.5,19.4,2995,6350,760,2021,1348,1664,640,2530,8098,3170,1751,518,390,895,1377
凯尔特人,东部,72,46.1,36.4,80.1,10.7,35.4,113.7,46.1,23.0,13.8,8.3,5.6,21.6,2971,6448,905,2487,1336,1668,768,2549,8183,3317,1655,595,406,995,1553
太阳,西部,73,46.8,35.8,83.4,9.8,33.8,113.6,43.5,27.2,14.8,7.7,4.0,22.0,3006,6429,831,2320,1451,1740,712,2465,8294,3177,1987,559,290,1077,1609
湖人,西部,71,48.0,34.9,72.9,10.7,35.1,113.4,45.7,25.4,15.2,8.6,6.6,20.7,3006,6269,782,2242,1260,1728,757,2490,8054,3247,1803,612,468,1077,1471
森林狼,西部,64,44.1,33.6,75.3,10.5,34.3,113.3,44.8,23.8,15.3,8.7,5.7,21.4,2586,5865,853,2540,1223,1624,675,2193,7248,2868,1525,555,362,981,1370
猛龙,东部,72,45.8,37.4,79.6,9.5,35.9,112.8,45.4,25.2,14.8,8.8,5.0,21.7,2897,6331,995,2663,1329,1670,685,2583,8118,3268,1816,636,358,1067,1559
灰熊,西部,73,46.8,34.7,76.3,10.3,36.2,112.6,46.5,26.9,15.2,7.9,5.5,21.2,3106,6634,798,2297,1212,1589,754,2643,8222,3397,1965,576,398,1113,1546
热火,东部,73,46.8,37.9,78.3,8.5,35.9,112.0,44.4,25.9,14.9,7.5,4.5,20.6,2880,6160,979,2584,1440,1840,620,2619,8179,3239,1892,547,332,1088,1501
老鹰,东部,67,44.9,33.3,79.0,9.9,33.4,111.8,43.3,24.0,16.2,7.8,5.1,23.1,2723,6067,805,2416,1237,1566,661,2237,7488,2898,1605,523,341,1086,1548
篮网,东部,72,44.8,34.3,74.5,10.6,37.3,111.8,47.9,24.5,15.3,6.4,4.5,21.0,2908,6498,941,2746,1291,1732,766,2683,8048,3449,1761,464,323,1099,1510
爵士,西部,72,47.1,38.0,77.9,9.1,35.8,111.3,44.9,22.4,15.1,6.1,4.1,20.4,2886,6130,963,2537,1278,1641,656,2577,8013,3233,1615,438,292,1089,1468
掘金,西部,73,47.3,35.9,77.7,10.8,33.4,111.3,44.1,26.7,13.8,8.0,4.6,20.3,3069,6488,801,2234,1185,1526,786,2436,8124,3222,1952,586,337,1005,1485
76人,东部,73,46.8,36.8,75.5,10.5,35.0,110.7,45.4,25.8,14.2,8.0,5.3,20.9,3000,6417,848,2307,1236,1638,764,2553,8084,3317,1884,586,389,1037,1529
雷霆,西部,72,46.8,35.5,79.6,8.2,34.7,110.4,42.9,21.7,13.7,7.6,4.9,19.3,2879,6156,770,2171,1422,1787,593,2495,7950,3088,1562,550,353,986,1390
国王,西部,72,46.2,36.4,77.0,9.7,32.9,110.1,42.6,23.8,14.5,7.7,4.1,22.2,2943,6364,914,2511,1127,1464,695,2372,7927,3067,1713,556,293,1043,1595
步行者,东部,73,47.6,36.3,78.7,8.7,34.1,109.4,42.8,25.9,13.2,7.4,5.2,19.8,3075,6457,743,2046,1096,1393,636,2489,7989,3125,1888,543,376,967,1445
魔术,东部,73,44.4,34.3,77.4,10.3,34.2,107.3,44.5,23.9,12.8,8.2,5.4,18.3,2871,6468,807,2354,1282,1656,751,2498,7831,3249,1747,599,396,937,1336
活塞,东部,66,45.9,36.7,74.3,9.8,32.0,107.2,41.7,24.1,15.3,7.4,4.5,19.7,2595,5658,791,2157,1097,1476,644,2109,7078,2753,1589,490,299,1008,1299
骑士,东部,65,45.8,35.1,75.8,10.8,33.4,106.9,44.2,23.1,16.5,6.9,3.2,18.3,2619,5715,727,2070,983,1296,704,2172,6948,2876,1500,447,211,1073,1188
公牛,东部,65,44.7,34.8,75.5,10.5,31.4,106.8,41.9,23.2,15.5,10.0,4.1,21.8,2573,5762,793,2282,1006,1332,680,2041,6945,2721,1510,652,265,1005,1417
勇士,西部,65,43.8,33.4,80.3,10.0,32.9,106.3,42.8,25.6,14.9,8.2,4.6,20.1,2510,5730,678,2032,1214,1511,647,2138,6912,2785,1663,534,299,969,1304
尼克斯,东部,66,44.7,33.7,69.4,12.0,34.5,105.8,46.5,22.1,14.3,7.6,4.7,22.2,2638,5896,631,1872,1076,1550,795,2274,6983,3069,1456,504,313,946,1464
黄蜂,东部,65,43.4,35.2,74.8,11.0,31.8,102.9,42.8,23.8,14.6,6.6,4.1,18.8,2425,5586,785,2231,1052,1406,715,2066,6687,2781,1549,428,268,949,1223
