球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
掘金,西部,82,47.6,,76.5,9.65,32.34,107.5,41.99,22.1,14.11,7.38,,,3145,6613,,,1859,2429,791,2652,8811,3443,1813,605,352,1157,1719
尼克斯,东部,82,45.7,,80.9,10.33,30.12,106.5,40.45,21.4,13.7,7.62,,,3140,6867,,,1689,2087,847,2470,8734,3317,1757,625,475,1123,1743
火箭,西部,82,45.4,,80.1,11.73,31.09,105.9,42.82,23.8,13.54,7.09,,,3170,6975,,,1668,2083,962,2549,8685,3511,1955,581,371,1110,1641
太阳,西部,82,47.0,,75.9,10.01,30.22,105.0,40.23,23.7,14.26,6.65,,,3219,6844,,,1472,1939,821,2478,8611,3299,1945,545,357,1169,1666
雷霆,西部,82,46.4,,82.3,11.01,31.76,104.8,42.77,20.4,14.1,7.98,,,3066,6609,,,1977,2401,903,2604,8596,3507,1672,654,487,1156,1836
马刺,西部,82,47.5,,76.7,10.11,31.74,103.7,41.85,22.4,13.43,7.34,,,3148,6628,,,1521,1984,829,2603,8502,3432,1836,602,372,1101,1556
勇士,西部,82,46.1,,76.1,11.65,28.9,103.4,40.55,22.5,14.61,8.99,,,3251,7047,,,1290,1695,955,2370,8477,3325,1847,737,406,1198,1806
热火,东部,82,48.1,,76.9,9.63,32.51,102.1,42.15,20.0,13.93,6.63,,,3031,6301,,,1760,2288,790,2666,8369,3456,1639,544,430,1142,1674
湖人,西部,82,46.3,,77.9,12.06,31.9,101.5,43.96,22.0,13.09,7.34,,,3128,6757,,,1541,1979,989,2616,8321,3605,1801,602,422,1073,1555
森林狼,西部,82,44.1,,76.8,13.23,31.17,101.1,44.4,20.1,17.05,7.22,,,3090,7014,,,1519,1977,1085,2556,8288,3641,1650,592,422,1398,1825
独行侠,西部,82,47.5,,77.7,9.51,31.93,100.2,41.44,23.8,13.96,6.79,,,3069,6463,,,1437,1850,780,2618,8220,3398,1954,557,352,1145,1575
灰熊,西部,82,47.1,,75.0,11.83,29.16,99.9,40.99,20.6,13.96,9.4,,,3200,6801,,,1486,1981,970,2391,8195,3361,1691,771,441,1145,1705
步行者,东部,82,44.2,,78.2,11.15,32.4,99.8,43.55,19.6,15.39,7.12,,,3003,6787,,,1592,2035,914,2657,8183,3571,1611,584,456,1262,1782
国王,西部,82,44.9,,73.4,13.06,30.81,99.4,43.87,20.4,16.15,7.42,,,3134,6979,,,1455,1981,1071,2526,8151,3597,1675,608,391,1324,1805
爵士,西部,82,46.5,,77.1,10.95,28.51,99.4,39.46,23.4,14.33,7.67,,,3064,6590,,,1590,2061,898,2338,8153,3236,1921,629,484,1175,1865
魔术,东部,82,46.1,,69.2,10.54,32.67,99.2,43.21,20.0,14.93,6.68,,,2956,6411,,,1453,2101,864,2679,8135,3543,1636,548,384,1224,1640
猛龙,东部,82,46.5,,75.5,11.74,28.57,99.1,40.32,21.9,14.71,7.09,,,3144,6755,,,1491,1976,963,2343,8124,3306,1795,581,350,1206,1807
76人,东部,82,46.1,,77.0,10.37,31.44,99.0,41.81,22.7,12.96,7.57,,,3125,6776,,,1426,1851,850,2578,8119,3428,1861,621,355,1063,1592
快船,西部,82,45.7,,70.7,11.65,30.5,98.6,42.15,22.1,16.38,7.13,,,3015,6594,,,1546,2187,955,2501,8089,3456,1813,585,402,1343,1733
公牛,东部,82,46.2,,74.3,11.79,32.37,98.6,44.16,22.3,14.16,7.22,,,3042,6587,,,1492,2008,967,2654,8087,3621,1827,592,468,1161,1639
奇才,东部,82,44.3,,74.5,12.35,28.95,97.3,41.31,19.4,15.34,8.11,,,3048,6888,,,1489,1999,1013,2374,7977,3387,1592,665,502,1258,1850
活塞,东部,82,46.0,,73.7,11.35,27.27,97.0,38.62,21.1,13.01,7.26,,,3056,6647,,,1367,1854,931,2236,7951,3167,1730,595,328,1067,1629
凯尔特人,东部,82,48.6,,77.0,7.79,31.0,96.5,38.79,23.4,14.57,8.24,,,3023,6219,,,1459,1895,639,2542,7913,3181,1921,676,344,1195,1678
开拓者,西部,82,44.7,,80.4,12.15,27.2,96.3,39.34,21.2,13.05,8.05,,,2951,6599,,,1476,1835,996,2230,7896,3226,1736,660,358,1070,1585
骑士,东部,82,43.4,,74.5,10.44,29.87,95.5,40.31,21.0,14.22,6.63,,,2886,6647,,,1546,2075,856,2449,7827,3305,1720,544,341,1166,1648
老鹰,东部,82,46.2,,77.9,9.29,30.0,95.0,39.29,22.0,13.63,6.06,,,2971,6429,,,1346,1728,762,2460,7790,3222,1802,497,341,1118,1554
黄蜂,西部,82,45.9,,76.5,10.05,30.1,94.9,40.15,20.6,13.04,7.61,,,2944,6416,,,1452,1897,824,2468,7784,3292,1691,624,359,1069,1719
NJN,东部,82,44.0,,75.9,11.09,29.76,94.2,40.84,21.0,14.05,5.59,,,2918,6638,,,1427,1881,909,2440,7722,3349,1723,458,384,1152,1807
黄蜂,东部,82,45.1,,75.6,10.34,29.81,93.3,40.15,21.1,14.54,6.39,,,2873,6365,,,1511,1999,848,2444,7650,3292,1728,524,433,1192,1637
雄鹿,东部,82,43.0,,75.7,10.51,30.24,91.9,40.76,18.8,13.45,7.52,,,2814,6544,,,1423,1881,862,2480,7534,3342,1545,617,399,1103,1682
