球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
勇士,西部,82,50.3,39.1,81.5,8.4,35.1,113.5,43.5,29.3,15.43,8.0,7.46,19.6,3509,6979,926,2369,1360,1668,691,2877,9304,3568,2402,656,612,1265,1607
火箭,西部,82,46.0,36.2,78.1,9.0,34.5,112.4,43.5,21.5,13.84,8.52,4.78,19.48,3174,6906,1256,3470,1609,2061,739,2825,9213,3564,1767,699,392,1135,1597
鹈鹕,西部,82,48.3,36.2,77.2,8.7,35.6,111.7,44.3,26.8,14.91,8.01,5.91,19.15,3500,7241,837,2312,1324,1716,712,2923,9161,3635,2195,657,485,1223,1570
猛龙,东部,82,47.2,35.8,79.4,9.8,34.2,111.7,44.0,24.3,13.35,7.63,6.1,21.74,3383,7169,968,2705,1422,1790,800,2807,9156,3607,1995,626,500,1095,1783
骑士,东部,82,47.6,37.2,77.9,8.5,33.7,110.9,42.1,23.4,13.73,7.1,3.8,18.59,3311,6950,981,2636,1488,1909,694,2761,9091,3455,1916,582,312,1126,1524
掘金,西部,82,47.0,37.1,76.7,11.0,33.5,110.0,44.5,25.1,14.95,7.65,4.93,18.7,3338,7102,940,2536,1404,1830,902,2748,9020,3650,2059,627,404,1226,1533
76人,东部,82,47.2,36.9,75.2,10.9,36.5,109.8,47.4,27.1,16.5,8.32,5.12,22.09,3349,7098,901,2445,1405,1868,893,2996,9004,3889,2221,682,420,1353,1811
森林狼,西部,82,47.6,35.7,80.4,10.3,31.6,109.5,42.0,22.7,12.45,8.4,4.21,18.23,3365,7063,658,1845,1592,1980,848,2593,8980,3441,1861,689,345,1021,1495
快船,西部,82,47.1,35.4,74.3,10.1,33.7,109.0,43.9,22.3,14.68,7.66,4.54,19.98,3302,7004,777,2196,1556,2095,832,2766,8937,3598,1832,628,372,1204,1638
黄蜂,东部,82,45.0,36.9,74.7,10.1,35.4,108.2,45.5,21.6,12.7,6.82,4.55,17.18,3197,7106,824,2233,1656,2216,827,2901,8874,3728,1770,559,373,1041,1409
湖人,西部,82,46.1,34.5,71.4,10.7,35.7,108.1,46.4,23.8,15.79,7.72,4.73,21.17,3338,7248,822,2384,1364,1910,876,2927,8862,3803,1949,633,388,1295,1736
