球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
掘金,西部,82,47.8,34.3,70.1,13.32,31.72,106.1,45.04,24.4,15.28,9.29,6.5,20.51,3339,6983,521,1518,1505,2148,1092,2601,8704,3693,2002,762,533,1253,1682
火箭,西部,82,46.1,36.6,75.4,11.09,32.34,106.0,43.43,23.2,16.44,8.28,4.38,20.27,3124,6782,867,2369,1573,2087,909,2652,8688,3561,1902,679,359,1348,1662
雷霆,西部,82,48.1,37.7,82.8,10.42,33.23,105.7,43.65,21.4,15.28,8.28,7.61,20.17,3126,6504,598,1588,1819,2196,854,2725,8669,3579,1753,679,624,1253,1654
马刺,西部,82,48.1,37.6,79.1,8.12,33.18,103.0,41.31,25.1,14.71,8.48,5.44,17.4,3210,6675,663,1764,1365,1725,666,2721,8448,3387,2058,695,446,1206,1427
热火,东部,82,49.6,39.6,75.4,8.24,30.37,102.9,38.61,23.0,13.94,8.66,5.38,18.7,3148,6348,717,1809,1423,1887,676,2490,8436,3166,1890,710,441,1143,1533
湖人,西部,82,45.8,35.5,69.2,11.49,33.32,102.2,44.81,22.2,15.02,7.02,5.23,17.89,3041,6640,715,2015,1584,2289,942,2732,8381,3674,1818,576,429,1232,1467
勇士,西部,82,45.8,40.3,79.0,10.79,34.16,101.2,44.95,22.5,15.07,6.92,4.22,21.38,3130,6840,658,1632,1378,1744,885,2801,8296,3686,1845,567,346,1236,1753
独行侠,西部,82,46.2,37.2,79.3,9.35,32.56,101.1,41.92,23.2,13.95,7.9,5.54,20.71,3182,6892,606,1628,1323,1669,767,2670,8293,3437,1906,648,454,1144,1698
快船,西部,82,47.8,35.8,71.1,11.44,30.18,101.1,41.62,23.9,14.6,9.56,5.62,20.93,3160,6608,627,1752,1342,1888,938,2475,8289,3413,1958,784,461,1197,1716
国王,西部,82,44.7,36.3,76.9,11.5,29.09,100.2,40.59,20.8,14.62,8.18,4.17,20.94,3086,6904,610,1681,1437,1869,943,2385,8219,3328,1708,671,342,1199,1717
尼克斯,东部,82,44.8,37.6,75.9,10.85,29.71,100.0,40.56,19.3,12.05,8.2,3.59,20.12,2996,6689,891,2371,1313,1729,890,2436,8196,3326,1579,672,294,988,1650
雄鹿,东部,82,43.5,36.0,73.6,13.02,30.94,98.9,43.96,22.9,14.1,8.35,6.71,18.95,3128,7197,601,1670,1251,1700,1068,2537,8108,3605,1876,685,550,1156,1554
爵士,西部,82,45.4,36.6,76.4,12.06,29.96,98.0,42.02,22.7,14.76,8.42,6.28,21.34,3046,6710,507,1385,1439,1883,989,2457,8038,3446,1859,690,515,1210,1750
老鹰,东部,82,46.4,37.1,71.5,9.24,31.62,98.0,40.87,24.5,14.87,8.1,4.5,17.96,3084,6644,706,1901,1158,1619,758,2593,8032,3351,2007,664,369,1219,1473
开拓者,西部,82,44.8,35.3,77.6,10.66,30.17,97.5,40.83,21.8,14.67,6.56,4.3,18.51,3009,6715,673,1904,1304,1680,874,2474,7995,3348,1784,538,353,1203,1518
猛龙,东部,82,44.6,34.3,78.8,10.62,29.59,97.2,40.21,21.5,13.71,7.26,4.78,22.39,2979,6685,571,1665,1442,1831,871,2426,7971,3297,1765,595,392,1124,1836
篮网,东部,82,45.0,35.7,73.1,12.77,30.0,96.9,42.77,20.3,14.71,7.31,4.77,18.29,2942,6544,628,1760,1432,1958,1047,2460,7944,3507,1668,599,391,1206,1500
凯尔特人,东部,81,46.5,35.8,77.6,8.07,31.27,96.5,39.35,22.8,14.58,8.24,4.51,21.2,3001,6459,498,1390,1318,1698,654,2533,7818,3187,1843,667,365,1181,1717
骑士,东部,82,43.4,34.6,75.6,12.24,28.77,96.5,41.01,20.7,14.01,7.89,4.07,21.18,2993,6901,547,1581,1380,1826,1004,2359,7913,3363,1694,647,334,1149,1737
森林狼,西部,82,43.9,30.5,74.2,11.87,30.16,95.7,42.02,22.4,14.81,8.54,4.72,18.4,2943,6702,450,1475,1515,2042,973,2473,7851,3446,1836,700,387,1214,1509
太阳,西部,82,44.3,33.0,74.4,11.7,29.93,95.2,41.62,22.6,15.59,8.04,5.29,20.59,3061,6917,480,1455,1203,1618,959,2454,7805,3413,1855,659,434,1278,1688
活塞,东部,82,44.9,35.6,69.9,12.09,30.04,94.9,42.12,21.2,15.13,7.0,4.88,19.79,2979,6638,513,1440,1307,1870,991,2463,7778,3454,1742,574,400,1241,1623
步行者,东部,81,43.6,34.7,74.6,12.88,32.98,94.7,45.85,20.3,15.15,7.16,6.33,20.04,2845,6525,555,1599,1429,1915,1043,2671,7674,3714,1645,580,513,1227,1623
黄蜂,西部,82,44.8,36.3,77.6,12.05,29.59,94.1,41.63,21.0,14.55,6.34,5.37,20.4,2955,6589,535,1474,1269,1636,988,2426,7714,3414,1721,520,440,1193,1673
魔术,东部,82,44.8,32.9,75.5,10.85,31.85,94.1,42.71,22.8,14.52,6.44,4.37,19.4,3093,6904,506,1537,1026,1359,890,2612,7718,3502,1871,528,358,1191,1591
灰熊,西部,82,44.4,34.5,77.3,12.92,29.82,93.4,42.73,20.9,13.95,8.57,5.32,20.24,2964,6679,382,1107,1349,1746,1059,2445,7659,3504,1715,703,436,1144,1660
黄蜂,东部,82,42.5,33.5,75.0,11.18,29.13,93.4,40.32,19.4,14.06,7.21,5.84,19.04,2823,6649,469,1399,1546,2060,917,2389,7661,3306,1587,591,479,1153,1561
公牛,东部,82,43.7,35.3,77.3,12.51,30.66,93.2,43.17,23.0,14.28,7.17,5.09,19.72,2926,6698,446,1265,1343,1738,1026,2514,7641,3540,1886,588,417,1171,1617
76人,东部,82,44.4,36.0,72.9,10.93,30.4,93.2,41.33,22.8,13.05,7.43,4.68,18.35,3059,6895,518,1438,1004,1377,896,2493,7640,3389,1867,609,384,1070,1505
奇才,东部,82,43.5,36.5,73.3,10.82,32.34,93.2,43.16,21.6,15.1,7.29,4.59,20.5,2910,6693,545,1495,1279,1746,887,2652,7644,3539,1775,598,376,1238,1681
