球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
太阳,西部,82,49.4,,80.8,8.99,31.5,110.2,40.49,25.9,14.5,6.74,,,3388,6855,,,1476,1827,737,2583,9037,3320,2122,553,394,1189,1659
勇士,西部,82,46.3,,71.7,11.48,29.94,106.5,41.42,23.8,15.96,9.15,,,3261,7048,,,1515,2113,940,2456,8737,3396,1950,750,466,1309,1933
掘金,西部,82,46.5,,74.6,12.21,31.2,105.4,43.4,23.4,16.49,8.27,,,3164,6805,,,1827,2449,1001,2558,8639,3559,1920,678,435,1352,1756
奇才,东部,82,45.0,,76.5,12.17,29.01,104.3,41.18,20.2,13.82,7.74,,,3070,6820,,,1855,2425,998,2379,8556,3377,1660,635,375,1133,1823
湖人,西部,82,46.6,,74.7,10.81,30.43,103.3,41.23,22.6,15.52,7.32,,,3103,6664,,,1660,2221,886,2495,8474,3381,1850,600,421,1273,1889
灰熊,西部,82,46.5,,76.1,10.56,28.96,101.6,39.52,20.5,16.38,6.88,,,2998,6448,,,1835,2410,866,2375,8331,3241,1680,564,407,1343,1827
爵士,西部,82,47.4,,74.3,12.56,29.95,101.5,42.51,24.7,15.57,7.04,,,3069,6471,,,1830,2462,1030,2456,8322,3486,2024,577,339,1277,2067
国王,西部,82,45.0,,76.5,9.72,29.22,101.3,38.94,20.3,14.56,8.18,,,2941,6532,,,1891,2473,797,2396,8303,3193,1665,671,265,1194,1792
独行侠,西部,82,46.7,,80.5,11.22,30.67,100.0,41.89,19.9,13.9,6.83,,,3010,6442,,,1646,2045,920,2515,8201,3435,1632,560,408,1140,1837
雄鹿,东部,82,46.5,,73.3,11.48,27.71,99.7,39.18,21.6,15.12,7.16,,,3121,6714,,,1406,1919,941,2272,8172,3213,1771,587,224,1240,1821
猛龙,东部,82,46.3,,78.8,9.21,30.24,99.5,39.45,22.2,13.46,7.09,,,3032,6547,,,1562,1982,755,2480,8157,3235,1822,581,321,1104,1672
超音速,西部,82,46.0,,79.1,11.32,28.32,99.1,39.63,20.7,15.46,7.7,,,3047,6628,,,1511,1911,928,2322,8130,3250,1695,631,301,1268,1801
公牛,东部,82,45.7,,73.4,12.0,31.67,98.8,43.67,22.3,15.98,7.79,,,3046,6663,,,1528,2083,984,2597,8100,3581,1832,639,445,1310,1908
马刺,西部,82,47.4,,75.1,9.28,31.43,98.5,40.71,22.1,13.87,7.16,,,2999,6328,,,1486,1980,761,2577,8079,3338,1814,587,417,1137,1588
NJN,东部,82,45.7,,72.7,10.02,30.79,97.6,40.82,23.9,14.78,6.09,,,2913,6379,,,1566,2153,822,2525,8001,3347,1962,499,273,1212,1869
尼克斯,东部,82,45.7,,71.5,12.59,30.68,97.5,43.27,18.7,17.13,6.62,,,2903,6356,,,1714,2396,1032,2516,7994,3548,1532,543,260,1405,1932
火箭,西部,82,44.5,,75.3,10.73,32.6,97.0,43.33,20.8,14.17,7.11,,,2906,6528,,,1436,1906,880,2673,7953,3553,1704,583,337,1162,1710
黄蜂,东部,82,44.6,,73.4,11.22,28.61,96.9,39.83,22.4,14.93,7.78,,,2960,6643,,,1568,2136,920,2346,7945,3266,1836,638,369,1224,1985
骑士,东部,82,44.7,,69.6,12.67,30.84,96.8,43.51,20.8,14.35,7.62,,,2978,6658,,,1484,2133,1039,2529,7934,3568,1708,625,353,1177,1781
森林狼,西部,82,46.1,,79.2,9.99,30.16,96.1,40.15,22.5,15.59,6.49,,,2997,6503,,,1499,1892,819,2474,7877,3293,1848,532,325,1278,1758
活塞,东部,82,45.4,,77.4,11.56,28.95,96.0,40.51,21.6,12.21,7.11,,,2942,6484,,,1539,1988,948,2374,7872,3322,1768,583,472,1001,1672
凯尔特人,东部,82,44.3,,76.7,11.2,29.16,95.8,40.35,19.9,16.46,7.18,,,2858,6454,,,1670,2178,918,2391,7857,3309,1630,589,382,1350,1971
快船,西部,82,45.6,,78.8,10.83,30.29,95.6,41.12,21.5,15.11,7.27,,,2880,6318,,,1769,2245,888,2484,7843,3372,1762,596,472,1239,1858
步行者,东部,82,43.8,,76.0,12.07,29.77,95.6,41.84,20.5,16.28,7.31,,,2872,6561,,,1615,2125,990,2441,7840,3431,1680,599,447,1335,1912
黄蜂,西部,82,44.5,,74.0,12.5,30.63,95.5,43.13,18.7,14.48,6.37,,,2971,6674,,,1436,1941,1025,2512,7833,3537,1537,522,347,1187,1620
76人,东部,82,45.8,,76.7,10.96,28.7,94.9,39.66,20.4,15.34,7.2,,,2932,6408,,,1637,2135,899,2353,7785,3252,1669,590,390,1258,1671
魔术,东部,82,47.2,,70.2,11.22,29.49,94.8,40.71,18.6,16.98,6.89,,,2875,6090,,,1679,2393,920,2418,7771,3338,1525,565,416,1392,1904
热火,东部,82,46.4,,69.0,9.96,30.81,94.6,40.77,20.5,14.65,6.9,,,2919,6288,,,1393,2019,817,2526,7759,3343,1681,566,442,1201,1749
开拓者,西部,82,45.0,,76.9,11.26,28.04,94.1,39.29,18.5,15.07,6.77,,,2874,6392,,,1543,2006,923,2299,7717,3222,1513,555,380,1236,1931
老鹰,东部,82,44.4,,76.1,11.9,28.2,93.7,40.1,19.2,15.93,7.43,,,2831,6372,,,1677,2203,976,2312,7680,3288,1573,609,446,1306,1970
