球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
勇士,西部,82,49.5,38.3,78.8,9.4,35.0,115.9,44.4,30.4,14.77,9.57,6.77,19.33,3532,7140,982,2562,1457,1850,770,2873,9503,3643,2491,785,555,1211,1585
火箭,西部,82,46.2,35.7,76.6,10.9,33.5,115.3,44.4,25.2,15.1,8.2,4.3,19.9,3305,7152,1181,3306,1667,2177,892,2746,9458,3638,2070,670,352,1240,1634
掘金,西部,82,46.9,36.8,77.4,11.8,34.6,111.7,46.4,25.3,15.0,6.9,3.9,19.1,3377,7194,870,2365,1537,1986,966,2837,9161,3803,2077,568,323,1226,1567
骑士,东部,82,47.0,38.4,74.8,9.3,34.4,110.3,43.7,22.7,13.67,6.57,3.99,18.12,3275,6963,1067,2779,1431,1913,766,2821,9048,3587,1858,539,327,1121,1486
奇才,东部,82,47.5,37.2,78.4,10.3,32.6,109.2,42.9,23.9,14.17,8.45,4.1,21.28,3388,7137,756,2030,1421,1812,843,2671,8953,3514,1956,693,336,1162,1745
快船,西部,82,47.5,37.5,74.5,9.0,34.0,108.7,43.0,22.5,12.95,7.46,4.23,19.83,3242,6820,841,2245,1586,2128,738,2790,8911,3528,1848,612,347,1062,1626
凯尔特人,东部,82,45.4,35.9,80.7,9.1,32.9,108.0,42.0,25.2,13.27,7.52,4.15,20.56,3168,6977,985,2741,1536,1903,743,2698,8857,3441,2069,617,340,1088,1686
开拓者,西部,82,45.9,37.5,78.0,10.1,33.5,107.9,43.7,21.1,13.73,7.0,4.98,21.17,3243,7059,852,2272,1513,1940,830,2750,8851,3580,1733,574,408,1126,1736
太阳,西部,82,45.0,33.2,77.6,11.9,33.1,107.7,45.0,19.6,15.43,8.21,4.87,24.76,3270,7260,615,1854,1676,2159,976,2712,8831,3688,1604,673,399,1265,2030
猛龙,东部,82,46.4,36.3,79.6,10.6,32.6,106.9,43.3,18.5,12.7,8.26,4.88,20.83,3211,6918,725,1996,1615,2028,871,2676,8762,3547,1517,677,400,1041,1708
雷霆,西部,82,45.2,32.7,74.5,12.2,34.4,106.6,46.6,21.0,15.0,7.9,4.98,20.91,3237,7169,692,2116,1575,2113,1002,2821,8741,3823,1721,648,408,1230,1715
