球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
太阳,西部,82,47.9,,80.6,9.49,32.32,108.4,41.81,26.6,13.27,6.7,,,3430,7167,,,1189,1475,778,2650,8886,3428,2179,549,412,1088,1683
超音速,西部,82,45.9,,78.5,12.35,27.23,102.6,39.59,20.7,14.73,7.59,,,3077,6711,,,1652,2104,1013,2233,8411,3246,1696,622,306,1208,1933
奇才,东部,82,44.7,,75.7,12.62,28.59,101.7,41.21,18.6,13.94,8.02,,,2975,6656,,,1889,2496,1035,2344,8336,3379,1523,658,339,1143,1855
猛龙,东部,82,45.4,,79.1,10.54,27.94,101.1,38.48,19.4,13.06,6.45,,,3013,6639,,,1653,2089,864,2291,8287,3155,1593,529,272,1071,1965
掘金,西部,82,46.1,,74.4,11.01,30.32,100.3,41.33,23.4,14.83,8.51,,,3078,6672,,,1721,2312,903,2486,8227,3389,1921,698,463,1216,1863
热火,东部,82,47.8,,70.0,10.46,32.62,99.9,43.09,20.6,14.46,6.37,,,3039,6355,,,1616,2310,858,2675,8191,3533,1692,522,442,1186,1871
湖人,西部,82,45.3,,74.5,11.83,30.34,99.4,42.17,21.1,13.94,7.66,,,2992,6607,,,1618,2172,970,2488,8154,3458,1734,628,350,1143,1894
76人,东部,82,45.8,,76.0,10.65,29.57,99.4,40.22,20.2,14.13,7.94,,,3001,6546,,,1770,2330,873,2425,8147,3298,1653,651,404,1159,1712
独行侠,西部,82,46.2,,78.3,12.56,29.65,99.1,42.21,18.0,13.56,7.23,,,2948,6375,,,1818,2322,1030,2431,8130,3461,1473,593,488,1112,1834
国王,西部,82,45.4,,78.4,10.39,30.16,98.9,40.55,22.3,14.62,7.42,,,2954,6500,,,1704,2173,852,2473,8106,3325,1825,608,299,1199,1672
勇士,西部,82,43.3,,71.8,11.95,30.31,98.5,42.26,20.7,14.1,7.37,,,2939,6785,,,1573,2190,980,2485,8076,3465,1694,604,357,1156,1941
凯尔特人,东部,82,46.7,,75.5,9.92,29.66,98.0,39.57,20.9,16.57,7.05,,,2951,6322,,,1664,2204,813,2432,8033,3245,1716,578,422,1359,2033
公牛,东部,82,44.6,,73.8,11.05,31.73,97.8,42.78,22.0,14.93,6.2,,,3004,6737,,,1452,1967,906,2602,8020,3508,1804,508,345,1224,2038
雄鹿,东部,82,45.3,,73.8,11.33,29.85,97.8,41.18,21.6,14.6,7.28,,,2976,6566,,,1561,2115,929,2448,8020,3377,1769,597,270,1197,1902
骑士,东部,82,45.4,,72.9,11.7,30.62,97.6,42.32,19.0,13.87,6.92,,,2908,6412,,,1689,2318,959,2511,8002,3470,1560,567,392,1137,1733
快船,西部,82,46.5,,79.1,10.1,32.98,97.2,43.07,20.8,14.45,6.51,,,2993,6443,,,1694,2142,828,2704,7970,3532,1708,534,503,1185,1872
老鹰,东部,82,45.4,,75.0,13.04,27.22,97.2,40.26,19.8,15.66,7.16,,,2946,6496,,,1656,2207,1069,2232,7972,3301,1625,587,394,1284,2054
黄蜂,东部,82,43.3,,72.9,12.07,27.68,96.9,39.76,20.9,14.23,10.02,,,2961,6843,,,1593,2186,990,2270,7943,3260,1717,822,354,1167,1960
活塞,东部,82,45.5,,72.7,11.89,28.62,96.8,40.51,24.0,11.35,7.07,,,2983,6558,,,1418,1950,975,2347,7941,3322,1971,580,490,931,1513
尼克斯,东部,82,45.5,,72.6,12.6,28.78,95.6,41.38,17.9,17.67,6.77,,,2822,6206,,,1878,2587,1034,2360,7842,3394,1468,555,271,1449,2157
马刺,西部,82,47.2,,70.2,10.38,31.07,95.6,41.45,20.9,13.73,6.62,,,2993,6342,,,1327,1891,851,2548,7837,3399,1717,543,467,1126,1714
魔术,东部,82,47.2,,73.0,10.88,29.29,94.9,40.17,18.2,15.12,6.49,,,2911,6167,,,1663,2277,892,2402,7784,3294,1495,532,362,1240,1908
步行者,东部,82,44.4,,73.7,10.95,31.21,93.9,42.16,19.9,15.29,7.29,,,2786,6274,,,1591,2158,898,2559,7699,3457,1631,598,409,1254,1821
NJN,东部,82,44.0,,75.8,10.02,30.96,93.8,40.99,23.0,13.65,6.81,,,2778,6317,,,1658,2187,822,2539,7691,3361,1884,558,278,1119,1903
黄蜂,西部,82,44.0,,75.8,11.2,29.01,92.8,40.21,18.5,13.35,7.45,,,2831,6428,,,1649,2176,918,2379,7611,3297,1519,611,311,1095,1786
爵士,西部,82,44.2,,71.9,13.06,29.02,92.4,42.09,21.6,15.73,6.39,,,2744,6207,,,1774,2466,1071,2380,7573,3451,1772,524,492,1290,2032
灰熊,西部,82,44.8,,71.1,10.17,29.01,92.2,39.18,19.3,13.83,7.32,,,2746,6125,,,1476,2077,834,2379,7558,3213,1586,600,442,1134,1757
森林狼,西部,82,45.6,,75.8,9.89,29.54,91.7,39.43,20.9,14.5,6.82,,,2888,6340,,,1436,1895,811,2422,7522,3233,1716,559,471,1189,1889
火箭,西部,82,43.3,,75.9,10.35,31.28,90.1,41.63,19.3,14.55,7.17,,,2708,6252,,,1502,1980,849,2565,7387,3414,1580,588,320,1193,1863
开拓者,西部,82,44.5,,68.9,10.81,26.87,88.8,37.67,18.2,14.7,6.45,,,2791,6267,,,1339,1944,886,2203,7285,3089,1490,529,435,1205,1828
