球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
独行侠,西部,82,46.2,,80.6,11.2,31.3,105.2,42.5,22.1,12.1,7.09,,,3200,6930,,,1608,1994,918,2568,8629,3486,1811,581,392,992,1842
国王,西部,82,46.7,,75.1,12.4,33.0,104.6,45.3,23.9,13.76,9.04,,,3267,7003,,,1618,2154,1013,2702,8578,3715,1958,741,375,1128,1560
湖人,西部,82,46.1,,69.9,12.5,31.8,101.3,44.3,23.0,12.68,7.62,,,3150,6840,,,1494,2138,1022,2607,8304,3629,1882,625,478,1040,1823
魔术,东部,82,44.8,,75.4,11.5,29.8,100.5,41.2,22.0,13.65,8.11,,,3087,6893,,,1446,1917,942,2440,8240,3382,1804,665,384,1119,1700
森林狼,西部,82,46.1,,79.8,12.9,31.2,99.3,44.2,24.3,13.38,6.39,,,3175,6887,,,1399,1754,1059,2562,8145,3621,1993,524,427,1097,1739
超音速,西部,82,46.9,,75.5,11.8,28.5,97.7,40.3,23.5,13.71,8.51,,,3131,6681,,,1263,1672,968,2333,8014,3301,1926,698,364,1124,1732
勇士,西部,82,42.9,,72.2,16.3,30.4,97.7,46.7,20.8,16.8,7.93,,,2998,6989,,,1693,2344,1334,2493,8009,3827,1706,650,523,1378,1884
雄鹿,东部,82,46.2,,74.8,10.3,31.2,97.5,41.4,22.5,14.11,7.27,,,3041,6577,,,1321,1767,841,2557,7996,3398,1847,596,388,1157,1788
步行者,东部,82,44.6,,77.2,11.3,31.3,96.8,42.7,23.0,15.23,8.02,,,2935,6580,,,1663,2155,930,2568,7938,3498,1884,658,436,1249,1876
马刺,西部,82,45.8,,74.2,11.1,31.3,96.7,42.4,20.0,14.39,7.62,,,2913,6363,,,1668,2249,907,2566,7932,3473,1643,625,537,1180,1575
开拓者,西部,82,45.0,,76.3,13.2,29.8,96.6,43.0,23.5,14.29,8.56,,,3004,6671,,,1451,1901,1085,2444,7925,3529,1926,702,368,1172,1613
凯尔特人,东部,82,42.4,,76.4,10.9,31.3,96.4,42.2,21.0,13.59,9.67,,,2852,6731,,,1498,1960,891,2570,7901,3461,1722,793,292,1114,1776
NJN,东部,82,44.6,,73.5,12.7,30.7,96.2,43.3,24.3,14.5,8.73,,,3042,6816,,,1402,1907,1039,2515,7889,3554,1990,716,490,1189,1734
爵士,西部,82,45.0,,76.3,13.5,28.6,96.0,42.2,24.4,16.5,9.13,,,2869,6374,,,1853,2430,1109,2349,7871,3458,1999,749,523,1353,1971
快船,西部,82,44.5,,73.9,13.2,30.2,95.7,43.4,20.9,14.8,6.22,,,2970,6668,,,1498,2026,1083,2474,7846,3557,1714,510,540,1214,1624
骑士,东部,82,44.8,,77.2,11.8,30.3,95.3,42.1,23.1,14.59,6.98,,,2948,6582,,,1529,1980,968,2483,7812,3451,1891,572,470,1196,1752
太阳,西部,82,44.7,,76.7,13.1,29.6,95.1,42.7,22.4,14.7,8.15,,,3097,6934,,,1250,1630,1072,2430,7802,3502,1838,668,401,1205,1785
活塞,东部,82,45.2,,75.6,9.9,28.9,94.3,38.7,21.5,14.55,7.9,,,2845,6300,,,1478,1954,810,2366,7735,3176,1765,648,565,1193,1695
老鹰,东部,82,43.9,,76.5,11.6,29.8,94.0,41.5,20.2,15.55,8.13,,,2901,6610,,,1486,1942,955,2445,7711,3400,1656,667,350,1275,1702
黄蜂,东部,82,44.0,,74.5,12.9,30.5,93.9,43.5,21.5,14.02,7.96,,,2893,6580,,,1568,2105,1059,2505,7700,3564,1759,653,456,1150,1747
奇才,东部,82,44.1,,76.5,12.9,29.2,92.8,42.0,20.9,13.02,6.95,,,2938,6664,,,1428,1866,1055,2393,7609,3448,1715,570,354,1068,1763
火箭,西部,82,42.8,,74.1,12.5,29.4,92.3,41.9,18.1,14.1,6.55,,,2837,6629,,,1402,1893,1025,2411,7572,3436,1482,537,445,1156,1476
掘金,西部,82,42.4,,74.4,13.6,28.2,92.2,41.8,22.2,14.7,7.48,,,2915,6870,,,1306,1756,1117,2310,7559,3427,1817,613,462,1205,1873
尼克斯,东部,82,43.2,,78.7,10.7,30.0,91.6,40.7,21.0,14.54,6.8,,,2817,6520,,,1406,1786,876,2458,7514,3334,1720,558,288,1192,1800
猛龙,东部,82,43.4,,73.9,13.6,28.5,91.4,42.1,21.7,14.32,8.39,,,2919,6727,,,1269,1717,1114,2336,7494,3450,1779,688,454,1174,1771
76人,东部,82,43.6,,77.9,13.3,30.9,91.0,44.2,20.0,15.32,8.6,,,2804,6436,,,1639,2104,1092,2534,7461,3626,1638,705,363,1256,1645
灰熊,西部,82,43.6,,70.8,12.0,29.4,89.9,41.4,21.8,16.39,7.88,,,2851,6535,,,1334,1883,984,2413,7372,3397,1785,646,488,1344,1571
公牛,东部,82,43.3,,72.2,11.3,28.8,89.5,40.0,22.2,15.27,7.72,,,2811,6491,,,1413,1958,924,2359,7335,3283,1817,633,361,1252,1834
热火,东部,82,43.9,,72.4,11.0,31.0,87.2,42.0,20.3,14.84,6.67,,,2801,6382,,,1236,1708,902,2544,7150,3446,1664,547,448,1217,1846
