球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
掘金,西部,66,47.6,33.2,73.5,11.18,31.89,104.1,43.08,24.0,15.38,8.18,5.0,19.651,2572,5404,435,1311,1293,1760,738,2105,6872,2843,1581,540,330,1015,1297
马刺,西部,66,47.8,39.3,74.8,10.35,32.62,103.7,42.97,23.2,13.56,7.42,4.439,17.318,2611,5463,552,1405,1067,1427,683,2153,6841,2836,1528,490,293,895,1143
雷霆,西部,66,47.1,35.8,80.6,11.0,32.68,103.1,43.68,18.5,16.35,7.55,8.166,20.484,2462,5229,472,1317,1406,1744,726,2157,6802,2883,1224,498,539,1079,1352
爵士,西部,66,45.6,32.3,75.4,13.05,31.14,99.7,44.18,21.8,14.18,8.26,5.833,21.833,2523,5531,273,845,1258,1668,861,2055,6577,2916,1439,545,385,936,1441
雄鹿,东部,66,44.3,34.5,77.4,12.42,30.05,99.0,42.47,23.5,14.08,8.3,5.075,19.287,2502,5652,436,1265,1095,1415,820,1983,6535,2803,1550,548,335,929,1273
国王,西部,66,43.6,31.6,73.6,13.36,29.5,98.8,42.86,19.3,14.42,8.5,4.893,19.5,2490,5712,411,1301,1127,1532,882,1947,6518,2829,1271,561,323,952,1287
热火,东部,66,46.9,35.9,77.5,10.39,31.21,98.5,41.61,20.0,15.18,8.86,5.378,19.424,2446,5212,370,1030,1238,1598,686,2060,6500,2746,1317,585,355,1002,1282
太阳,西部,66,45.8,34.3,75.7,10.86,30.83,98.4,41.7,22.5,14.06,6.53,5.545,18.681,2495,5445,444,1295,1058,1397,717,2035,6492,2752,1486,431,366,928,1233
火箭,西部,66,44.9,35.9,78.2,11.65,30.52,98.1,42.17,21.3,14.47,7.52,4.833,20.409,2489,5543,478,1330,1018,1301,769,2014,6474,2783,1404,496,319,955,1347
森林狼,西部,66,43.3,33.2,77.1,12.08,31.65,97.9,43.73,19.5,15.17,6.61,4.439,18.363,2355,5434,473,1423,1281,1662,797,2089,6464,2886,1290,436,293,1001,1212
尼克斯,东部,66,44.3,33.6,74.1,11.26,30.49,97.8,41.74,20.1,16.0,9.42,4.181,21.075,2365,5335,517,1538,1211,1634,743,2012,6458,2755,1328,622,276,1056,1391
勇士,西部,66,45.7,38.8,77.0,9.7,29.5,97.8,39.2,22.3,13.86,8.0,5.484,21.363,2489,5443,524,1351,951,1235,640,1947,6453,2587,1470,528,362,915,1410
步行者,东部,66,43.8,36.8,78.2,12.52,31.36,97.7,43.88,18.6,14.02,7.92,5.409,21.666,2354,5375,392,1064,1349,1724,826,2070,6449,2896,1228,523,357,925,1430
快船,西部,66,45.5,35.7,68.0,12.12,29.44,97.5,41.56,21.0,13.32,8.42,4.772,21.196,2439,5366,514,1441,1046,1538,800,1943,6438,2743,1385,556,315,879,1399
湖人,西部,66,45.7,32.6,75.6,12.11,34.11,97.3,46.21,22.5,15.11,5.91,5.318,16.803,2429,5319,362,1112,1202,1589,799,2251,6422,3050,1485,390,351,997,1109
开拓者,西部,66,44.3,34.6,79.6,11.14,29.53,97.2,40.67,20.4,14.17,8.0,4.878,18.954,2402,5417,478,1382,1133,1423,735,1949,6415,2684,1349,528,322,935,1251
老鹰,东部,66,45.4,37.0,74.0,9.88,31.3,96.6,41.18,22.4,13.96,8.12,4.59,17.848,2429,5348,492,1330,1025,1385,652,2066,6375,2718,1481,536,303,921,1178
公牛,东部,66,45.2,37.5,72.2,13.86,32.8,96.3,46.67,23.1,13.99,6.91,5.878,17.257,2467,5462,419,1117,1006,1394,915,2165,6359,3080,1527,456,388,923,1139
独行侠,西部,66,44.3,33.9,77.1,10.08,32.68,95.8,42.76,20.9,14.03,8.56,5.106,18.575,2398,5412,497,1464,1029,1334,665,2157,6322,2822,1380,565,337,926,1226
灰熊,西部,66,44.7,32.6,75.9,12.59,29.46,95.0,42.05,19.5,14.47,9.56,5.227,19.939,2425,5422,277,849,1142,1504,831,1944,6269,2775,1290,631,345,955,1316
魔术,东部,66,44.1,37.5,66.0,11.24,31.21,94.2,42.46,20.0,14.91,6.83,4.166,17.696,2275,5162,670,1785,995,1508,742,2060,6215,2802,1321,451,275,984,1168
76人,东部,66,44.8,36.2,74.2,10.67,32.49,93.6,43.15,22.0,11.18,7.97,5.151,17.53,2471,5516,349,963,889,1198,704,2144,6180,2848,1453,526,340,738,1157
奇才,东部,66,44.1,32.0,72.7,11.74,29.92,93.6,41.67,19.1,15.27,7.99,6.318,21.287,2414,5475,344,1075,1008,1386,775,1975,6180,2750,1262,527,417,1008,1405
NJN,东部,66,42.5,34.2,77.7,11.86,28.47,93.1,40.33,19.9,15.08,7.47,3.939,19.212,2262,5320,507,1481,1113,1433,783,1879,6144,2662,1311,493,260,995,1268
