球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
森林狼,西部,82,45.7,35.8,77.8,11.2,32.9,115.9,44.2,25.7,14.33,8.79,5.61,21.78,3411,7458,1211,3386,1474,1894,921,2700,9507,3621,2106,721,460,1175,1786
灰熊,西部,82,46.1,35.3,73.4,14.1,35.0,115.6,49.2,26.0,13.2,9.76,6.5,19.76,3571,7739,945,2679,1393,1898,1159,2873,9480,4032,2131,800,533,1082,1620
雄鹿,东部,82,46.8,36.6,77.6,10.2,36.5,115.5,46.7,23.9,13.42,7.6,3.98,18.22,3429,7331,1153,3151,1459,1881,840,2990,9470,3830,1960,623,326,1100,1494
黄蜂,东部,82,46.8,36.5,74.0,10.8,33.7,115.3,44.6,28.1,13.26,8.62,4.9,19.87,3508,7497,1143,3130,1298,1753,888,2767,9457,3655,2302,707,402,1087,1629
太阳,西部,82,48.5,36.4,79.7,9.8,35.5,114.8,45.3,27.4,12.93,8.56,4.38,19.92,3581,7389,951,2616,1303,1635,801,2913,9416,3714,2244,702,359,1060,1633
老鹰,东部,82,47.0,37.4,81.2,10.0,33.9,113.9,44.0,24.6,11.85,7.16,4.24,18.71,3401,7241,1056,2821,1485,1829,823,2783,9343,3606,2017,587,348,972,1534
爵士,西部,82,47.1,36.0,76.7,10.8,35.6,113.6,46.3,22.4,14.0,7.17,4.9,18.87,3327,7067,1192,3308,1470,1916,884,2916,9316,3800,1836,588,402,1148,1547
马刺,西部,82,46.7,35.2,75.4,11.0,34.3,113.2,45.3,27.9,12.72,7.63,4.92,18.09,3546,7601,925,2626,1262,1673,901,2815,9279,3716,2289,626,403,1043,1483
篮网,东部,82,47.5,36.1,80.5,10.3,34.1,112.9,44.4,25.3,14.06,7.1,5.46,20.37,3442,7251,940,2602,1434,1781,844,2796,9258,3640,2071,582,448,1153,1670
掘金,西部,82,48.3,35.3,79.5,9.2,34.9,112.7,44.1,27.8,14.5,7.22,3.72,19.99,3416,7079,1039,2944,1372,1725,752,2865,9243,3617,2279,592,305,1189,1639
湖人,西部,82,46.9,34.7,73.2,9.5,34.5,112.1,44.0,24.0,14.52,7.63,5.18,20.17,3415,7279,982,2826,1380,1884,782,2826,9192,3608,1968,626,425,1191,1654
凯尔特人,东部,82,46.6,35.6,81.6,10.5,35.5,111.8,46.1,24.8,13.63,7.21,5.83,18.55,3341,7167,1085,3044,1397,1713,863,2915,9164,3778,2036,591,478,1118,1521
公牛,东部,82,48.0,36.9,81.3,8.7,33.7,111.6,42.3,23.9,12.84,7.13,4.1,18.78,3422,7127,872,2364,1436,1766,711,2760,9152,3471,1958,585,336,1053,1540
步行者,东部,82,46.3,34.4,76.8,11.3,32.6,111.5,43.9,25.4,14.43,7.1,5.57,20.43,3398,7338,997,2899,1347,1754,925,2671,9140,3596,2081,582,457,1183,1675
勇士,西部,82,46.9,36.4,76.9,9.8,35.7,111.0,45.5,27.1,14.89,8.77,4.54,21.01,3323,7087,1176,3231,1280,1665,800,2930,9102,3730,2223,719,372,1221,1723
国王,西部,82,46.0,34.4,76.8,9.6,33.4,110.3,42.9,23.7,14.1,7.17,4.5,18.93,3321,7223,937,2722,1466,1908,784,2737,9045,3521,1943,588,369,1156,1552
热火,东部,82,46.7,37.9,80.8,9.8,33.9,110.0,43.7,25.5,14.56,7.39,3.23,20.48,3246,6954,1114,2936,1416,1753,807,2778,9022,3585,2090,606,265,1194,1679
76人,东部,82,46.6,36.4,82.1,8.5,33.8,109.9,42.3,23.7,12.52,7.72,5.31,19.39,3230,6932,950,2608,1605,1955,700,2770,9015,3470,1945,633,435,1027,1590
火箭,西部,82,45.6,34.9,71.3,9.6,32.4,109.7,42.0,23.6,16.48,7.32,4.66,20.63,3229,7083,1105,3170,1434,2010,786,2660,8997,3446,1932,600,382,1351,1692
猛龙,东部,82,44.5,34.9,75.9,13.4,32.0,109.4,45.3,22.1,12.45,9.0,4.59,19.6,3332,7489,979,2808,1327,1749,1095,2622,8970,3717,1809,738,376,1021,1607
鹈鹕,西部,82,45.7,33.2,78.9,12.0,33.2,109.3,45.2,25.0,14.06,8.29,4.0,19.66,3294,7212,873,2629,1501,1903,981,2726,8962,3707,2047,680,328,1153,1612
奇才,东部,82,47.2,34.2,78.3,9.0,34.1,108.6,43.1,25.0,13.13,6.37,4.95,18.84,3327,7056,860,2512,1393,1778,737,2798,8907,3535,2052,522,406,1077,1545
快船,西部,82,45.8,37.4,79.3,9.1,34.9,108.4,44.0,24.0,13.73,7.42,4.95,18.63,3285,7170,1047,2802,1273,1606,747,2860,8890,3607,1969,608,406,1126,1528
独行侠,西部,82,46.1,35.0,77.1,9.3,33.8,108.0,43.0,23.4,12.5,6.73,3.96,19.66,3222,6982,1073,3063,1341,1739,759,2769,8858,3528,1918,552,325,1025,1612
骑士,东部,82,46.9,35.5,76.0,10.2,34.0,107.8,44.2,25.2,14.4,7.07,4.18,17.48,3255,6940,953,2686,1376,1810,837,2786,8839,3623,2064,580,343,1181,1433
尼克斯,东部,82,43.7,35.7,74.4,11.5,34.6,106.5,46.1,21.9,13.26,6.95,4.87,20.39,3088,7069,1082,3029,1473,1980,941,2841,8731,3782,1793,570,399,1087,1672
开拓者,西部,82,44.2,34.6,76.0,10.4,32.5,106.2,42.9,22.9,14.48,8.01,4.46,21.07,3161,7144,1043,3017,1346,1771,854,2661,8711,3515,1880,657,366,1187,1728
活塞,东部,82,43.1,32.6,78.2,11.0,32.0,104.8,43.0,23.5,14.18,7.68,4.79,21.94,3129,7267,925,2838,1413,1806,900,2625,8596,3525,1924,630,393,1163,1799
魔术,东部,82,43.4,33.1,78.7,9.1,35.2,104.2,44.3,23.7,14.49,6.77,4.48,19.66,3139,7240,999,3022,1270,1614,746,2885,8547,3631,1947,555,367,1188,1612
雷霆,西部,82,43.0,32.3,75.6,10.4,35.2,103.7,45.6,22.2,13.96,7.59,4.63,18.26,3141,7310,991,3066,1233,1632,854,2887,8506,3741,1822,622,380,1145,1497
