球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
太阳,西部,82,47.7,,74.8,11.79,32.34,110.4,44.13,23.5,13.72,6.98,,,3351,7018,,,1556,2080,967,2652,9054,3619,1927,572,453,1125,1563
国王,西部,82,45.9,,78.7,12.48,29.94,103.7,42.42,24.5,13.09,8.22,,,3203,6978,,,1577,2004,1023,2455,8505,3478,2005,674,316,1073,1685
独行侠,西部,82,45.7,,78.9,12.07,30.85,102.5,42.93,19.6,13.44,8.62,,,3058,6691,,,1826,2314,990,2530,8405,3520,1610,708,461,1102,1827
热火,东部,82,48.6,,67.2,10.82,32.18,101.5,43.0,21.8,13.74,6.43,,,3097,6368,,,1658,2466,887,2639,8327,3526,1790,528,474,1127,1814
凯尔特人,东部,82,46.8,,76.4,11.09,29.73,101.3,40.84,22.1,15.82,8.13,,,3046,6511,,,1775,2323,909,2438,8304,3347,1810,667,423,1297,2000
奇才,东部,82,43.7,,72.5,13.82,28.95,100.5,42.77,19.1,14.29,8.73,,,2966,6794,,,1795,2476,1133,2374,8241,3507,1563,716,347,1172,1807
猛龙,东部,82,44.4,,77.4,10.29,29.81,99.7,40.11,20.4,13.26,7.57,,,2952,6656,,,1626,2101,844,2444,8178,3288,1670,621,317,1087,1876
掘金,西部,82,45.9,,76.3,11.79,30.16,99.5,41.98,23.9,14.93,9.15,,,3038,6615,,,1765,2313,967,2473,8161,3440,1958,750,489,1224,1878
魔术,东部,82,45.4,,75.9,12.66,31.02,99.5,43.7,19.3,16.12,7.72,,,3034,6679,,,1772,2335,1038,2544,8160,3582,1583,633,441,1322,1937
76人,东部,82,43.7,,78.9,11.09,30.93,99.1,42.02,20.9,15.54,9.22,,,2946,6736,,,1731,2194,909,2536,8128,3445,1710,756,321,1274,1878
超音速,西部,82,44.4,,79.0,12.7,28.18,98.9,40.88,18.1,13.57,6.74,,,2882,6498,,,1683,2131,1041,2311,8113,3352,1487,553,338,1113,1944
湖人,西部,82,43.7,,77.7,12.54,30.62,98.7,43.2,20.4,14.34,6.2,,,2895,6629,,,1661,2137,1028,2511,8095,3539,1672,508,344,1176,1794
勇士,西部,82,43.0,,72.2,13.04,29.71,98.7,42.74,22.1,13.56,7.83,,,3029,7039,,,1412,1955,1069,2436,8094,3505,1811,642,420,1112,1833
尼克斯,东部,82,45.1,,76.7,11.76,29.18,97.3,40.95,20.3,14.68,7.67,,,2978,6599,,,1580,2060,965,2393,7977,3358,1665,629,260,1204,1942
雄鹿,东部,82,45.0,,77.2,12.01,29.32,97.2,41.33,21.0,13.81,6.44,,,2964,6580,,,1720,2229,985,2405,7973,3390,1720,529,289,1132,1797
森林狼,西部,82,45.9,,79.6,11.55,31.46,96.8,43.01,23.4,13.16,5.61,,,3045,6629,,,1449,1820,947,2580,7934,3527,1918,460,447,1079,1774
骑士,东部,82,44.7,,75.2,13.62,28.68,96.5,42.32,22.6,13.92,7.98,,,2990,6687,,,1634,2174,1117,2352,7914,3469,1851,654,461,1141,1850
马刺,西部,82,45.3,,72.4,12.02,30.35,96.2,42.38,21.6,13.73,7.48,,,2923,6450,,,1535,2120,987,2489,7888,3476,1771,613,543,1126,1717
快船,西部,82,45.9,,77.8,11.95,29.92,95.7,41.87,23.2,15.73,7.31,,,2924,6368,,,1770,2274,980,2455,7849,3435,1901,599,422,1290,1819
火箭,西部,82,44.3,,78.1,10.66,31.72,95.1,42.38,21.1,13.84,6.87,,,2846,6419,,,1551,1986,874,2601,7796,3475,1733,563,378,1135,1807
公牛,东部,82,43.2,,75.0,12.21,31.6,94.5,43.81,21.3,16.72,7.02,,,2849,6592,,,1536,2048,1001,2591,7745,3592,1743,576,369,1371,2028
黄蜂,东部,82,43.2,,70.9,13.21,28.46,94.3,41.7,21.9,14.54,8.48,,,2961,6859,,,1487,2096,1083,2335,7729,3418,1794,695,440,1192,1894
灰熊,西部,82,44.7,,75.4,10.82,28.13,93.4,38.95,20.9,14.6,8.52,,,2802,6271,,,1526,2024,887,2307,7661,3194,1716,699,476,1197,1910
活塞,东部,82,44.4,,73.9,12.84,30.57,93.3,43.42,21.8,13.82,7.02,,,2851,6421,,,1588,2150,1054,2507,7653,3561,1787,576,497,1133,1638
步行者,东部,82,43.2,,79.2,10.59,29.49,93.0,40.07,18.2,14.31,7.5,,,2668,6169,,,1748,2206,868,2418,7626,3286,1489,615,357,1173,1890
爵士,西部,82,44.9,,75.7,12.77,27.35,93.0,40.12,22.3,15.76,6.6,,,2828,6301,,,1719,2272,1047,2243,7625,3290,1826,541,374,1292,2189
开拓者,西部,82,45.1,,72.5,11.83,29.32,92.9,41.15,21.0,15.95,7.11,,,2896,6422,,,1409,1944,970,2404,7621,3374,1722,583,544,1308,1703
老鹰,东部,82,44.1,,71.1,13.42,28.48,92.7,41.9,19.7,16.09,7.67,,,2942,6672,,,1417,1994,1100,2335,7605,3435,1614,629,344,1319,2009
NJN,东部,82,42.9,,76.3,10.43,29.1,91.4,39.52,21.6,14.2,7.93,,,2753,6419,,,1555,2039,855,2387,7496,3242,1772,650,308,1164,1985
黄蜂,西部,82,41.5,,76.6,12.43,27.82,88.4,40.24,21.0,14.84,6.71,,,2718,6556,,,1401,1830,1019,2281,7252,3300,1724,550,310,1217,1883
