球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
湖人,西部,82,48.1,,67.9,13.2,30.1,105.5,43.3,24.5,15.32,8.95,,,3146,6536,,,1863,2743,1079,2471,8652,3550,2009,734,556,1256,1859
森林狼,西部,82,46.1,,74.3,13.0,29.6,101.1,42.6,25.2,13.88,7.79,,,3157,6844,,,1673,2253,1063,2429,8290,3492,2068,639,427,1138,1882
爵士,西部,82,49.0,,77.3,11.7,29.3,101.0,41.1,25.2,15.35,7.9,,,2993,6113,,,2044,2644,962,2405,8279,3367,2070,648,412,1259,1961
超音速,西部,82,47.3,,72.1,11.4,27.1,100.6,38.5,24.2,13.96,9.8,,,3052,6458,,,1521,2109,931,2225,8246,3156,1986,804,376,1145,1812
太阳,西部,82,46.8,,74.9,12.1,29.9,99.6,42.0,25.9,15.07,9.22,,,3138,6710,,,1459,1948,991,2452,8166,3443,2124,756,429,1236,1765
NJN,东部,82,44.1,,74.4,16.4,26.1,99.6,42.5,20.5,14.39,9.48,,,3055,6928,,,1750,2351,1344,2137,8170,3481,1685,777,314,1180,1917
火箭,西部,82,45.2,,77.1,12.0,28.7,98.8,40.7,21.9,15.83,8.37,,,2946,6513,,,1634,2120,987,2350,8099,3337,1799,686,294,1298,1653
奇才,东部,82,45.2,,69.1,13.7,28.5,97.2,42.2,23.2,14.1,8.4,,,3080,6811,,,1489,2156,1121,2341,7969,3462,1900,689,379,1156,1839
公牛,东部,82,45.1,,74.3,15.2,29.7,96.7,44.9,23.8,14.37,8.49,,,3064,6801,,,1492,2009,1243,2438,7931,3681,1952,696,353,1178,1691
黄蜂,东部,82,46.8,,75.1,12.0,28.5,96.6,40.6,23.7,15.21,8.43,,,2968,6344,,,1641,2186,985,2341,7923,3326,1941,691,312,1247,1757
灰熊,西部,82,45.8,,73.9,13.2,28.2,96.6,41.4,23.9,17.13,7.49,,,3006,6567,,,1586,2145,1081,2313,7923,3394,1960,614,349,1405,1809
步行者,东部,82,46.9,,76.4,10.7,28.6,96.0,39.3,23.0,14.24,7.87,,,2921,6223,,,1631,2136,874,2348,7874,3222,1889,645,368,1168,1859
老鹰,东部,82,45.5,,75.6,13.5,29.5,95.9,43.0,19.1,14.8,7.96,,,2887,6352,,,1749,2314,1106,2417,7860,3523,1569,653,491,1214,1671
凯尔特人,东部,82,43.4,,72.6,14.6,24.9,95.9,39.5,22.1,16.22,12.04,,,3012,6934,,,1425,1964,1196,2044,7864,3240,1816,987,366,1330,2203
快船,西部,82,43.8,,72.3,12.7,27.8,95.9,40.4,18.7,16.13,7.62,,,2930,6690,,,1480,2047,1040,2276,7865,3316,1533,625,456,1323,1827
热火,东部,82,45.0,,73.9,12.5,29.5,95.0,42.0,21.4,14.95,8.11,,,2850,6327,,,1539,2082,1028,2419,7787,3447,1758,665,429,1226,1982
猛龙,东部,82,43.5,,71.8,14.5,26.2,94.9,40.7,21.3,16.72,9.38,,,2965,6813,,,1479,2060,1187,2149,7781,3336,1746,769,663,1371,1851
雄鹿,东部,82,45.6,,76.7,12.6,27.3,94.5,39.9,20.1,16.87,8.94,,,2918,6399,,,1663,2167,1035,2236,7748,3271,1649,733,357,1383,1915
开拓者,西部,82,45.1,,73.7,13.2,30.8,94.3,44.0,21.5,16.87,7.13,,,2885,6397,,,1640,2226,1086,2522,7734,3608,1766,585,464,1383,1859
活塞,东部,82,44.9,,74.5,12.7,28.5,94.2,41.2,19.5,14.61,8.27,,,2862,6373,,,1704,2288,1044,2338,7721,3382,1597,678,344,1198,1805
76人,东部,82,44.3,,73.7,13.7,28.0,93.3,41.7,21.1,16.54,8.89,,,2837,6409,,,1734,2352,1125,2294,7651,3419,1729,729,490,1356,1878
国王,西部,82,44.2,,68.7,13.3,28.1,93.1,41.4,22.4,15.5,7.27,,,2957,6684,,,1440,2096,1094,2304,7637,3398,1836,596,420,1271,1810
马刺,西部,82,46.8,,68.8,12.0,32.2,92.5,44.2,22.4,16.07,6.29,,,2898,6187,,,1489,2164,984,2638,7587,3622,1839,516,568,1318,1731
骑士,东部,82,45.4,,75.6,11.6,28.4,92.5,40.1,23.1,17.33,9.93,,,2817,6207,,,1653,2187,955,2331,7585,3286,1894,814,419,1421,1939
尼克斯,东部,82,44.7,,77.2,11.9,29.7,91.6,41.6,21.8,15.21,7.73,,,2864,6413,,,1399,1812,978,2434,7509,3412,1787,634,278,1247,1947
独行侠,西部,82,42.7,,75.3,12.3,27.8,91.4,40.1,18.7,14.43,7.88,,,2882,6754,,,1308,1738,1008,2280,7494,3288,1535,646,466,1183,1643
魔术,东部,82,42.9,,72.6,14.4,26.9,90.1,41.2,20.7,15.34,7.91,,,2771,6455,,,1552,2138,1178,2203,7387,3381,1694,649,441,1258,1617
掘金,西部,82,41.7,,77.2,12.7,26.3,89.0,39.0,18.9,16.0,8.1,,,2677,6412,,,1658,2147,1040,2157,7300,3197,1547,664,393,1312,1937
勇士,西部,82,41.3,,71.0,15.7,30.2,88.3,45.9,20.8,16.7,7.57,,,2845,6883,,,1358,1912,1288,2473,7237,3761,1708,621,448,1369,1859
