球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
雄鹿,东部,72,48.7,38.9,76.0,10.3,37.8,120.1,48.1,25.5,13.82,8.13,4.64,17.28,3221,6610,1038,2669,1169,1539,741,2724,8649,3465,1834,585,334,995,1244
篮网,东部,72,49.4,39.2,80.4,8.9,35.5,118.6,44.4,26.8,13.54,6.72,5.26,19.04,3106,6289,1020,2600,1305,1623,640,2559,8537,3199,1929,484,379,975,1371
奇才,东部,72,47.5,35.1,76.9,9.7,35.5,116.6,45.2,25.5,14.39,7.33,4.13,21.6,3108,6547,733,2088,1449,1884,697,2557,8398,3254,1835,528,297,1036,1555
爵士,西部,72,46.8,38.9,79.9,10.6,37.6,116.4,48.3,23.7,14.21,6.58,5.15,18.54,2971,6344,1205,3098,1235,1546,765,2709,8382,3474,1703,474,371,1023,1335
开拓者,西部,72,45.3,38.5,82.3,10.6,33.9,116.1,44.5,21.3,11.1,6.89,5.04,18.92,2973,6558,1132,2939,1282,1558,766,2441,8360,3207,1531,496,363,799,1362
太阳,西部,72,49.0,37.8,83.4,8.8,34.2,115.3,42.9,26.9,12.53,7.18,4.33,19.08,3118,6357,940,2490,1124,1347,630,2462,8300,3092,1939,517,312,902,1374
步行者,东部,72,47.4,36.4,79.2,9.0,33.7,115.3,42.7,27.4,13.54,8.49,6.39,20.18,3115,6567,889,2445,1183,1493,648,2424,8302,3072,1973,611,460,975,1453
掘金,西部,72,48.5,37.7,80.3,10.5,33.9,115.1,44.4,26.8,13.5,8.08,4.49,19.08,3114,6422,927,2462,1129,1406,758,2442,8284,3200,1933,582,323,972,1374
鹈鹕,西部,72,47.7,34.8,72.9,11.7,35.7,114.6,47.4,26.0,14.61,7.57,4.38,17.99,3060,6412,762,2190,1369,1878,845,2568,8251,3413,1872,545,315,1052,1295
快船,西部,72,48.2,41.1,83.9,9.4,34.7,114.0,44.2,24.4,13.18,7.07,4.1,19.21,3009,6242,1027,2498,1164,1387,678,2501,8209,3179,1756,509,295,949,1383
老鹰,东部,72,46.8,37.3,81.2,10.6,35.1,113.7,45.6,24.1,13.24,6.99,4.75,19.33,2937,6281,895,2402,1417,1745,760,2525,8186,3285,1737,503,342,953,1392
勇士,西部,72,46.8,37.6,78.5,8.0,35.1,113.7,43.0,27.7,15.0,8.15,4.75,21.19,2973,6347,1048,2789,1193,1520,574,2524,8187,3098,1991,587,342,1080,1526
国王,西部,72,48.1,36.4,74.5,9.4,32.0,113.7,41.4,25.5,13.38,7.54,4.97,19.44,3067,6382,874,2400,1181,1585,674,2307,8189,2981,1836,543,358,963,1400
76人,东部,72,47.6,37.4,76.7,10.0,35.0,113.6,45.1,23.7,14.44,9.1,6.21,20.22,2981,6257,811,2169,1409,1836,722,2522,8182,3244,1706,655,447,1040,1456
灰熊,西部,72,46.7,35.6,77.1,11.2,35.3,113.3,46.5,26.9,13.29,9.1,5.06,18.74,3085,6608,803,2258,1184,1536,803,2543,8157,3346,1938,655,364,957,1349
凯尔特人,东部,72,46.6,37.4,77.5,10.6,33.6,112.6,44.3,23.5,14.06,7.72,5.32,20.43,2985,6401,979,2618,1160,1496,765,2421,8109,3186,1689,556,383,1012,1471
独行侠,西部,72,47.0,36.2,77.8,9.1,34.2,112.4,43.3,22.9,12.07,6.25,4.32,19.39,2958,6287,994,2744,1186,1524,657,2463,8096,3120,1647,450,311,869,1396
