球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
雄鹿,东部,82,47.6,35.3,77.3,9.3,40.4,118.1,49.7,26.0,13.9,7.5,5.9,19.6,3555,7471,1105,3134,1471,1904,762,3316,9686,4078,2136,615,486,1137,1608
勇士,西部,82,49.1,38.5,80.1,9.7,36.5,117.7,46.2,29.4,14.3,7.6,6.4,21.4,3612,7361,1087,2824,1339,1672,797,2990,9650,3787,2413,625,525,1169,1757
鹈鹕,西部,82,47.3,34.4,76.1,11.1,36.2,115.4,47.3,27.0,14.8,7.4,5.4,21.1,3581,7563,842,2449,1462,1921,909,2969,9466,3878,2216,610,441,1215,1732
76人,东部,82,47.1,35.9,77.1,10.9,36.9,115.2,47.8,26.9,14.9,7.4,5.3,21.3,3407,7233,889,2474,1742,2258,892,3025,9445,3917,2207,606,432,1223,1745
快船,西部,82,47.1,38.8,79.2,9.7,35.8,115.1,45.5,24.0,14.5,6.8,4.7,23.3,3384,7178,821,2118,1853,2340,796,2936,9442,3732,1970,561,385,1193,1913
开拓者,西部,82,46.7,35.9,81.4,11.8,36.2,114.7,48.0,23.0,13.8,6.7,5.0,20.4,3470,7427,904,2520,1558,1914,967,2968,9402,3935,1887,546,413,1135,1669
雷霆,西部,82,45.4,34.8,71.3,12.6,35.5,114.5,48.1,23.4,14.0,9.3,5.2,22.4,3497,7706,932,2677,1461,2049,1031,2911,9387,3942,1917,766,425,1145,1839
猛龙,东部,82,47.4,36.6,80.4,9.6,35.6,114.4,45.2,25.4,14.0,8.3,5.3,21.0,3460,7305,1015,2771,1449,1803,786,2920,9384,3706,2085,680,437,1150,1724
国王,西部,82,46.4,37.8,72.6,11.0,34.4,114.2,45.4,25.4,13.4,8.3,4.4,21.4,3541,7637,927,2455,1354,1865,906,2819,9363,3725,2083,679,363,1095,1751
奇才,东部,82,46.8,34.1,76.8,9.7,32.7,114.0,42.4,26.3,14.1,8.3,4.6,20.7,3456,7387,930,2731,1508,1963,794,2679,9350,3473,2154,683,379,1154,1701
火箭,西部,82,44.9,35.6,79.1,10.2,31.9,113.9,42.1,21.2,13.3,8.5,4.9,22.0,3218,7163,1323,3721,1582,2001,836,2613,9341,3449,1741,700,405,1094,1803
老鹰,东部,82,45.1,35.2,75.2,11.6,34.5,113.3,46.1,25.8,17.0,8.2,5.1,23.6,3392,7524,1067,3034,1443,1918,955,2825,9294,3780,2118,675,419,1397,1932
森林狼,西部,82,45.6,35.1,78.7,11.3,33.5,112.5,44.8,24.6,13.1,8.3,5.0,20.3,3413,7483,827,2357,1570,1995,923,2750,9223,3673,2018,683,411,1074,1664
凯尔特人,东部,82,46.5,36.5,80.2,9.8,34.7,112.4,44.5,26.3,12.8,8.6,5.3,20.4,3451,7423,1032,2829,1282,1598,804,2849,9216,3653,2155,706,435,1052,1669
篮网,东部,82,44.9,35.3,74.5,11.0,35.6,112.2,46.6,23.8,15.1,6.6,4.1,21.5,3301,7358,1047,2965,1555,2088,900,2919,9204,3819,1954,539,339,1236,1763
湖人,西部,82,47.0,33.3,69.9,10.2,36.4,111.8,46.6,25.6,15.7,7.5,5.4,20.7,3491,7425,847,2541,1336,1910,835,2985,9165,3820,2096,618,440,1284,1701
爵士,西部,82,46.8,35.6,73.6,10.0,36.4,111.7,46.4,26.0,15.1,8.1,5.9,21.1,3314,7082,993,2789,1540,2092,820,2981,9161,3801,2133,663,483,1240,1728
马刺,西部,82,47.8,39.2,81.9,9.2,35.5,111.7,44.7,24.5,12.1,6.1,4.7,18.1,3468,7248,812,2071,1408,1720,757,2910,9156,3667,2013,501,386,992,1487
掘金,西部,82,46.6,35.1,75.5,11.9,34.5,110.7,46.4,27.4,13.4,7.7,4.4,20.0,3439,7384,903,2571,1294,1714,972,2832,9075,3804,2245,634,363,1102,1644
黄蜂,东部,82,44.8,35.1,79.7,9.9,33.9,110.7,43.8,23.2,12.2,7.2,4.9,18.9,3297,7362,977,2783,1510,1895,814,2778,9081,3592,1905,591,405,1001,1550
独行侠,西部,82,44.7,34.0,74.2,10.1,35.2,108.9,45.3,23.4,14.2,6.5,4.3,20.1,3182,7122,1022,3002,1541,2076,832,2884,8927,3716,1918,533,351,1167,1650
步行者,东部,82,47.5,37.4,75.2,9.3,33.7,108.0,43.0,26.0,13.68,8.7,4.93,19.44,3390,7135,779,2081,1298,1727,762,2766,8857,3528,2128,713,404,1122,1594
太阳,西部,82,45.9,32.9,77.9,9.1,31.3,107.5,40.4,23.9,15.6,9.0,5.1,23.6,3289,7164,790,2400,1447,1858,748,2563,8815,3311,1957,735,418,1279,1932
魔术,东部,82,45.4,35.6,78.2,10.0,35.4,107.3,45.4,25.5,13.2,6.6,5.4,18.6,3316,7307,937,2633,1231,1575,822,2902,8800,3724,2095,543,445,1082,1526
活塞,东部,82,44.0,34.8,74.7,11.4,33.6,107.0,45.0,22.5,13.8,6.9,4.0,22.1,3185,7238,993,2854,1415,1893,936,2752,8778,3688,1845,569,331,1135,1811
热火,东部,82,45.0,34.9,69.5,11.2,35.1,105.7,46.3,24.3,14.7,7.6,5.5,20.9,3251,7218,928,2658,1238,1782,921,2879,8668,3800,1991,627,448,1208,1712
公牛,东部,82,45.3,35.1,78.3,8.8,34.1,104.9,42.9,21.9,14.1,7.4,4.3,20.3,3266,7205,745,2123,1328,1695,718,2799,8605,3517,1796,603,351,1159,1663
尼克斯,东部,82,43.3,34.0,75.9,10.5,34.3,104.6,44.7,20.1,14.0,6.8,5.1,20.9,3134,7241,823,2421,1484,1956,857,2811,8575,3668,1646,557,422,1151,1713
骑士,东部,82,44.4,35.5,79.2,10.7,31.9,104.5,42.7,20.7,13.5,6.5,2.4,20.0,3189,7184,847,2388,1342,1694,879,2619,8567,3498,1698,534,195,1106,1642
灰熊,西部,82,45.0,34.2,77.2,8.8,33.0,103.5,41.8,23.9,14.0,8.3,5.5,22.0,3113,6924,811,2368,1453,1882,723,2703,8490,3426,1963,684,448,1147,1801
